fast_minus_exact_connected_pdr_ci95_high,fast_minus_exact_connected_pdr_ci95_low,fast_minus_exact_connected_pdr_mean,fast_minus_exact_deadline_ci95_high,fast_minus_exact_deadline_ci95_low,fast_minus_exact_deadline_mean,pdr_drop_exceeds_0.01,scenario
-0.006378988585144088,-0.19762101141485594,-0.10200000000000001,-0.0026223780233722294,-0.27537762197662785,-0.13900000000000004,True,ood_nodes_24
0.005799218166583575,-0.1297992181665836,-0.06200000000000001,0.002688705771540012,-0.15468870577153998,-0.07599999999999998,True,ood_nodes_16
0.0006479972074837741,-0.05664799720748373,-0.02799999999999998,0.0006479972074837741,-0.05664799720748373,-0.02799999999999998,True,ood_nodes_10
0.0004139008360531764,-0.03641390083605321,-0.018000000000000016,0.0017736818113689226,-0.039773681811368956,-0.019000000000000017,True,heldout_medium
0.008332602928731562,-0.03033260292873158,-0.01100000000000001,0.006413900836053182,-0.030413900836053203,-0.01200000000000001,True,ood_link_loss
-0.0031792207792207816,-0.017600000000000005,-0.010389610389610393,-0.0012240000000000016,-0.006776000000000006,-0.0040000000000000036,True,unconditional_sparse
0.01032558139534883,-0.021953488372093016,-0.005813953488372092,0.008880000000000006,-0.018880000000000015,-0.0050000000000000044,False,predictive_break_225_link_loss
0.005751401769071794,-0.015751401769071804,-0.0050000000000000044,0.005871782471748039,-0.01987178247174805,-0.007000000000000006,False,ood_sparse
0.00409336123004528,-0.012093361230045287,-0.0040000000000000036,0.004457159284187731,-0.022457159284187747,-0.009000000000000008,False,ood_fast_mobility
0.01430897747008282,-0.022308977470082827,-0.0040000000000000036,0.0173127723697367,-0.04131277236973663,-0.011999999999999966,False,ood_extreme_mobility
0.01592979619541638,-0.021929796195416386,-0.0030000000000000027,0.012308977470082819,-0.02430897747008283,-0.006000000000000005,False,ood_link_loss_30
0.0,0.0,0.0,0.0,0.0,0.0,False,structural_hole_45
0.0,0.0,0.0,0.0,0.0,0.0,False,structural_hole_225_link_loss
0.0,0.0,0.0,0.0,0.0,0.0,False,predictive_break_45
