ci95_high,ci95_low,count,mean,method,metric,scenario,standard_deviation
0.895,0.8949999999999998,5,0.8949999999999999,AODV,connected_pair_pdr,ood_link_loss,1.2412670766236366e-16
0.895,0.8949999999999998,5,0.8949999999999999,AODV,overall_pdr,ood_link_loss,1.2412670766236366e-16
0.895,0.8949999999999998,5,0.8949999999999999,AODV,deadline_delivery_ratio,ood_link_loss,1.2412670766236366e-16
4.0,4.0,5,4.0,AODV,p95_success_delay,ood_link_loss,0.0
1.327744889596975,1.327744889596975,5,1.327744889596975,AODV,energy_per_delivered_packet,ood_link_loss,0.0
136.515,136.515,5,136.515,AODV,mean_policy_input_bytes,ood_link_loss,0.0
0.8100000000000003,0.81,5,0.8100000000000002,OLSR,connected_pair_pdr,ood_link_loss,1.2412670766236366e-16
0.8100000000000003,0.81,5,0.8100000000000002,OLSR,overall_pdr,ood_link_loss,1.2412670766236366e-16
0.8100000000000003,0.81,5,0.8100000000000002,OLSR,deadline_delivery_ratio,ood_link_loss,1.2412670766236366e-16
3.9499999999999886,3.9499999999999886,5,3.9499999999999886,OLSR,p95_success_delay,ood_link_loss,0.0
1.3627690916430857,1.3627690916430857,5,1.3627690916430857,OLSR,energy_per_delivered_packet,ood_link_loss,0.0
128.535,128.535,5,128.535,OLSR,mean_policy_input_bytes,ood_link_loss,0.0
0.91,0.9099999999999998,5,0.9099999999999999,Greedy Geographic,connected_pair_pdr,ood_link_loss,1.2412670766236366e-16
0.91,0.9099999999999998,5,0.9099999999999999,Greedy Geographic,overall_pdr,ood_link_loss,1.2412670766236366e-16
0.91,0.9099999999999998,5,0.9099999999999999,Greedy Geographic,deadline_delivery_ratio,ood_link_loss,1.2412670766236366e-16
4.0,4.0,5,4.0,Greedy Geographic,p95_success_delay,ood_link_loss,0.0
1.3320270720244316,1.3320270720244316,5,1.3320270720244316,Greedy Geographic,energy_per_delivered_packet,ood_link_loss,0.0
2325.32,2325.32,5,2325.32,Greedy Geographic,mean_policy_input_bytes,ood_link_loss,0.0
0.9141003034672688,0.889899696532731,5,0.9019999999999999,Evo-QGeo (Adapted),connected_pair_pdr,ood_link_loss,0.009746794344808973
0.9141003034672688,0.889899696532731,5,0.9019999999999999,Evo-QGeo (Adapted),overall_pdr,ood_link_loss,0.009746794344808973
0.9059400274706553,0.882059972529345,5,0.8940000000000001,Evo-QGeo (Adapted),deadline_delivery_ratio,ood_link_loss,0.00961769203083568
4.0,4.0,5,4.0,Evo-QGeo (Adapted),p95_success_delay,ood_link_loss,0.0
1.3715497371872192,1.3421827157494786,5,1.3568662264683489,Evo-QGeo (Adapted),energy_per_delivered_packet,ood_link_loss,0.011827567765036314
5085.662228930774,5048.439771069225,5,5067.0509999999995,Evo-QGeo (Adapted),mean_policy_input_bytes,ood_link_loss,14.991344752889887
0.8572941389724273,0.6487058610275724,5,0.7529999999999999,RDQN-HERP (Adapted),connected_pair_pdr,ood_link_loss,0.08400892809695884
0.8572941389724273,0.6487058610275724,5,0.7529999999999999,RDQN-HERP (Adapted),overall_pdr,ood_link_loss,0.08400892809695884
0.826412611601653,0.5435873883983469,5,0.6849999999999999,RDQN-HERP (Adapted),deadline_delivery_ratio,ood_link_loss,0.11390785749894515
5.909627044626684,4.850372955373307,5,5.3799999999999955,RDQN-HERP (Adapted),p95_success_delay,ood_link_loss,0.4266145801540309
2.442301638708019,1.4973084388783409,5,1.96980503879318,RDQN-HERP (Adapted),energy_per_delivered_packet,ood_link_loss,0.3805960074016937
4440.59156578657,3527.054434213429,5,3983.8229999999994,RDQN-HERP (Adapted),mean_policy_input_bytes,ood_link_loss,367.927076038853
0.8066694563120234,0.5353305436879767,5,0.671,GAT-GRU-DDQN,connected_pair_pdr,ood_link_loss,0.10928174595969814
0.8066694563120234,0.5353305436879767,5,0.671,GAT-GRU-DDQN,overall_pdr,ood_link_loss,0.10928174595969814
0.7499636765025147,0.5100363234974853,5,0.63,GAT-GRU-DDQN,deadline_delivery_ratio,ood_link_loss,0.09663074045043843
5.0,5.0,5,5.0,GAT-GRU-DDQN,p95_success_delay,ood_link_loss,0.0
2.4736572278002624,1.6070950006151923,5,2.0403761142077275,GAT-GRU-DDQN,energy_per_delivered_packet,ood_link_loss,0.34900793348692966
4117.351652767428,3445.8703472325715,5,3781.611,GAT-GRU-DDQN,mean_policy_input_bytes,ood_link_loss,270.4390930828974
0.9137760000000001,0.9082240000000001,5,0.9110000000000001,DiSwitch,connected_pair_pdr,ood_link_loss,0.0022360679774997916
0.9137760000000001,0.9082240000000001,5,0.9110000000000001,DiSwitch,overall_pdr,ood_link_loss,0.0022360679774997916
0.9137760000000001,0.9082240000000001,5,0.9110000000000001,DiSwitch,deadline_delivery_ratio,ood_link_loss,0.0022360679774997916
4.0,4.0,5,4.0,DiSwitch,p95_success_delay,ood_link_loss,0.0
1.3331996735382197,1.3210208363399103,5,1.327110254939065,DiSwitch,energy_per_delivered_packet,ood_link_loss,0.00490502663226274
3810.842284756503,3678.001715243497,5,3744.422,DiSwitch,mean_policy_input_bytes,ood_link_loss,53.501538833009214
0.9210500622326872,0.8789499377673129,5,0.9,Fast-DiSwitch,connected_pair_pdr,ood_link_loss,0.016955824957813188
0.9210500622326872,0.8789499377673129,5,0.9,Fast-DiSwitch,overall_pdr,ood_link_loss,0.016955824957813188
0.919304689507599,0.878695310492401,5,0.899,Fast-DiSwitch,deadline_delivery_ratio,ood_link_loss,0.01635542723379614
4.0,4.0,5,4.0,Fast-DiSwitch,p95_success_delay,ood_link_loss,0.0
1.4931250152235986,1.3188083829227255,5,1.405966699073162,Fast-DiSwitch,energy_per_delivered_packet,ood_link_loss,0.07020602295273558
5051.616415822156,4873.343584177845,5,4962.4800000000005,Fast-DiSwitch,mean_policy_input_bytes,ood_link_loss,71.79938222227265
