block,component,device,latency_ms,order_position,training_seed,variant
9,end_to_end_policy,cpu,0.522,4,42,Predictive Prior Only
9,end_to_end_policy,cpu,0.845594,5,42,FastSwitchGLOBE
9,end_to_end_policy,cpu,0.773735,6,42,Historical PPO-only Local (No KD)
9,end_to_end_policy,cpu,2.30568,7,42,Privileged Global Teacher
10,end_to_end_policy,cpu,2.287095,0,42,SwitchGLOBE Exact
10,end_to_end_policy,cpu,1.076841,1,42,Geo-Residual Student
10,end_to_end_policy,cpu,0.7677,2,42,Historical PPO-only Local (No KD)
10,end_to_end_policy,cpu,0.515171,3,42,Predictive Prior Only
10,end_to_end_policy,cpu,0.848239,4,42,FastSwitchGLOBE
10,end_to_end_policy,cpu,1.603594,5,42,Predictive Student (No Switch)
10,end_to_end_policy,cpu,2.25437,6,42,Privileged Global Teacher
10,end_to_end_policy,cpu,0.794459,7,42,Historical KD+PPO Local
11,end_to_end_policy,cpu,0.533834,0,42,Predictive Prior Only
11,end_to_end_policy,cpu,1.531623,1,42,Predictive Student (No Switch)
11,end_to_end_policy,cpu,0.79366,2,42,Historical KD+PPO Local
11,end_to_end_policy,cpu,1.074003,3,42,Geo-Residual Student
11,end_to_end_policy,cpu,2.284175,4,42,Privileged Global Teacher
11,end_to_end_policy,cpu,0.798042,5,42,Historical PPO-only Local (No KD)
11,end_to_end_policy,cpu,2.285086,6,42,SwitchGLOBE Exact
11,end_to_end_policy,cpu,0.895392,7,42,FastSwitchGLOBE
12,end_to_end_policy,cpu,0.556599,0,42,Predictive Prior Only
12,end_to_end_policy,cpu,1.522425,1,42,Predictive Student (No Switch)
12,end_to_end_policy,cpu,0.730626,2,42,Historical PPO-only Local (No KD)
12,end_to_end_policy,cpu,0.876443,3,42,FastSwitchGLOBE
12,end_to_end_policy,cpu,2.287488,4,42,Privileged Global Teacher
12,end_to_end_policy,cpu,2.30751,5,42,SwitchGLOBE Exact
12,end_to_end_policy,cpu,1.100239,6,42,Geo-Residual Student
12,end_to_end_policy,cpu,0.727372,7,42,Historical KD+PPO Local
13,end_to_end_policy,cpu,0.779077,0,42,Historical PPO-only Local (No KD)
13,end_to_end_policy,cpu,1.048456,1,42,Geo-Residual Student
13,end_to_end_policy,cpu,2.256112,2,42,Privileged Global Teacher
13,end_to_end_policy,cpu,0.575962,3,42,Predictive Prior Only
13,end_to_end_policy,cpu,0.759317,4,42,Historical KD+PPO Local
13,end_to_end_policy,cpu,0.864509,5,42,FastSwitchGLOBE
13,end_to_end_policy,cpu,1.562091,6,42,Predictive Student (No Switch)
13,end_to_end_policy,cpu,2.21075,7,42,SwitchGLOBE Exact
14,end_to_end_policy,cpu,0.777407,0,42,Historical PPO-only Local (No KD)
14,end_to_end_policy,cpu,0.554941,1,42,Predictive Prior Only
14,end_to_end_policy,cpu,1.534434,2,42,Predictive Student (No Switch)
14,end_to_end_policy,cpu,0.810435,3,42,FastSwitchGLOBE
14,end_to_end_policy,cpu,1.088398,4,42,Geo-Residual Student
14,end_to_end_policy,cpu,2.25085,5,42,SwitchGLOBE Exact
14,end_to_end_policy,cpu,0.75354,6,42,Historical KD+PPO Local
14,end_to_end_policy,cpu,2.384372,7,42,Privileged Global Teacher
15,end_to_end_policy,cpu,2.294751,0,42,SwitchGLOBE Exact
15,end_to_end_policy,cpu,0.475575,1,42,Predictive Prior Only
15,end_to_end_policy,cpu,0.757754,2,42,Historical PPO-only Local (No KD)
15,end_to_end_policy,cpu,2.399411,3,42,Privileged Global Teacher
15,end_to_end_policy,cpu,1.097341,4,42,Geo-Residual Student
15,end_to_end_policy,cpu,1.551927,5,42,Predictive Student (No Switch)
15,end_to_end_policy,cpu,0.843864,6,42,FastSwitchGLOBE
15,end_to_end_policy,cpu,0.813346,7,42,Historical KD+PPO Local
16,end_to_end_policy,cpu,0.787993,0,42,Historical KD+PPO Local
16,end_to_end_policy,cpu,0.533763,1,42,Predictive Prior Only
16,end_to_end_policy,cpu,1.027174,2,42,Geo-Residual Student
16,end_to_end_policy,cpu,2.302864,3,42,SwitchGLOBE Exact
16,end_to_end_policy,cpu,0.803587,4,42,Historical PPO-only Local (No KD)
16,end_to_end_policy,cpu,0.868155,5,42,FastSwitchGLOBE
16,end_to_end_policy,cpu,1.605464,6,42,Predictive Student (No Switch)
16,end_to_end_policy,cpu,2.405427,7,42,Privileged Global Teacher
17,end_to_end_policy,cpu,0.913451,0,42,FastSwitchGLOBE
17,end_to_end_policy,cpu,0.548555,1,42,Predictive Prior Only
17,end_to_end_policy,cpu,2.277885,2,42,SwitchGLOBE Exact
17,end_to_end_policy,cpu,1.092266,3,42,Geo-Residual Student
17,end_to_end_policy,cpu,1.571505,4,42,Predictive Student (No Switch)
17,end_to_end_policy,cpu,0.747525,5,42,Historical KD+PPO Local
17,end_to_end_policy,cpu,0.740512,6,42,Historical PPO-only Local (No KD)
17,end_to_end_policy,cpu,2.480136,7,42,Privileged Global Teacher
18,end_to_end_policy,cpu,2.29433,0,42,Privileged Global Teacher
18,end_to_end_policy,cpu,2.322341,1,42,SwitchGLOBE Exact
18,end_to_end_policy,cpu,1.090207,2,42,Geo-Residual Student
18,end_to_end_policy,cpu,0.729011,3,42,Historical PPO-only Local (No KD)
18,end_to_end_policy,cpu,0.542616,4,42,Predictive Prior Only
18,end_to_end_policy,cpu,0.751901,5,42,Historical KD+PPO Local
18,end_to_end_policy,cpu,1.545419,6,42,Predictive Student (No Switch)
18,end_to_end_policy,cpu,0.825255,7,42,FastSwitchGLOBE
19,end_to_end_policy,cpu,2.307979,0,42,SwitchGLOBE Exact
19,end_to_end_policy,cpu,0.481609,1,42,Predictive Prior Only
19,end_to_end_policy,cpu,2.318374,2,42,Privileged Global Teacher
19,end_to_end_policy,cpu,0.800742,3,42,Historical PPO-only Local (No KD)
19,end_to_end_policy,cpu,0.765327,4,42,Historical KD+PPO Local
19,end_to_end_policy,cpu,1.052656,5,42,Geo-Residual Student
19,end_to_end_policy,cpu,0.858488,6,42,FastSwitchGLOBE
19,end_to_end_policy,cpu,1.564687,7,42,Predictive Student (No Switch)
20,end_to_end_policy,cpu,0.758184,0,42,Historical PPO-only Local (No KD)
20,end_to_end_policy,cpu,0.770894,1,42,Historical KD+PPO Local
20,end_to_end_policy,cpu,0.53385,2,42,Predictive Prior Only
20,end_to_end_policy,cpu,1.039437,3,42,Geo-Residual Student
