backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,gate_decision_steps,gate_outcome_divergence_steps__0.0000,gate_outcome_divergence_steps__0.0200,gate_outcome_divergence_steps__0.0500,gate_outcome_divergence_steps__0.1000,gate_outcome_divergence_steps__0.2000,gate_outcome_divergence_steps__0.3000,gate_outcome_divergence_steps__0.5000,gate_outcome_divergence_steps__1.0000,gate_skip_steps__0.0000,gate_skip_steps__0.0200,gate_skip_steps__0.0500,gate_skip_steps__0.1000,gate_skip_steps__0.2000,gate_skip_steps__0.3000,gate_skip_steps__0.5000,gate_skip_steps__1.0000,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
0.0,0.0,0.0,0.0,6.874256014823914,1,,,3.0,6,0.628041,0.6472038,0.64890716,1.8933740000000001,3,1,,0,,0.6643749999999999,1100010,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,1,0,6003,0,1.0,0.0,SwitchGLOBE Exact,8.118479691228213,0.3382644057273865,0.0,1.0,4515,4.125,,3.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.867658352851867,42,3,1.006123737122551
0.0,0.0,0.0,0.0,4.905057311058044,1,,,2.0,4,0.633208,0.644458,0.645458,1.266416,2,1,,0,,0.45079199999999997,1100011,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.18942055106163025,SwitchGLOBE Exact,0.4036857180797547,0.016938984394073486,0.0,1.0,3010,2.875,,1.0,heldout_medium,2,0.0,0.0,0.5,10.760739922523499,42,2,1.0255568114490616
0.0,0.0,0.0,0.0,4.979211449623108,1,,,2.0,4,0.6227505,0.62436285,0.6245061700000001,1.245501,2,1,,0,,0.7543329999999999,1100012,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.06158322095870972,0.0,1.0,3010,2.5,,2.0,heldout_medium,2,0.0,0.0,0.5,10.700611901283265,42,2,0.97449848326566
0.0,0.0,0.0,0.0,7.146505117416382,1,,,2.0,4,0.704271,0.7354893,0.73826426,1.408542,2,1,,0,,0.961124,1100013,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.08324450254440308,0.0,1.0,3010,3.0,,2.0,heldout_medium,2,0.0,0.0,0.5,11.027259731292725,42,2,1.5971158193157642
0.0,0.0,0.0,0.0,5.336532235145569,1,,,2.0,4,0.6688125,0.67336875,0.67377375,1.337625,2,1,,0,,0.6686669999999999,1100014,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,8.268041821936714,0.06349343061447144,0.0,1.0,3010,2.625,,2.0,heldout_medium,2,0.0,0.0,0.5,10.866651391983034,42,2,1.035151379575507
0.0,0.0,0.0,0.0,4.684369206428528,1,,,2.0,4,0.640667,0.652367,0.653407,1.281334,2,1,,0,,0.525875,1100015,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.279763400554657,0.0,1.0,3010,3.25,,2.0,heldout_medium,2,0.0,0.0,0.5,10.657536339759826,42,2,0.7220116233523912
0.0,0.0,0.0,0.0,5.331155061721802,1,,,2.0,4,0.7642295,0.84273605,0.8497144099999999,1.528459,2,1,,0,,0.535709,1100016,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,3.6976835557762664,0.21159017086029053,0.0,1.0,3010,3.875,,2.0,heldout_medium,2,0.0,0.0,0.5,10.702547001838685,42,2,0.9179384849611445
0.0,0.0,0.0,0.0,4.929038047790527,1,,,2.0,4,0.658979,0.6672482,0.66798324,1.317958,2,1,,0,,0.692458,1100017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.22108882665634155,0.0,1.0,3010,2.25,,2.0,heldout_medium,2,0.0,0.0,0.5,10.685526275634764,42,2,0.8122273320745776
0.0,0.0,0.0,0.0,7.201524257659912,1,,,2.0,4,0.742917,0.7941792,0.79873584,1.485834,2,1,,0,,0.930708,1100018,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.007226504385471344,SwitchGLOBE Exact,12.0,0.032773494720458984,0.0,1.0,3010,3.625,,1.0,heldout_medium,2,0.0,0.0,0.5,11.157442712783814,42,2,1.6296736319234384
0.0,0.0,0.0,0.0,10.467812776565552,1,,,3.0,6,0.74625,1.4473131,1.50962982,2.985167,3,1,,0,,1.100708,1100019,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,1,0,6003,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.08717823028564453,0.0,1.0,4515,4.0,,3.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.487733507156372,42,3,2.2894634735498762
