action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[1,6,7,5,0,2]",0.0,0.0,0.0,0.0,12.660837888717651,0,,,-2.0,4,1.9439609999999998,211.04206325,266.7080094500001,290.620329,6,1,,0,,5.990507,1100000,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,1,12006,0,1.0,0.0,Historical Untrained Local,12.0,0.1048591136932373,0.0,"[3,1,6,7,5,0,2]",3.0,7398,10.375,,0.0,heldout_medium,6,0.0,0.0,0.16666666666666666,10.575024354457856,77,6,2.100964603713555
"[4,1,3,5,2,6]",0.0,0.0,0.0,0.0,17.19057536125183,0,,,-2.0,4,1.8987720000000001,1.9102022500000002,1.91314365,11.399561,6,1,,0,,6.0722119999999995,1100001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,1,12006,0,1.0,0.0,Historical Untrained Local,12.0,0.008028745651245117,0.0,"[7,4,1,3,5,2,6]",3.0,7398,7.875,,0.0,heldout_medium,6,0.0,0.0,0.16666666666666666,10.370196628570557,77,6,3.549453167733329
"[2,0,4,6,5]",0.0,0.0,0.0,0.0,12.571464955806732,1,,,2.0,7,1.880703,1.8855468,1.88595416,9.401908,5,1,,0,,4.585075,1100002,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,10005,0,1.0,0.0,Historical Untrained Local,12.0,0.026111721992492676,0.0,"[3,2,0,4,6,5]",1.25,6165,6.0,,0.0,heldout_medium,5,0.0,0.0,0.2,10.427806711196899,77,5,2.5657068129654137
"[4,7]",0.0,0.0,0.0,0.0,5.282225847244263,1,,,2.0,4,1.895188,1.9025149000000001,1.9031661800000002,3.790376,2,1,,0,,1.18492,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.2020200490951538,0.0,"[2,4,7]",1.0,2466,3.375,,0.0,heldout_medium,2,0.0,0.0,0.5,10.651459741592408,77,2,0.9098582117970189
"[7,1]",0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,1.8885465,1.89188235,1.89217887,3.777093,2,1,,0,,1.228676,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,8.151648050685244,0.15219110250473022,0.0,"[3,7,1]",1.0,2466,2.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,77,2,1.3128961105718773
"[5,0,6]",0.0,0.0,0.0,0.0,10.629551649093628,1,,,3.0,6,1.950526,1.958221,1.9589050000000001,5.812452,3,1,,0,,2.173153,1100005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Historical Untrained Local,12.0,0.0406796932220459,0.0,"[4,5,0,6]",1.0,3699,5.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.423794174194336,77,3,2.369984529168935
"[1,4,3,6,0]",0.0,0.0,0.0,0.0,12.520894527435303,1,,,2.0,7,1.949899,2.2066044000000002,2.2117720800000003,10.182992,5,1,,0,,3.8909089999999997,1100006,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,10005,0,1.0,0.0,Historical Untrained Local,6.639227799752978,0.062399446964263916,0.0,"[2,1,4,3,6,0]",1.25,6165,8.75,,0.0,heldout_medium,5,0.0,0.0,0.2,11.33631727695465,77,5,2.339455193622996
"[0,3,7,32]",0.0,0.0,0.0,0.0,7.644038558006287,0,,,,4,1.9592805,2.1699045999999997,2.19627532,7.980608,,0,agent_drop,1,,3.045843,1100007,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,8004,0,,0.0,Historical Untrained Local,10.901305315310605,0.14895111322402954,0.0,"[1,0,3,7]",,4932,4.375,,0.0,heldout_medium,4,0.0,0.0,0.0,-5.876770782470703,77,3,1.2890862460992247
"[0,6]",0.0,0.0,0.0,0.0,6.424596548080444,1,,,2.0,4,1.890547,1.9010725,1.9020081,3.781094,2,1,,0,,1.573368,1100008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.10769736766815186,0.0,"[2,0,6]",1.0,2466,2.875,,0.0,heldout_medium,2,0.0,0.0,0.5,11.047343301773072,77,2,1.3057808199219956
"[7,6]",0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,1.951468,1.9787461,1.98117082,3.902936,2,1,,0,,1.143397,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.28839194774627686,0.0,"[0,7,6]",1.0,2466,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,77,2,0.6050165978419892
