agent_drop_rate,backup_availability_rate,branch_disagreement_rate,connected_episodes,connected_pair_pdr,deadline_delivery_ratio,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,delivered,delivery_energy_efficiency_proxy,delivery_transmission_efficiency_proxy,endpoint_availability,energy_per_delivered_packet,energy_per_generated_packet,energy_per_on_time_delivery,episodes,false_switch_rate,fast_failover_miss_rate,fast_failover_success_rate,freshness_cache_capacity_eviction_rate,freshness_cache_hit_rate,freshness_cache_stale_eviction_rate,freshness_cache_state_eviction_rate,invalid_action_drop_rate,late_delivery_ratio_all,late_delivery_ratio_delivered,latency_aware_deadline_delivery_ratio,loop_drop_rate,mean_control_bytes,mean_control_messages,mean_deadline_slack_steps,mean_decision_latency_total_ms,mean_effective_end_to_end_delay_ms,mean_environment_step_time_total_ms,mean_episode_reward,mean_expected_transmissions_proxy,mean_local_observation_bytes,mean_minimum_link_lifetime_steps,mean_minimum_link_margin,mean_path_stretch,mean_per_hop_delay,mean_policy_input_bytes,mean_queue_delay_proxy,mean_safe_forward_candidates,mean_selected_danger,mean_success_delay,mean_switch_danger_reduction,mean_switch_steps,mean_transmission_energy_proxy,method,missed_risk_rate,overall_pdr,p95_success_delay,scenario,switch_activation_rate,time_limit_drop_rate,total_drop_rate,training_seed,ttl_drop_rate
0.295,0.0,0.0,200,0.705,0.62,1.88367175,1.9791771999999999,2.5271723360999983,141,0.4381201350050817,0.20317002881844382,1.0,2.2824789825932132,1.6091476827282154,2.595399488271315,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.12056737588652482,0.0,0.0,0.0,0.0,0.9929078014184397,8.512640515000001,0.0,3.281903575,5.930607532925904,3.47,7533.765,9.605529176279948,0.15446676760911943,1.561465721040189,1.0,4642.245,5.235625,0.0,0.0,3.602836879432624,0.0,0.0,1.6091476827282154,Historical Untrained Local,0.0,0.705,6.0,heldout_medium,0.0,0.0,0.295,77,0.0
0.105,0.0,0.0,200,0.895,0.88,1.789749,1.8734101175,2.1826204686999997,179,0.6352123996942299,0.34824902723735407,1.0,1.5742765734443576,1.4089775332327,1.6011108332189772,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01675977653631285,0.0,0.0,0.0,0.0,1.9385474860335195,4.81251461,0.0,2.3075525800000003,9.124362354785204,2.57,5352.675,9.604477422015174,0.1265170746296644,1.137337057728119,1.0,3298.275,3.974375,0.0,0.0,2.6145251396648046,0.0,0.0,1.4089775332326997,Historical PPO-only Local (No KD),0.0,0.895,5.0,heldout_medium,0.0,0.0,0.105,77,0.0
0.04,0.0,0.0,200,0.96,0.96,1.79224425,1.84280249,2.1669640625,192,0.7495434806697313,0.4129032258064516,1.0,1.3341454175633427,1.280779600860809,1.3341454175633427,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2239583333333335,4.25200086,0.0,2.0454182850000002,10.23523724910617,2.325,4732.365,9.808732250755494,0.14361791893839837,1.009548611111111,1.0,2916.045,3.5125,0.0,0.0,2.328125,0.0,0.0,1.280779600860809,Historical KD-only Local,0.0,0.96,4.0,heldout_medium,0.0,0.0,0.04,77,0.0
0.025,0.0,0.0,200,0.975,0.975,1.791747,1.854151155,2.1630640938999997,195,0.7411834727710532,0.4148936170212766,1.0,1.3491936028488503,1.315463762777629,1.3491936028488503,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2051282051282053,4.272347925,0.0,2.0597199899999996,10.480794958204031,2.35,4752.375,9.746271102882428,0.1334514380991459,1.0222222222222224,1.0,2928.375,3.536875,0.0,0.0,2.358974358974359,0.0,0.0,1.3154637627776287,Historical KD+PPO Local,0.0,0.975,4.0,heldout_medium,0.0,0.0,0.025,77,0.0
0.025,0.0,0.0,200,0.975,0.975,2.823103,2.8937541499999995,3.204144140399999,195,0.7506403542567971,0.4202586206896552,1.0,1.3321958969153633,1.2988909994924793,1.3321958969153633,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2615384615384615,6.66167453,0.0,2.05156186,10.478137270957232,2.32,4692.345,9.8341504504246,0.1348643930256367,0.9974358974358974,1.0,24484.145,3.5225,0.0,0.0,2.3025641025641024,0.0,0.0,1.298890999492479,Privileged Global Teacher,0.0,0.975,3.0,heldout_medium,0.0,0.0,0.025,77,0.0
0.015,0.0,0.0,200,0.985,0.985,2.4954725,2.8697474575,3.357455925499999,197,0.7657793611319862,0.4236559139784946,1.0,1.305859168784316,1.2862712812525512,1.305859168784316,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,6.15119098,0.0,2.0426015299999998,10.647194148272279,2.325,4682.34,9.83864521181983,0.1349685664474964,0.9991539763113366,1.0,3484.26,3.47625,0.0,0.0,2.3197969543147208,0.0,0.0,1.286271281252551,Geo-Residual Student,0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,77,0.0
0.015,0.0,0.0,200,0.985,0.985,1.3892897499999999,1.8705872624999997,2.0119715770999975,197,0.7674585046084398,0.4236559139784946,1.0,1.3030020437524552,1.2834570130961682,1.3030020437524552,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,3.375405455,0.0,2.0441366349999996,10.647554178684949,2.325,4682.34,9.949398409804605,0.1388517688214779,0.9991539763113366,1.0,4083.3,3.456875,0.0,0.0,2.3197969543147208,0.0,0.0,1.2834570130961682,Predictive Prior Only,0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,77,0.0
0.015,0.0,0.0,200,0.985,0.985,2.7355894999999997,2.8477882875,3.171442975999995,197,0.7661102616321739,0.4236559139784946,1.0,1.3052951384171925,1.2857157113409345,1.3052951384171925,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,6.44604945,0.0,2.03461901,10.647601915091277,2.325,4682.34,9.938388875324957,0.13820935949683189,0.9991539763113366,1.0,4682.34,3.45625,0.0,0.0,2.3197969543147208,0.0,0.0,1.2857157113409345,Predictive Student (No Switch),0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,77,0.0
0.015,0.0,0.027777777777777776,200,0.985,0.985,5.87046525,5.9863978975,6.7789050498,197,0.7662354089713311,0.4236559139784946,1.0,1.305081947782206,1.285505718565473,1.305081947782206,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,13.963241620000002,0.0,2.04383939,10.647432408183812,2.325,4682.34,9.912806125140673,0.13687228456139564,0.9991539763113366,1.0,3526.42,3.476875,2.105,0.003325179438417157,2.3197969543147208,0.08070211112499237,0.01,1.285505718565473,SwitchGLOBE Exact,0.00641025641025641,0.985,4.0,heldout_medium,0.004273504273504274,0.0,0.015,77,0.0
0.03,0.0,0.0,200,0.97,0.97,2.0891015,2.2207620524999996,2.6854926866999995,194,0.7464764626529511,0.4127659574468085,1.0,1.3396269675349646,1.2994381585089156,1.3396269675349646,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.216494845360825,5.01507064,0.0,2.08442264,10.395307292610408,2.35,4762.38,9.722410867141067,0.1324689032137394,1.0163230240549828,1.0,4762.38,3.515,0.0,0.0,2.3402061855670104,0.0,0.0,1.2994381585089156,FastSwitchGLOBE,0.0,0.97,4.0,heldout_medium,0.0,0.0,0.03,77,0.0
