block,component,device,latency_ms,order_position,training_seed,variant
0,end_to_end_policy,cpu,0.490959,0,314,Teacher+Shortest+Risk
0,end_to_end_policy,cpu,0.467011,1,314,Shortest-Oracle Only
0,end_to_end_policy,cpu,0.450686,2,314,Shortest+Risk (No Teacher)
0,end_to_end_policy,cpu,0.494456,3,314,Teacher Distillation Only
0,end_to_end_policy,cpu,0.447822,4,314,Fixed Manual Prior
0,end_to_end_policy,cpu,0.491937,5,314,Existing Phase11 Predictive Prior
0,end_to_end_policy,cpu,0.451285,6,314,Risk-Oracle Only
1,end_to_end_policy,cpu,0.497305,0,314,Existing Phase11 Predictive Prior
1,end_to_end_policy,cpu,0.449898,1,314,Fixed Manual Prior
1,end_to_end_policy,cpu,0.483339,2,314,Teacher Distillation Only
1,end_to_end_policy,cpu,0.447698,3,314,Shortest-Oracle Only
1,end_to_end_policy,cpu,0.476864,4,314,Teacher+Shortest+Risk
1,end_to_end_policy,cpu,0.446976,5,314,Shortest+Risk (No Teacher)
1,end_to_end_policy,cpu,0.476171,6,314,Risk-Oracle Only
2,end_to_end_policy,cpu,0.461096,0,314,Risk-Oracle Only
2,end_to_end_policy,cpu,0.47692,1,314,Existing Phase11 Predictive Prior
2,end_to_end_policy,cpu,0.448148,2,314,Teacher Distillation Only
2,end_to_end_policy,cpu,0.477382,3,314,Shortest-Oracle Only
2,end_to_end_policy,cpu,0.445867,4,314,Teacher+Shortest+Risk
2,end_to_end_policy,cpu,0.470944,5,314,Fixed Manual Prior
2,end_to_end_policy,cpu,0.54472,6,314,Shortest+Risk (No Teacher)
3,end_to_end_policy,cpu,0.514728,0,314,Teacher+Shortest+Risk
3,end_to_end_policy,cpu,0.459464,1,314,Fixed Manual Prior
3,end_to_end_policy,cpu,0.481754,2,314,Existing Phase11 Predictive Prior
3,end_to_end_policy,cpu,0.460787,3,314,Teacher Distillation Only
3,end_to_end_policy,cpu,0.47774,4,314,Shortest-Oracle Only
3,end_to_end_policy,cpu,0.460289,5,314,Shortest+Risk (No Teacher)
3,end_to_end_policy,cpu,0.468284,6,314,Risk-Oracle Only
4,end_to_end_policy,cpu,0.472393,0,314,Risk-Oracle Only
4,end_to_end_policy,cpu,0.486399,1,314,Shortest+Risk (No Teacher)
4,end_to_end_policy,cpu,0.464495,2,314,Shortest-Oracle Only
4,end_to_end_policy,cpu,0.44551,3,314,Teacher+Shortest+Risk
4,end_to_end_policy,cpu,0.484507,4,314,Teacher Distillation Only
4,end_to_end_policy,cpu,0.447893,5,314,Fixed Manual Prior
4,end_to_end_policy,cpu,0.477396,6,314,Existing Phase11 Predictive Prior
5,end_to_end_policy,cpu,0.463572,0,314,Shortest+Risk (No Teacher)
5,end_to_end_policy,cpu,0.479519,1,314,Teacher+Shortest+Risk
5,end_to_end_policy,cpu,0.447684,2,314,Shortest-Oracle Only
5,end_to_end_policy,cpu,0.477923,3,314,Teacher Distillation Only
5,end_to_end_policy,cpu,0.460081,4,314,Risk-Oracle Only
5,end_to_end_policy,cpu,0.480445,5,314,Fixed Manual Prior
5,end_to_end_policy,cpu,0.449787,6,314,Existing Phase11 Predictive Prior
6,end_to_end_policy,cpu,0.497933,0,314,Risk-Oracle Only
6,end_to_end_policy,cpu,0.450303,1,314,Teacher Distillation Only
6,end_to_end_policy,cpu,0.47563,2,314,Teacher+Shortest+Risk
6,end_to_end_policy,cpu,0.456886,3,314,Existing Phase11 Predictive Prior
6,end_to_end_policy,cpu,0.474593,4,314,Shortest+Risk (No Teacher)
6,end_to_end_policy,cpu,0.564508,5,314,Shortest-Oracle Only
6,end_to_end_policy,cpu,0.494008,6,314,Fixed Manual Prior
7,end_to_end_policy,cpu,0.467932,0,314,Fixed Manual Prior
7,end_to_end_policy,cpu,0.4969,1,314,Shortest+Risk (No Teacher)
7,end_to_end_policy,cpu,0.452418,2,314,Teacher Distillation Only
7,end_to_end_policy,cpu,0.493191,3,314,Teacher+Shortest+Risk
7,end_to_end_policy,cpu,0.451744,4,314,Risk-Oracle Only
7,end_to_end_policy,cpu,0.473248,5,314,Shortest-Oracle Only
7,end_to_end_policy,cpu,0.467412,6,314,Existing Phase11 Predictive Prior
8,end_to_end_policy,cpu,0.503488,0,314,Shortest-Oracle Only
8,end_to_end_policy,cpu,0.455655,1,314,Teacher+Shortest+Risk
8,end_to_end_policy,cpu,0.472719,2,314,Teacher Distillation Only
8,end_to_end_policy,cpu,0.463672,3,314,Existing Phase11 Predictive Prior
8,end_to_end_policy,cpu,0.448321,4,314,Shortest+Risk (No Teacher)
8,end_to_end_policy,cpu,0.469894,5,314,Fixed Manual Prior
8,end_to_end_policy,cpu,0.450142,6,314,Risk-Oracle Only
9,end_to_end_policy,cpu,0.497644,0,314,Fixed Manual Prior
9,end_to_end_policy,cpu,0.449388,1,314,Shortest-Oracle Only
9,end_to_end_policy,cpu,0.491106,2,314,Teacher+Shortest+Risk
9,end_to_end_policy,cpu,0.445842,3,314,Shortest+Risk (No Teacher)
9,end_to_end_policy,cpu,0.493634,4,314,Teacher Distillation Only
9,end_to_end_policy,cpu,0.447405,5,314,Risk-Oracle Only
9,end_to_end_policy,cpu,0.475889,6,314,Existing Phase11 Predictive Prior
10,end_to_end_policy,cpu,0.465741,0,314,Shortest+Risk (No Teacher)
10,end_to_end_policy,cpu,0.514993,1,314,Fixed Manual Prior
10,end_to_end_policy,cpu,0.445112,2,314,Risk-Oracle Only
10,end_to_end_policy,cpu,0.476233,3,314,Existing Phase11 Predictive Prior
10,end_to_end_policy,cpu,0.557087,4,314,Teacher Distillation Only
10,end_to_end_policy,cpu,0.494374,5,314,Teacher+Shortest+Risk
10,end_to_end_policy,cpu,0.457654,6,314,Shortest-Oracle Only
11,end_to_end_policy,cpu,0.498096,0,314,Existing Phase11 Predictive Prior
11,end_to_end_policy,cpu,0.44948,1,314,Teacher+Shortest+Risk
11,end_to_end_policy,cpu,0.487033,2,314,Risk-Oracle Only
11,end_to_end_policy,cpu,0.44978,3,314,Shortest-Oracle Only
11,end_to_end_policy,cpu,0.481891,4,314,Fixed Manual Prior
11,end_to_end_policy,cpu,0.45164,5,314,Teacher Distillation Only
11,end_to_end_policy,cpu,0.479834,6,314,Shortest+Risk (No Teacher)
12,end_to_end_policy,cpu,0.466862,0,314,Existing Phase11 Predictive Prior
12,end_to_end_policy,cpu,0.481646,1,314,Fixed Manual Prior
12,end_to_end_policy,cpu,0.460872,2,314,Teacher Distillation Only
12,end_to_end_policy,cpu,0.481887,3,314,Risk-Oracle Only
12,end_to_end_policy,cpu,0.467753,4,314,Shortest+Risk (No Teacher)
12,end_to_end_policy,cpu,0.489786,5,314,Teacher+Shortest+Risk
12,end_to_end_policy,cpu,0.460783,6,314,Shortest-Oracle Only
13,end_to_end_policy,cpu,0.494058,0,314,Risk-Oracle Only
13,end_to_end_policy,cpu,0.454111,1,314,Existing Phase11 Predictive Prior
13,end_to_end_policy,cpu,0.445657,2,314,Fixed Manual Prior
13,end_to_end_policy,cpu,0.468324,3,314,Teacher Distillation Only
13,end_to_end_policy,cpu,0.447463,4,314,Shortest+Risk (No Teacher)
13,end_to_end_policy,cpu,0.481666,5,314,Shortest-Oracle Only
13,end_to_end_policy,cpu,0.44579,6,314,Teacher+Shortest+Risk
14,end_to_end_policy,cpu,0.493847,0,314,Shortest+Risk (No Teacher)
14,end_to_end_policy,cpu,0.449519,1,314,Fixed Manual Prior
14,end_to_end_policy,cpu,0.592034,2,314,Shortest-Oracle Only
14,end_to_end_policy,cpu,0.46431,3,314,Teacher Distillation Only
14,end_to_end_policy,cpu,0.489683,4,314,Teacher+Shortest+Risk
14,end_to_end_policy,cpu,0.452232,5,314,Existing Phase11 Predictive Prior
14,end_to_end_policy,cpu,0.486589,6,314,Risk-Oracle Only
15,end_to_end_policy,cpu,0.466772,0,314,Teacher+Shortest+Risk
15,end_to_end_policy,cpu,0.49024,1,314,Existing Phase11 Predictive Prior
15,end_to_end_policy,cpu,0.453265,2,314,Shortest-Oracle Only
15,end_to_end_policy,cpu,0.48266,3,314,Risk-Oracle Only
15,end_to_end_policy,cpu,0.471556,4,314,Teacher Distillation Only
15,end_to_end_policy,cpu,0.499347,5,314,Fixed Manual Prior
15,end_to_end_policy,cpu,0.452869,6,314,Shortest+Risk (No Teacher)
16,end_to_end_policy,cpu,0.534337,0,314,Fixed Manual Prior
16,end_to_end_policy,cpu,0.456693,1,314,Teacher Distillation Only
16,end_to_end_policy,cpu,0.486791,2,314,Shortest-Oracle Only
16,end_to_end_policy,cpu,0.450298,3,314,Teacher+Shortest+Risk
16,end_to_end_policy,cpu,0.489124,4,314,Shortest+Risk (No Teacher)
16,end_to_end_policy,cpu,0.450214,5,314,Existing Phase11 Predictive Prior
16,end_to_end_policy,cpu,0.48094,6,314,Risk-Oracle Only
17,end_to_end_policy,cpu,0.477306,0,314,Teacher Distillation Only
17,end_to_end_policy,cpu,0.482115,1,314,Existing Phase11 Predictive Prior
17,end_to_end_policy,cpu,0.450199,2,314,Shortest+Risk (No Teacher)
17,end_to_end_policy,cpu,0.479202,3,314,Teacher+Shortest+Risk
17,end_to_end_policy,cpu,0.461315,4,314,Risk-Oracle Only
17,end_to_end_policy,cpu,0.480605,5,314,Fixed Manual Prior
17,end_to_end_policy,cpu,0.452728,6,314,Shortest-Oracle Only
18,end_to_end_policy,cpu,0.496971,0,314,Fixed Manual Prior
18,end_to_end_policy,cpu,0.460696,1,314,Shortest+Risk (No Teacher)
18,end_to_end_policy,cpu,0.470062,2,314,Teacher Distillation Only
18,end_to_end_policy,cpu,0.4991,3,314,Shortest-Oracle Only
18,end_to_end_policy,cpu,0.499038,4,314,Existing Phase11 Predictive Prior
18,end_to_end_policy,cpu,0.457125,5,314,Risk-Oracle Only
18,end_to_end_policy,cpu,0.47418,6,314,Teacher+Shortest+Risk
19,end_to_end_policy,cpu,0.474053,0,314,Shortest-Oracle Only
19,end_to_end_policy,cpu,0.489131,1,314,Risk-Oracle Only
19,end_to_end_policy,cpu,0.459843,2,314,Teacher+Shortest+Risk
19,end_to_end_policy,cpu,0.444815,3,314,Teacher Distillation Only
19,end_to_end_policy,cpu,0.480391,4,314,Existing Phase11 Predictive Prior
19,end_to_end_policy,cpu,0.444383,5,314,Fixed Manual Prior
19,end_to_end_policy,cpu,0.484837,6,314,Shortest+Risk (No Teacher)
20,end_to_end_policy,cpu,0.464874,0,314,Fixed Manual Prior
20,end_to_end_policy,cpu,0.483845,1,314,Shortest+Risk (No Teacher)
20,end_to_end_policy,cpu,0.449344,2,314,Teacher Distillation Only
20,end_to_end_policy,cpu,0.48262,3,314,Teacher+Shortest+Risk
20,end_to_end_policy,cpu,0.448146,4,314,Risk-Oracle Only
20,end_to_end_policy,cpu,0.479112,5,314,Shortest-Oracle Only
20,end_to_end_policy,cpu,0.447607,6,314,Existing Phase11 Predictive Prior
21,end_to_end_policy,cpu,0.491654,0,314,Existing Phase11 Predictive Prior
21,end_to_end_policy,cpu,0.461153,1,314,Shortest-Oracle Only
21,end_to_end_policy,cpu,0.525035,2,314,Fixed Manual Prior
21,end_to_end_policy,cpu,0.462794,3,314,Shortest+Risk (No Teacher)
21,end_to_end_policy,cpu,0.48485,4,314,Teacher Distillation Only
21,end_to_end_policy,cpu,0.449615,5,314,Risk-Oracle Only
21,end_to_end_policy,cpu,0.50158,6,314,Teacher+Shortest+Risk
22,end_to_end_policy,cpu,0.466187,0,314,Risk-Oracle Only
22,end_to_end_policy,cpu,0.481053,1,314,Fixed Manual Prior
22,end_to_end_policy,cpu,0.449861,2,314,Shortest+Risk (No Teacher)
22,end_to_end_policy,cpu,0.478723,3,314,Existing Phase11 Predictive Prior
22,end_to_end_policy,cpu,0.452911,4,314,Shortest-Oracle Only
22,end_to_end_policy,cpu,0.476077,5,314,Teacher+Shortest+Risk
22,end_to_end_policy,cpu,0.452067,6,314,Teacher Distillation Only
23,end_to_end_policy,cpu,0.494324,0,314,Shortest+Risk (No Teacher)
23,end_to_end_policy,cpu,0.453206,1,314,Existing Phase11 Predictive Prior
23,end_to_end_policy,cpu,0.48376,2,314,Fixed Manual Prior
23,end_to_end_policy,cpu,0.457604,3,314,Teacher+Shortest+Risk
23,end_to_end_policy,cpu,0.447018,4,314,Teacher Distillation Only
23,end_to_end_policy,cpu,0.482346,5,314,Shortest-Oracle Only
23,end_to_end_policy,cpu,0.44556,6,314,Risk-Oracle Only
24,end_to_end_policy,cpu,0.501711,0,314,Fixed Manual Prior
24,end_to_end_policy,cpu,0.461977,1,314,Shortest+Risk (No Teacher)
24,end_to_end_policy,cpu,0.486272,2,314,Risk-Oracle Only
24,end_to_end_policy,cpu,0.441763,3,314,Shortest-Oracle Only
24,end_to_end_policy,cpu,0.474413,4,314,Existing Phase11 Predictive Prior
24,end_to_end_policy,cpu,0.498898,5,314,Teacher Distillation Only
24,end_to_end_policy,cpu,0.500316,6,314,Teacher+Shortest+Risk
25,end_to_end_policy,cpu,0.478285,0,314,Shortest+Risk (No Teacher)
25,end_to_end_policy,cpu,0.487501,1,314,Fixed Manual Prior
25,end_to_end_policy,cpu,0.449058,2,314,Risk-Oracle Only
25,end_to_end_policy,cpu,0.480868,3,314,Existing Phase11 Predictive Prior
25,end_to_end_policy,cpu,0.445991,4,314,Teacher+Shortest+Risk
25,end_to_end_policy,cpu,0.478295,5,314,Teacher Distillation Only
25,end_to_end_policy,cpu,0.448073,6,314,Shortest-Oracle Only
