epoch,method,train_objective,validation_objective
1,Shortest-Oracle Only,1.5030505711029936,1.6036092830853736
2,Shortest-Oracle Only,1.4905749570725462,1.5902640904831478
3,Shortest-Oracle Only,1.4780956832116254,1.5769824900115446
4,Shortest-Oracle Only,1.4656269154018648,1.5637849485892716
5,Shortest-Oracle Only,1.4532133118944592,1.550583361096182
6,Shortest-Oracle Only,1.4409687666272426,1.5373009196707101
7,Shortest-Oracle Only,1.4286317238905413,1.5241450722072951
8,Shortest-Oracle Only,1.416352288720211,1.5110863927363607
9,Shortest-Oracle Only,1.4042488803388358,1.4980236538461356
10,Shortest-Oracle Only,1.392010968717967,1.4851343501967553
11,Shortest-Oracle Only,1.3800398328466785,1.4721590408455714
12,Shortest-Oracle Only,1.3681741106849852,1.4590991956078987
13,Shortest-Oracle Only,1.3559808330801284,1.4463572427978042
14,Shortest-Oracle Only,1.3441486032262204,1.433590627940224
15,Shortest-Oracle Only,1.3322512781276363,1.4209129917862626
16,Shortest-Oracle Only,1.3205184371962864,1.4081663840666159
17,Shortest-Oracle Only,1.3087788457334926,1.395449711041725
18,Shortest-Oracle Only,1.2970542784155141,1.3828662239003515
19,Shortest-Oracle Only,1.2854324234384156,1.3703576828791972
20,Shortest-Oracle Only,1.2738622339183818,1.3579025795077833
21,Shortest-Oracle Only,1.26237208075254,1.3454978302885918
22,Shortest-Oracle Only,1.2509137400784625,1.3331984947109667
23,Shortest-Oracle Only,1.239364098576859,1.3211409875059943
24,Shortest-Oracle Only,1.2281664782336426,1.3088915403671622
25,Shortest-Oracle Only,1.2169126103747152,1.2966444800096575
26,Shortest-Oracle Only,1.205612201985469,1.2844946221281914
27,Shortest-Oracle Only,1.1944661275523243,1.2723742647452823
28,Shortest-Oracle Only,1.1833549077521561,1.2603393943276413
29,Shortest-Oracle Only,1.1722012359467056,1.2485194450959818
30,Shortest-Oracle Only,1.1611458546836024,1.236875818083483
31,Shortest-Oracle Only,1.1504464066042501,1.225019325920805
32,Shortest-Oracle Only,1.1394224805526785,1.2133528248147682
33,Shortest-Oracle Only,1.1286457982029126,1.2016611210480448
34,Shortest-Oracle Only,1.1178537436156168,1.1901184481743892
35,Shortest-Oracle Only,1.107352676540191,1.1784484412399459
36,Shortest-Oracle Only,1.0965443829102748,1.1671164273103325
37,Shortest-Oracle Only,1.0860076126824258,1.1557688731613278
38,Shortest-Oracle Only,1.0755924208723213,1.1444498354317056
39,Shortest-Oracle Only,1.0651567430421525,1.1332702599639655
40,Shortest-Oracle Only,1.0548387143516953,1.122211606098371
41,Shortest-Oracle Only,1.0446423812620522,1.1111390242124235
42,Shortest-Oracle Only,1.0343736216358852,1.100282287894289
43,Shortest-Oracle Only,1.0243951362126114,1.0893608756235933
44,Shortest-Oracle Only,1.0144155471647924,1.0785260663989173
45,Shortest-Oracle Only,1.0045174197979,1.0677907774644915
46,Shortest-Oracle Only,0.9947020581435648,1.0571937416426687
47,Shortest-Oracle Only,0.9848387559003342,1.0468509968480277
48,Shortest-Oracle Only,0.9752520957682018,1.0365046257179225
49,Shortest-Oracle Only,0.9657074587878695,1.0262719720926479
50,Shortest-Oracle Only,0.9564152435846397,1.0159394559370785
51,Shortest-Oracle Only,0.9469148510794821,1.0059386211828347
52,Shortest-Oracle Only,0.9377323926796299,0.995986062668345
53,Shortest-Oracle Only,0.9286034304764723,0.9861877031311462
54,Shortest-Oracle Only,0.9196138752140496,0.9764767794364347
55,Shortest-Oracle Only,0.9107858907419569,0.9668330879270752
56,Shortest-Oracle Only,0.9020577193776521,0.9573343804983848
57,Shortest-Oracle Only,0.8933186534642578,0.9481764636922216
58,Shortest-Oracle Only,0.8849452911784422,0.9389843180613421
59,Shortest-Oracle Only,0.8765541098749929,0.9300518217576236
60,Shortest-Oracle Only,0.8683938563932798,0.9212268566825712
61,Shortest-Oracle Only,0.8603480864397547,0.9125437154369443
62,Shortest-Oracle Only,0.8524267802812957,0.9040882980471265
63,Shortest-Oracle Only,0.8447042716739377,0.8957682393757774
64,Shortest-Oracle Only,0.8370433506757453,0.8876336403249026
65,Shortest-Oracle Only,0.8297650799356368,0.8794518866768892
66,Shortest-Oracle Only,0.8223758970393953,0.8715960223048137
67,Shortest-Oracle Only,0.8152543844689609,0.8639489692254905
68,Shortest-Oracle Only,0.8082233515804439,0.8565712742634917
69,Shortest-Oracle Only,0.8015323031189004,0.849207245543437
70,Shortest-Oracle Only,0.7949008552397595,0.8420693544355188
71,Shortest-Oracle Only,0.7884146335660924,0.8351860925161264
72,Shortest-Oracle Only,0.7822563135014079,0.8283652491740083
73,Shortest-Oracle Only,0.7760806016436499,0.8218617661744588
74,Shortest-Oracle Only,0.7702555465332728,0.8154273151795193
75,Shortest-Oracle Only,0.7644797196846727,0.809241786158845
76,Shortest-Oracle Only,0.7589520751049351,0.8032109540877038
77,Shortest-Oracle Only,0.7535804757633282,0.797394143292915
78,Shortest-Oracle Only,0.7483176893342477,0.791845915662371
79,Shortest-Oracle Only,0.7433751944084402,0.7863685888228112
80,Shortest-Oracle Only,0.7384867564953679,0.7811507496455594
81,Shortest-Oracle Only,0.7338225468757291,0.7761266350189968
82,Shortest-Oracle Only,0.7293175342549405,0.7712820722007455
83,Shortest-Oracle Only,0.725020622545591,0.7665646213395043
84,Shortest-Oracle Only,0.7207984950339431,0.7620840502749335
85,Shortest-Oracle Only,0.7168155983375959,0.7577112084413947
86,Shortest-Oracle Only,0.7129510961022303,0.7535083023237403
87,Shortest-Oracle Only,0.7092412143841403,0.749457582900906
88,Shortest-Oracle Only,0.7056231041924792,0.7456294370476232
89,Shortest-Oracle Only,0.7022524251776563,0.7418974161518862
90,Shortest-Oracle Only,0.6989823298004543,0.7383197677636035
91,Shortest-Oracle Only,0.6958127730668654,0.7349241350894767
92,Shortest-Oracle Only,0.6927846400981306,0.7316814440405387
93,Shortest-Oracle Only,0.689956357510482,0.7284848004069706
94,Shortest-Oracle Only,0.6871498747579934,0.725475746217078
95,Shortest-Oracle Only,0.6845101266677251,0.7225910812662697
96,Shortest-Oracle Only,0.6819943045799066,0.7198143250093119
97,Shortest-Oracle Only,0.6795881806939984,0.7171511453566247
98,Shortest-Oracle Only,0.6772755890801596,0.7146085387625924
99,Shortest-Oracle Only,0.6750797814298641,0.7121571055837961
100,Shortest-Oracle Only,0.6729548078857845,0.7098400985842359
101,Shortest-Oracle Only,0.6709371127301187,0.7076181267876277
102,Shortest-Oracle Only,0.668999797700743,0.7055018597034792
103,Shortest-Oracle Only,0.6671612172042543,0.7034698029513677
104,Shortest-Oracle Only,0.6654208972143781,0.7014967119712295
105,Shortest-Oracle Only,0.6636834105855722,0.6996822757631957
106,Shortest-Oracle Only,0.6621163920290648,0.6978722838554561
107,Shortest-Oracle Only,0.6605767422845971,0.6961317151367757
108,Shortest-Oracle Only,0.659086308863099,0.6944836176016468
