ci95_high,ci95_low,count,mean,method,metric,scenario,standard_deviation
0.8344792649942303,0.6715207350057697,5,0.753,Historical Untrained Local,connected_pair_pdr,heldout_medium,0.0656315472924416
0.7859184542471833,0.5340815457528167,5,0.66,Historical Untrained Local,deadline_delivery_ratio,heldout_medium,0.10142731387550398
6.502416424834141,5.237583575165857,5,5.869999999999999,Historical Untrained Local,p95_success_delay,heldout_medium,0.5094114250779999
1.9297096676902612,1.5364167752776523,5,1.7330632214839568,Historical Untrained Local,mean_transmission_energy_proxy,heldout_medium,0.15839871082530704
2.7923885936460753,1.8569866442956844,5,2.32468761897088,Historical Untrained Local,energy_per_delivered_packet,heldout_medium,0.3767331313100305
0.7179731914822591,0.5660268085177409,5,0.642,Historical Untrained Local,connected_pair_pdr,ood_link_loss,0.06119640512317698
0.6863680086857465,0.4616319913142536,5,0.5740000000000001,Historical Untrained Local,deadline_delivery_ratio,ood_link_loss,0.09051243008559653
6.47686190924149,4.883138090758506,5,5.679999999999998,Historical Untrained Local,p95_success_delay,ood_link_loss,0.6418722614352461
1.7168700684670728,1.421137040445424,5,1.5690035544562484,Historical Untrained Local,mean_transmission_energy_proxy,ood_link_loss,0.11910647583722209
2.989501045326228,1.95877286970165,5,2.474136957513939,Historical Untrained Local,energy_per_delivered_packet,ood_link_loss,0.41512576855563726
0.8449907121274031,0.6430092878725969,5,0.744,Historical Untrained Local,connected_pair_pdr,ood_fast_mobility,0.0813480178000669
0.7926025719173839,0.44139742808261606,5,0.617,Historical Untrained Local,deadline_delivery_ratio,ood_fast_mobility,0.14144787025614772
7.07997835259661,5.7200216474033905,5,6.4,Historical Untrained Local,p95_success_delay,ood_fast_mobility,0.5477225575051662
2.071828507332408,1.552913443740878,5,1.812370975536643,Historical Untrained Local,mean_transmission_energy_proxy,ood_fast_mobility,0.20899303975851727
3.206932260955229,1.7659760710666486,5,2.486454166010939,Historical Untrained Local,energy_per_delivered_packet,ood_fast_mobility,0.5803450996379614
0.8722735765518116,0.7777264234481883,5,0.825,Historical Untrained Local,connected_pair_pdr,ood_sparse,0.038078865529319515
