ci95_high,ci95_low,count,mean,metric,scenario,standard_deviation
0.9842416220497334,0.9277583779502663,5,0.9559999999999998,exact_action_sequence_agreement,heldout_medium,0.02274862633215464
0.9855744987446954,0.9264255012553043,5,0.9559999999999998,exact_action_sequence_agreement,ood_link_loss,0.023822258499143177
0.9519844053622603,0.8780155946377394,5,0.9149999999999998,exact_action_sequence_agreement,ood_fast_mobility,0.029790938219532458
1.005825634900376,0.974174365099624,5,0.99,exact_action_sequence_agreement,ood_sparse,0.012747548783981974
0.9909489469941514,0.9210510530058488,5,0.9560000000000001,exact_action_sequence_agreement,ood_nodes_10,0.028151376520518485
0.9856812531003167,0.942318746899683,5,0.9639999999999999,exact_action_sequence_agreement,unconditional_sparse,0.017464249196572995
1.0,1.0,5,1.0,exact_action_sequence_agreement,structural_hole_45,0.0
1.0,1.0,5,1.0,exact_action_sequence_agreement,structural_hole_225_link_loss,0.0
1.0,1.0,5,1.0,exact_action_sequence_agreement,predictive_break_45,0.0
1.0,1.0,5,1.0,exact_action_sequence_agreement,predictive_break_225_link_loss,0.0
0.9922800836901361,0.9437199163098643,5,0.9680000000000002,exact_action_sequence_agreement,ood_link_loss_30,0.019557607215607963
0.9699970370110973,0.8600029629889028,5,0.915,exact_action_sequence_agreement,ood_extreme_mobility,0.04430011286667337
0.9552301283169017,0.8507698716830986,5,0.9030000000000001,exact_action_sequence_agreement,ood_nodes_16,0.042071367935925266
0.8962057454856828,0.7417942545143176,5,0.8190000000000002,exact_action_sequence_agreement,ood_nodes_24,0.062189227362944466
0.9776517074525585,0.9283482925474414,5,0.953,exact_action_sequence_agreement,ALL_POOLED,0.019856950153227353
0.9842416220497334,0.9277583779502663,5,0.9559999999999998,exact_node_trajectory_agreement,heldout_medium,0.02274862633215464
0.9855744987446954,0.9264255012553043,5,0.9559999999999998,exact_node_trajectory_agreement,ood_link_loss,0.023822258499143177
0.9519844053622603,0.8780155946377394,5,0.9149999999999998,exact_node_trajectory_agreement,ood_fast_mobility,0.029790938219532458
1.005825634900376,0.974174365099624,5,0.99,exact_node_trajectory_agreement,ood_sparse,0.012747548783981974
0.9909489469941514,0.9210510530058488,5,0.9560000000000001,exact_node_trajectory_agreement,ood_nodes_10,0.028151376520518485
0.9856812531003167,0.942318746899683,5,0.9639999999999999,exact_node_trajectory_agreement,unconditional_sparse,0.017464249196572995
1.0,1.0,5,1.0,exact_node_trajectory_agreement,structural_hole_45,0.0
1.0,1.0,5,1.0,exact_node_trajectory_agreement,structural_hole_225_link_loss,0.0
1.0,1.0,5,1.0,exact_node_trajectory_agreement,predictive_break_45,0.0
1.0,1.0,5,1.0,exact_node_trajectory_agreement,predictive_break_225_link_loss,0.0
0.9922800836901361,0.9437199163098643,5,0.9680000000000002,exact_node_trajectory_agreement,ood_link_loss_30,0.019557607215607963
0.9699970370110973,0.8600029629889028,5,0.915,exact_node_trajectory_agreement,ood_extreme_mobility,0.04430011286667337
0.9552301283169017,0.8507698716830986,5,0.9030000000000001,exact_node_trajectory_agreement,ood_nodes_16,0.042071367935925266
0.8962057454856828,0.7417942545143176,5,0.8190000000000002,exact_node_trajectory_agreement,ood_nodes_24,0.062189227362944466
0.9776517074525585,0.9283482925474414,5,0.953,exact_node_trajectory_agreement,ALL_POOLED,0.019856950153227353
0.9855304198612717,0.9312695801387282,5,0.9583999999999999,mean_common_prefix_ratio,heldout_medium,0.0218535529783552
0.9886917477946802,0.9329415855386534,5,0.9608166666666668,mean_common_prefix_ratio,ood_link_loss,0.02245337762267997
0.9531477762953326,0.8914426998951435,5,0.9222952380952381,mean_common_prefix_ratio,ood_fast_mobility,0.024851719270108253
1.0059380845229748,0.9745619154770252,5,0.99025,mean_common_prefix_ratio,ood_sparse,0.012636751956100126
0.9916783229743571,0.9306216770256428,5,0.96115,mean_common_prefix_ratio,ood_nodes_10,0.024590563908404642
0.9863877289185915,0.9495979853671227,5,0.9679928571428571,mean_common_prefix_ratio,unconditional_sparse,0.014817069066258813
1.0,1.0,5,1.0,mean_common_prefix_ratio,structural_hole_45,0.0
1.0,1.0,5,1.0,mean_common_prefix_ratio,structural_hole_225_link_loss,0.0
1.0,1.0,5,1.0,mean_common_prefix_ratio,predictive_break_45,0.0
1.0,1.0,5,1.0,mean_common_prefix_ratio,predictive_break_225_link_loss,0.0
0.9918435276529801,0.9523898056803534,5,0.9721166666666667,mean_common_prefix_ratio,ood_link_loss_30,0.015889986364584035
0.9755853728564545,0.8792146271435453,5,0.9273999999999999,mean_common_prefix_ratio,ood_extreme_mobility,0.03881331744531905
0.9622053401537755,0.8655898979414623,5,0.9138976190476189,mean_common_prefix_ratio,ood_nodes_16,0.03891186895946231
0.9177907154077238,0.7791681590511506,5,0.8484794372294372,mean_common_prefix_ratio,ood_nodes_24,0.05583023401082375
0.9807173489798153,0.9368252917128255,5,0.9587713203463204,mean_common_prefix_ratio,ALL_POOLED,0.01767752588640184
