connected_pair_pdr,deadline_delivery_ratio,energy_per_delivered_packet,mean_transmission_energy_proxy,method,p95_success_delay,scenario,training_seed
0.47067961165048544,0.3389285714285714,4.399790696171552,1.9830485209173208,Historical Untrained Local,7.0,ALL_POOLED,42
0.538252427184466,0.42857142857142855,3.3835688511286044,1.7123275221604402,Historical Untrained Local,7.0,ALL_POOLED,77
0.574757281553398,0.4807142857142857,3.245179876738288,1.736171234054984,Historical Untrained Local,6.0,ALL_POOLED,123
0.6442718446601942,0.5478571428571428,2.8180221661630576,1.6968519186253266,Historical Untrained Local,6.0,ALL_POOLED,314
0.5464077669902913,0.43714285714285717,3.698662108998371,1.895564330861665,Historical Untrained Local,7.0,ALL_POOLED,2718
0.6939805825242719,0.6214285714285714,2.607778994790608,1.6792234027169526,Historical PPO-only Local (No KD),6.0,ALL_POOLED,42
0.6722330097087379,0.6003571428571428,2.559384085067264,1.604185381890374,Historical PPO-only Local (No KD),6.0,ALL_POOLED,77
0.6535922330097087,0.5860714285714286,2.642579819338193,1.6063110187548588,Historical PPO-only Local (No KD),6.0,ALL_POOLED,123
0.6846601941747573,0.6103571428571428,2.6425196541831166,1.6864937935804392,Historical PPO-only Local (No KD),6.0,ALL_POOLED,314
0.6664077669902913,0.5914285714285714,2.5438402061210406,1.598076758059611,Historical PPO-only Local (No KD),6.0,ALL_POOLED,2718
0.6866019417475728,0.6285714285714286,1.8926080208614813,1.2011301618110186,Historical KD-only Local,5.0,ALL_POOLED,42
0.686990291262136,0.63,1.8743995518372658,1.190913143828034,Historical KD-only Local,5.0,ALL_POOLED,77
0.6897087378640777,0.6321428571428571,1.8797295815717854,1.19967027223885,Historical KD-only Local,5.0,ALL_POOLED,123
0.698252427184466,0.64,1.877160155268192,1.2127795431714854,Historical KD-only Local,4.0,ALL_POOLED,314
0.6815533980582524,0.6242857142857143,1.9124465587146458,1.2062073652464516,Historical KD-only Local,5.0,ALL_POOLED,2718
0.6881553398058252,0.6314285714285715,1.8709136905877781,1.1913711108278602,Historical KD+PPO Local,4.0,ALL_POOLED,42
0.6893203883495146,0.6317857142857143,1.8992765299680294,1.2114671009010358,Historical KD+PPO Local,4.0,ALL_POOLED,77
0.6862135922330097,0.6278571428571429,1.8808241915770367,1.1943233616514184,Historical KD+PPO Local,5.0,ALL_POOLED,123
0.6885436893203883,0.6307142857142857,1.8651414066445173,1.1890276467358798,Historical KD+PPO Local,5.0,ALL_POOLED,314
0.6819417475728156,0.6246428571428572,1.869484809876761,1.1797784496615131,Historical KD+PPO Local,5.0,ALL_POOLED,2718
0.7949514563106796,0.7289285714285715,1.982783594002004,1.492044654486508,Privileged Global Teacher,4.0,ALL_POOLED,42
0.8027184466019417,0.7353571428571428,2.0079901535199935,1.5153154265670523,Privileged Global Teacher,5.0,ALL_POOLED,77
0.7879611650485437,0.7225,2.019797210578562,1.4975353604146766,Privileged Global Teacher,5.0,ALL_POOLED,123
