baseline,ci95_high,ci95_low,count,definition,mean,metric,positive_means_variant_better,standard_deviation,variant
SwitchGLOBE Exact,-0.003600108237016953,-0.01039989176298306,5,minimum direction-aligned scenario advantage per seed,-0.007000000000000006,connected_pair_pdr,1,0.002738612787525833,Predictive Prior Only
SwitchGLOBE Exact,-0.003600108237016953,-0.01039989176298306,5,minimum direction-aligned scenario advantage per seed,-0.007000000000000006,deadline_delivery_ratio,1,0.002738612787525833,Predictive Prior Only
SwitchGLOBE Exact,0.07912541843812804,-1.259125418438129,5,minimum direction-aligned scenario advantage per seed,-0.5900000000000005,p95_success_delay,1,0.5389805191284751,Predictive Prior Only
SwitchGLOBE Exact,-0.003638002352328324,-0.017709033727214902,5,minimum direction-aligned scenario advantage per seed,-0.010673518039771613,mean_transmission_energy_proxy,1,0.005667107829210864,Predictive Prior Only
SwitchGLOBE Exact,0.0012338868988812663,-0.023276791069772033,5,minimum direction-aligned scenario advantage per seed,-0.011021452085445383,energy_per_delivered_packet,1,0.00987167545254237,Predictive Prior Only
SwitchGLOBE Exact,0.34673654713096536,-0.7567365471309653,5,minimum direction-aligned scenario advantage per seed,-0.205,connected_pair_pdr,1,0.4444237842420228,Predictive Student (No Switch)
SwitchGLOBE Exact,0.3450622210386046,-0.7570622210386045,5,minimum direction-aligned scenario advantage per seed,-0.20599999999999996,deadline_delivery_ratio,1,0.4438806145800918,Predictive Student (No Switch)
SwitchGLOBE Exact,0.07780071632676111,-1.2378007163267635,5,minimum direction-aligned scenario advantage per seed,-0.5800000000000012,p95_success_delay,1,0.5298584716695592,Predictive Student (No Switch)
SwitchGLOBE Exact,0.0007011233384427735,-0.026498262971866825,5,minimum direction-aligned scenario advantage per seed,-0.012898569816712025,mean_transmission_energy_proxy,1,0.010954552726248101,Predictive Student (No Switch)
SwitchGLOBE Exact,62.91998171759862,-133.8007563814719,5,minimum direction-aligned scenario advantage per seed,-35.440387331936634,energy_per_delivered_packet,1,79.22927647216399,Predictive Student (No Switch)
SwitchGLOBE Exact,-0.01740688369856265,-0.19459311630143739,5,minimum direction-aligned scenario advantage per seed,-0.10600000000000001,connected_pair_pdr,1,0.07136175446273729,FastSwitchGLOBE
SwitchGLOBE Exact,-0.007911136694312454,-0.2740888633056876,5,minimum direction-aligned scenario advantage per seed,-0.14100000000000004,deadline_delivery_ratio,1,0.10720307831401113,FastSwitchGLOBE
SwitchGLOBE Exact,-0.48960000000000026,-2.7104,5,minimum direction-aligned scenario advantage per seed,-1.6,p95_success_delay,1,0.8944271909999159,FastSwitchGLOBE
SwitchGLOBE Exact,-0.028738587978366037,-1.0462513819843307,5,minimum direction-aligned scenario advantage per seed,-0.5374949849813484,mean_transmission_energy_proxy,1,0.4098032736622979,FastSwitchGLOBE
SwitchGLOBE Exact,0.038399391531743654,-1.9685793042349062,5,minimum direction-aligned scenario advantage per seed,-0.9650899563515812,energy_per_delivered_packet,1,0.8083106615864731,FastSwitchGLOBE
