action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[1,6,7,5,0,2]",0.0,0.0,0.0,0.0,12.660837888717651,0,,,-2.0,4,1.8781154999999998,454.71784675000004,575.3418989500002,615.3045490000001,6,1,,0,,5.911223,1100000,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,1,12006,0,1.0,0.0,Historical Untrained Local,12.0,0.1048591136932373,0.0,"[3,1,6,7,5,0,2]",3.0,7398,10.375,,0.0,heldout_medium,6,0.0,0.0,0.16666666666666666,10.575024354457856,42,6,2.100964603713555
"[3,5,1,4,2,6]",0.0,0.0,0.0,0.0,16.338941991329193,0,,,-2.0,4,1.8330445000000002,1.9168470000000002,1.9380822000000002,11.071214000000001,6,1,,0,,5.808984,1100001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,1,12006,0,1.0,0.0,Historical Untrained Local,12.0,0.1146802306175232,0.0,"[7,3,5,1,4,2,6]",3.0,7398,7.875,,0.0,heldout_medium,6,0.0,0.0,0.16666666666666666,10.371413946151733,42,6,3.1747260674753672
"[2,0,4,5]",0.0,0.0,0.0,0.0,10.991646111011505,1,,,3.0,7,1.929805,1.9516315,1.9530199000000001,7.7243,4,1,,0,,3.458198,1100002,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.026111721992492676,0.0,"[3,2,0,4,5]",1.0,4932,4.5,,0.0,heldout_medium,4,0.0,0.0,0.25,10.578221130371094,42,4,2.298888525082667
"[4,7]",0.0,0.0,0.0,0.0,5.282225847244263,1,,,2.0,4,1.8777355,1.93133905,1.93610381,3.755471,2,1,,0,,1.166121,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.2020200490951538,0.0,"[2,4,7]",1.0,2466,3.375,,0.0,heldout_medium,2,0.0,0.0,0.5,10.651459741592408,42,2,0.9098582117970189
"[7,1]",0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,1.9271985,1.93507305,1.93577301,3.854397,2,1,,0,,1.1583269999999999,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,8.151648050685244,0.15219110250473022,0.0,"[3,7,1]",1.0,2466,2.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,42,2,1.3128961105718773
"[5,3,0,6]",0.0,0.0,0.0,0.0,11.122166872024536,1,,,2.0,6,1.814522,1.9046439499999999,1.91516639,7.328806999999999,4,1,,0,,2.775479,1100005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.0406796932220459,0.0,"[4,5,3,0,6]",1.3333333333333333,4932,6.75,,0.0,heldout_medium,4,0.0,0.0,0.25,11.30111870765686,42,4,2.083068745258263
"[1,4,3,6,0]",0.0,0.0,0.0,0.0,12.520894527435303,1,,,2.0,7,1.811702,1.814917,1.8151674,9.041761,5,1,,0,,3.660183,1100006,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,10005,0,1.0,0.0,Historical Untrained Local,6.639227799752978,0.062399446964263916,0.0,"[2,1,4,3,6,0]",1.25,6165,8.75,,0.0,heldout_medium,5,0.0,0.0,0.2,11.33631727695465,42,5,2.339455193622996
"[3,0,4]",0.0,0.0,0.0,0.0,6.367617249488831,1,,,1.0,4,1.913924,1.9398665,1.9421725,5.672854,3,1,,0,,2.236864,1100007,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,6003,0,1.0,0.0,Historical Untrained Local,12.0,0.16562104225158691,0.0,"[1,3,0,4]",1.5,3699,4.75,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.805280780792236,42,3,1.0082914831996463
"[7,0,5,6]",0.0,0.0,0.0,0.0,9.401965975761414,1,,,0.0,4,1.8136405,1.92269175,1.93785195,7.34481,4,1,,0,,2.923212,1100008,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.2365517020225525,0.0,"[2,7,0,5,6]",2.0,4932,5.625,,0.0,heldout_medium,4,0.0,0.0,0.25,10.824511528015137,42,4,1.5180386786226459
"[7,6]",0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,1.8880205,1.9170207499999998,1.91959855,3.776041,2,1,,0,,1.076028,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.28839194774627686,0.0,"[0,7,6]",1.0,2466,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,42,2,0.6050165978419892
