agent_drop_rate,backup_availability_rate,branch_disagreement_rate,connected_episodes,connected_pair_pdr,deadline_delivery_ratio,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,delivered,delivery_energy_efficiency_proxy,delivery_transmission_efficiency_proxy,endpoint_availability,energy_per_delivered_packet,energy_per_generated_packet,energy_per_on_time_delivery,episodes,false_switch_rate,fast_failover_miss_rate,fast_failover_success_rate,freshness_cache_capacity_eviction_rate,freshness_cache_hit_rate,freshness_cache_stale_eviction_rate,freshness_cache_state_eviction_rate,invalid_action_drop_rate,late_delivery_ratio_all,late_delivery_ratio_delivered,latency_aware_deadline_delivery_ratio,loop_drop_rate,mean_control_bytes,mean_control_messages,mean_deadline_slack_steps,mean_decision_latency_total_ms,mean_effective_end_to_end_delay_ms,mean_environment_step_time_total_ms,mean_episode_reward,mean_expected_transmissions_proxy,mean_local_observation_bytes,mean_minimum_link_lifetime_steps,mean_minimum_link_margin,mean_path_stretch,mean_per_hop_delay,mean_policy_input_bytes,mean_queue_delay_proxy,mean_safe_forward_candidates,mean_selected_danger,mean_success_delay,mean_switch_danger_reduction,mean_switch_steps,mean_transmission_energy_proxy,method,missed_risk_rate,overall_pdr,p95_success_delay,scenario,switch_activation_rate,time_limit_drop_rate,total_drop_rate,training_seed,ttl_drop_rate
0.435,0.0,0.0,200,0.565,0.45,1.8598515,1.9878429949999998,2.2190568941999995,113,0.3231252462156167,0.1380028735632184,1.0,3.0947752046979167,1.748547990654323,3.885662201454051,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.20353982300884957,0.0,0.0,0.0,0.0,0.7168141592920354,7.376660155,0.0,3.2249415900000002,3.5831591602228583,4.094117647058823,7833.915,9.667232779343681,0.1421243916451931,1.714159292035398,1.0,4827.195,5.2425,0.0,0.0,3.814159292035398,0.0,0.0,1.748547990654323,Historical Untrained Local,0.0,0.565,6.3999999999999915,ood_link_loss,0.0,0.0,0.435,42,0.0
0.205,0.0,0.0,200,0.795,0.785,1.8401445,2.0046636025,2.2142656708,159,0.5693790869974206,0.2815625,1.0,1.756299138546566,1.39625781514452,1.7786723759802803,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.012578616352201259,0.0,0.0,0.0,0.0,2.018867924528302,4.830886915000001,0.0,2.05476895,7.450266146421434,2.823529411764706,5212.605,9.827381468981041,0.13444702506065367,1.1067085953878406,1.0,3211.965,3.694375,0.0,0.0,2.509433962264151,0.0,0.0,1.39625781514452,Historical PPO-only Local (No KD),0.0,0.795,4.0,ood_link_loss,0.0,0.0,0.205,42,0.0
0.095,0.0,0.0,200,0.905,0.905,1.8310395000000002,1.8760469399999997,2.160270664699999,181,0.7267521572520437,0.32321428571428573,1.0,1.375984907676293,1.245266341447045,1.375984907676293,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1767955801104972,4.550160145,0.0,1.96859242,9.26815985199809,2.7999999999999994,4952.475,10.152541984676004,0.15737812384963035,1.0403314917127071,1.0,3051.675,3.634375,0.0,0.0,2.3922651933701657,0.0,0.0,1.245266341447045,Historical KD-only Local,0.0,0.905,4.0,ood_link_loss,0.0,0.0,0.095,42,0.0
0.095,0.0,0.0,200,0.905,0.905,1.83107375,1.8799626225,2.1981212945,181,0.7307239693296058,0.32389473684210524,1.0,1.3685058133749717,1.2384977611043493,1.3685058133749717,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1767955801104972,4.5365366400000005,0.0,1.95794074,9.275534396201373,2.7941176470588234,4942.47,10.195660955060243,0.1582433722913265,1.0421731123388582,1.0,3045.51,3.613125,0.0,0.0,2.3922651933701657,0.0,0.0,1.2384977611043493,Historical KD+PPO Local,0.0,0.905,4.0,ood_link_loss,0.0,0.0,0.095,42,0.0
0.075,0.0,0.0,200,0.925,0.925,2.9037685,2.992020285,3.434200066299999,185,0.7187973873900689,0.333864118895966,1.0,1.3912126247856422,1.286871677926719,1.3912126247856422,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1945945945945944,7.086575440000001,0.0,1.950243065,9.59606043446064,2.770588235294117,4862.43,10.205529632677935,0.1482696008682251,1.036126126126126,1.0,25371.63,3.589375,0.0,0.0,2.3945945945945946,0.0,0.0,1.286871677926719,Privileged Global Teacher,0.0,0.925,4.0,ood_link_loss,0.0,0.0,0.075,42,0.0
0.09,0.0,0.0,200,0.91,0.91,2.58967625,3.379661675,3.4696377943,182,0.7457152776412337,0.32775423728813563,1.0,1.340994384831557,1.2203048901967168,1.340994384831557,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758241758241756,6.58767485,0.0,2.0070754749999997,9.353125003993512,2.776470588235294,4902.45,10.369366440845617,0.1654667218029499,1.0373626373626375,1.0,3648.05,3.614375,0.0,0.0,2.379120879120879,0.0,0.0,1.2203048901967168,Geo-Residual Student,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,42,0.0
0.09,0.0,0.0,200,0.91,0.91,1.45055575,1.9187773199999998,1.9465768681999998,182,0.7540907916045146,0.32637130801687764,1.0,1.3261002668819928,1.2067512428626133,1.3261002668819928,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1648351648351647,3.6885297,0.0,2.0037790699999998,9.352767117202282,2.7882352941176465,4922.46,10.553866919211364,0.17063483491539955,1.0423992673992675,1.0,4292.7,3.604375,0.0,0.0,2.39010989010989,0.0,0.0,1.2067512428626133,Predictive Prior Only,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,42,0.0
0.09,0.0,0.0,200,0.91,0.91,2.8585337500000003,3.486233129999996,3.8322651708999995,182,0.7540907916045146,0.32637130801687764,1.0,1.3261002668819928,1.2067512428626133,1.3261002668819928,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1648351648351647,7.1396240749999995,0.0,1.99717308,9.352767117202282,2.7882352941176465,4922.46,10.553866919211364,0.17063483491539955,1.0423992673992675,1.0,4292.7,3.604375,0.0,0.0,2.39010989010989,0.0,0.0,1.2067512428626133,Predictive Student (No Switch),0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,42,0.0
0.09,0.0,0.026476578411405296,200,0.91,0.91,6.1075722500000005,8.221490467499999,8.390395594,182,0.7494133571009826,0.327061310782241,1.0,1.3343770704439837,1.214283134104025,1.3343770704439837,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17032967032967,15.272956624999999,0.0,1.9988735249999998,9.353004626572131,2.78235294117647,4912.455,10.48848717134871,0.16751988068223,1.0387362637362638,1.0,3708.215,3.610625,2.12,0.013762631982564926,2.3846153846153846,0.05641416211922964,0.03,1.214283134104025,SwitchGLOBE Exact,0.03665987780040733,0.91,4.0,ood_link_loss,0.012219959266802444,0.0,0.09,42,0.0
0.09,0.0,0.0,200,0.91,0.905,2.12267325,2.180071055,2.4045232772,182,0.7465431953062721,0.32985074626865674,1.0,1.3395072197928832,1.2189515700115237,1.3469078121674296,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005494505494505495,0.0,0.0,0.0,0.0,2.1868131868131866,5.18786558,0.0,1.947233555,9.354315642535687,2.7588235294117647,4872.435,10.282604516636319,0.1641321051120758,1.0336996336996336,1.0,4872.435,3.583125,0.0,0.0,2.368131868131868,0.0,0.0,1.2189515700115237,FastSwitchGLOBE,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,42,0.0
0.38,0.0,0.0,200,0.62,0.4,1.865672,2.0140323574999996,2.263007552,124,0.29690830524612843,0.14485981308411214,1.0,3.368043205025972,2.0881867871161024,5.220466967790257,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.3548387096774194,0.0,0.0,0.0,0.0,0.08064516129032258,8.80248171,0.0,4.4572050149999995,4.357385833583773,4.28,9324.66,3.9558576710726445,0.11920320719480515,2.0237135176651306,1.0,5745.78,6.41625,0.0,0.0,4.5,0.0,0.0,2.0881867871161024,Historical Untrained Local,0.0,0.62,7.0,ood_fast_mobility,0.0,0.0,0.38,42,0.0
0.1,0.0,0.0,200,0.9,0.88,1.85712075,2.39844205,2.5741861930999987,180,0.6223540951618683,0.35363457760314343,1.0,1.606802313624866,1.4461220822623793,1.643320548025431,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.022222222222222223,0.0,0.0,0.0,0.0,2.0444444444444443,5.06071995,0.0,2.4351328500000005,9.127412400960923,2.545,5292.645,5.261001643587986,0.12943401232361793,1.1191137566137568,1.0,3261.285,3.93375,0.0,0.0,2.561111111111111,0.0,0.0,1.446122082262379,Historical PPO-only Local (No KD),0.0,0.9,5.0,ood_fast_mobility,0.0,0.0,0.1,42,0.0
0.035,0.0,0.0,200,0.965,0.955,1.84533675,1.9203116549999995,2.2334780943999997,193,0.7950393432296136,0.4150537634408602,1.0,1.2577993888174064,1.2137764102087971,1.270970063045861,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.010362694300518135,0.0,0.0,0.0,0.0,2.2746113989637307,4.37744887,0.0,2.097481075,10.254868966758249,2.325,4722.36,5.3804387303206695,0.15840574115514755,1.0117813964964224,1.0,2909.88,3.52625,0.0,0.0,2.3108808290155443,0.0,0.0,1.2137764102087971,Historical KD-only Local,0.0,0.965,3.0,ood_fast_mobility,0.0,0.0,0.035,42,0.0
0.03,0.0,0.0,200,0.97,0.96,1.82463325,2.1083956925000003,2.4014731344999998,194,0.8096320814510631,0.4190064794816415,1.0,1.235128922025607,1.1980750543648389,1.2479948482967071,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.010309278350515464,0.0,0.0,0.0,0.0,2.2783505154639174,4.3374784,0.0,2.080384735,10.34120167952776,2.315,4692.345,5.442859905263747,0.16214628756046295,1.0104320078546882,1.0,2891.385,3.516875,0.0,0.0,2.304123711340206,0.0,0.0,1.1980750543648389,Historical KD+PPO Local,0.0,0.97,3.0,ood_fast_mobility,0.0,0.0,0.03,42,0.0
0.03,0.0,0.0,200,0.97,0.97,2.9259209999999998,3.728094405,3.8431973106000004,194,0.8184976053297564,0.42637362637362636,1.0,1.221750672803887,1.1850981526197701,1.221750672803887,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3195876288659796,6.86047688,0.0,2.0802747349999997,10.33969119566679,2.275,4612.305,5.523729355939579,0.16427088797092437,0.9893838978890525,1.0,24066.505,3.45375,0.0,0.0,2.2628865979381443,0.0,0.0,1.1850981526197701,Privileged Global Teacher,0.0,0.97,3.0,ood_fast_mobility,0.0,0.0,0.03,42,0.0
0.03,0.0,0.0,200,0.97,0.97,2.6002194999999997,3.3730519299999995,3.4233590914999996,194,0.8295058378876818,0.42920353982300885,1.0,1.2055370249671513,1.1693709142181368,1.2055370249671513,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3350515463917527,6.101069769999999,0.0,2.0619370700000004,10.343831808269023,2.26,4582.29,5.581286586073625,0.1621820294857025,0.9829405989199804,1.0,3409.81,3.454375,0.0,0.0,2.247422680412371,0.0,0.0,1.1693709142181368,Geo-Residual Student,0.0,0.97,3.0,ood_fast_mobility,0.0,0.0,0.03,42,0.0
0.035,0.0,0.0,200,0.965,0.965,1.447309,1.6060284299999996,1.8898515337999995,193,0.8341372022389227,0.4223194748358862,1.0,1.198843544342444,1.1568840202904582,1.198843544342444,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3108808290155443,3.39267962,0.0,2.0480474149999996,10.261060374438761,2.285,4642.32,5.794698436267953,0.16772944003343582,0.9923513446829508,1.0,4048.4,3.4825,0.0,0.0,2.2642487046632125,0.0,0.0,1.1568840202904582,Predictive Prior Only,0.0,0.965,3.0,ood_fast_mobility,0.0,0.0,0.035,42,0.0
0.035,0.0,0.0,200,0.965,0.965,2.8368135,2.9227940775,3.4843043836999974,193,0.8341372022389227,0.4223194748358862,1.0,1.198843544342444,1.1568840202904582,1.198843544342444,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3108808290155443,6.63994232,0.0,2.0563928300000005,10.261060374438761,2.285,4642.32,5.794698436267953,0.16772944003343582,0.9923513446829508,1.0,4048.4,3.4825,0.0,0.0,2.2642487046632125,0.0,0.0,1.1568840202904582,Predictive Student (No Switch),0.0,0.965,3.0,ood_fast_mobility,0.0,0.0,0.035,42,0.0
0.03,0.0,0.041304347826086954,200,0.97,0.97,6.17307875,8.28555799,8.570067734499997,194,0.8330167236126709,0.42731277533039647,1.0,1.2004560912812736,1.1644424085428355,1.2004560912812736,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3247422680412373,14.76890911,0.0,2.103689785,10.34393966537714,2.27,4602.3,5.719162504863871,0.1658661112189293,0.9880952380952381,1.0,3480.86,3.465,1.89,0.012994443603480853,2.2577319587628866,0.08877887576818466,0.04,1.1644424085428355,SwitchGLOBE Exact,0.013043478260869565,0.97,3.0,ood_fast_mobility,0.017391304347826087,0.0,0.03,42,0.0
0.03,0.0,0.0,200,0.97,0.97,2.141041,2.7575331375,2.8534554555999994,194,0.8186141827884511,0.4199134199134199,1.0,1.2215766853607313,1.1849293847999094,1.2215766853607313,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283505154639175,5.14466435,0.0,2.110467165,10.339338418424129,2.31,4682.34,5.659359063101784,0.16693077087402344,1.0027000490918017,1.0,4682.34,3.515,0.0,0.0,2.2989690721649483,0.0,0.045,1.1849293847999092,FastSwitchGLOBE,0.0,0.97,3.3499999999999943,ood_fast_mobility,0.019230769230769232,0.0,0.03,42,0.0
0.2,0.0,0.0,200,0.8,0.735,1.884665,2.3405098524999994,2.5319475137999996,160,0.5316164922367334,0.27491408934707906,1.0,1.8810552618346752,1.5048442094677401,2.047407087711211,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.08125,0.0,0.0,0.0,0.0,1.36875,5.94765834,0.0,2.2537894599999997,7.307089904613792,2.91,6223.11,8.68085064512986,0.14937003235022225,1.3765625,1.0,3834.63,4.37625,0.0,0.0,3.0125,0.0,0.0,1.5048442094677401,Historical Untrained Local,0.0,0.8,5.0,ood_sparse,0.0,0.0,0.2,42,0.0
