method,metric,metric_label,unit,higher_is_better,count,mean,standard_deviation,ci95_low,ci95_high
FastSwitchGLOBE + Top-2,mean_control_messages,Control messages,messages / episode,False,5,0.0,0.0,0.0,0.0
Geo-Residual Student,mean_local_observation_bytes,Local observation bytes,bytes / episode,False,5,5315.7994285714285,4.422709805997198,5310.308789402589,5321.290067740268
Predictive Prior Only,mean_local_observation_bytes,Local observation bytes,bytes / episode,False,5,6219.536785714286,14.602166535766878,6201.408707895913,6237.66486353266
Predictive Student (No Switch),mean_local_observation_bytes,Local observation bytes,bytes / episode,False,5,6093.1879285714285,262.55486447483804,5767.235269208585,6419.140587934272
SwitchGLOBE Exact,mean_local_observation_bytes,Local observation bytes,bytes / episode,False,5,6212.676214285714,7.967546772305627,6202.78478430126,6222.567644270169
FastSwitchGLOBE,mean_local_observation_bytes,Local observation bytes,bytes / episode,False,5,6436.931142857143,171.37904578844257,6224.170065870268,6649.692219844017
FastSwitchGLOBE + Top-2,mean_local_observation_bytes,Local observation bytes,bytes / episode,False,5,6436.931142857143,171.37904578844257,6224.170065870268,6649.692219844017
Geo-Residual Student,mean_path_stretch,Mean path stretch,ratio,False,5,1.008025359220483,0.001194260874907412,1.0065427262137487,1.0095079922272174
Predictive Prior Only,mean_path_stretch,Mean path stretch,ratio,False,5,1.1277073056543987,0.0028240533514793647,1.1242013424267188,1.1312132688820786
Predictive Student (No Switch),mean_path_stretch,Mean path stretch,ratio,False,5,1.109249206124019,0.0368234435954878,1.0635341918893573,1.1549642203586805
SwitchGLOBE Exact,mean_path_stretch,Mean path stretch,ratio,False,5,1.1258872807316394,0.0017093961002336373,1.1237651254027328,1.128009436060546
FastSwitchGLOBE,mean_path_stretch,Mean path stretch,ratio,False,5,1.1531053949221917,0.01956257220709717,1.128819147369189,1.1773916424751942
FastSwitchGLOBE + Top-2,mean_path_stretch,Mean path stretch,ratio,False,5,1.1531053949221917,0.01956257220709717,1.128819147369189,1.1773916424751942
Geo-Residual Student,mean_policy_input_bytes,Policy input bytes,bytes / episode,False,5,3955.634857142857,3.2910619196048465,3951.5491191506526,3959.7205951350616
Predictive Prior Only,mean_policy_input_bytes,Policy input bytes,bytes / episode,False,5,5423.833928571429,12.734023290811106,5408.025085096636,5439.6427720462225
Predictive Student (No Switch),mean_policy_input_bytes,Policy input bytes,bytes / episode,False,5,5775.400500000001,406.907052392995,5270.239660164549,6280.561339835453
SwitchGLOBE Exact,mean_policy_input_bytes,Policy input bytes,bytes / episode,False,5,4821.409928571428,104.91806629965424,4691.157827571575,4951.662029571282
FastSwitchGLOBE,mean_policy_input_bytes,Policy input bytes,bytes / episode,False,5,6436.931142857143,171.37904578844257,6224.170065870268,6649.692219844017
FastSwitchGLOBE + Top-2,mean_policy_input_bytes,Policy input bytes,bytes / episode,False,5,6436.931142857143,171.37904578844257,6224.170065870268,6649.692219844017
Geo-Residual Student,mean_reward,Episode reward,reward,True,5,6.861284319430292,0.017892601524484738,6.839071281932431,6.883497356928154
Predictive Prior Only,mean_reward,Episode reward,reward,True,5,8.376232753788639,0.012702273765294182,8.36046332623667,8.392002181340606
Predictive Student (No Switch),mean_reward,Episode reward,reward,True,5,8.139722016262919,0.5380565115699009,7.471743720814079,8.80770031171176
SwitchGLOBE Exact,mean_reward,Episode reward,reward,True,5,8.371806281369953,0.019528252826108407,8.347562640125249,8.396049922614656
FastSwitchGLOBE,mean_reward,Episode reward,reward,True,5,8.084283020689222,0.262476617182095,7.758427502597056,8.410138538781387
FastSwitchGLOBE + Top-2,mean_reward,Episode reward,reward,True,5,8.084283020689222,0.262476617182095,7.758427502597056,8.410138538781387
Geo-Residual Student,mean_success_delay_steps,Mean successful delay,steps,False,5,2.732984482747452,0.004470711056391821,2.727434251709118,2.7385347137857856
Predictive Prior Only,mean_success_delay_steps,Mean successful delay,steps,False,5,3.12689372852332,0.005250790098966494,3.1203750567023367,3.133412400344303
Predictive Student (No Switch),mean_success_delay_steps,Mean successful delay,steps,False,5,3.068491041468016,0.12131498391557252,2.917882742105766,3.219099340830266
SwitchGLOBE Exact,mean_success_delay_steps,Mean successful delay,steps,False,5,3.1219165755247777,0.003880446030717614,3.1170991378217807,3.1267340132277748
FastSwitchGLOBE,mean_success_delay_steps,Mean successful delay,steps,False,5,3.182025540083236,0.04333873991586901,3.1282220138858916,3.23582906628058
FastSwitchGLOBE + Top-2,mean_success_delay_steps,Mean successful delay,steps,False,5,3.182025540083236,0.04333873991586901,3.1282220138858916,3.23582906628058
Geo-Residual Student,mean_throughput,Mean throughput proxy,packets / step,True,5,0.31437145691609975,0.0004192189447599099,0.3138510112935321,0.3148919025386674
Predictive Prior Only,mean_throughput,Mean throughput proxy,packets / step,True,5,0.3290992913832199,0.0008652245044141776,0.3280251454948023,0.33017343727163756
Predictive Student (No Switch),mean_throughput,Mean throughput proxy,packets / step,True,5,0.3268181405895691,0.006429278277441,0.3188364170114996,0.3347998641676386
SwitchGLOBE Exact,mean_throughput,Mean throughput proxy,packets / step,True,5,0.3296352040816326,0.0006059471128751837,0.32888294198483253,0.3303874661784327
FastSwitchGLOBE,mean_throughput,Mean throughput proxy,packets / step,True,5,0.3196952252112966,0.00799719719174046,0.3097669852706244,0.32962346515196883
FastSwitchGLOBE + Top-2,mean_throughput,Mean throughput proxy,packets / step,True,5,0.3196952252112966,0.00799719719174046,0.3097669852706244,0.32962346515196883
