early_exit_rate,mean_episode_p95_ms,scenario
0.8591001038762233,0.49576207735000005,heldout_medium
0.6699148577763434,0.5854939817999999,ood_extreme_mobility
0.8066339788812226,0.5118813064,ood_fast_mobility
0.8350135692844521,0.4998189183499999,ood_link_loss
0.7626211110842498,0.53735418955,ood_link_loss_30
0.8549607232844227,0.49741420805,ood_nodes_10
0.8441798715617368,0.5615334833,ood_nodes_16
0.8339635047836712,0.5878275551000001,ood_nodes_24
0.8554358403306548,0.48831174585,ood_sparse
0.5765607886089814,0.70285233905,predictive_break_225_link_loss
0.7666666666666666,0.79397713825,predictive_break_45
0.6020864381520119,0.6809254591,structural_hole_225_link_loss
0.75,0.64289281465,structural_hole_45
0.4353537821540831,0.6069581712500001,unconditional_sparse
