p95_ms,seed,variant
0.8395514499999993,42,Exact
0.6747270499999992,77,Exact
0.9996624999999999,123,Exact
0.9582874999999998,314,Exact
1.118264299999999,2718,Exact
0.7970101,42,Early Exit
0.8486493499999995,77,Early Exit
1.2736461499999996,123,Early Exit
1.0405958499999994,314,Early Exit
1.139028849999998,2718,Early Exit
0.24683989999999997,42,Fast
0.22531394999999996,77,Fast
0.23317020000000002,123,Fast
0.32922769999999985,314,Fast
0.3198014499999999,2718,Fast
0.22116905,42,Fast + Top-2
0.2291723,77,Fast + Top-2
0.40493684999999996,123,Fast + Top-2
0.28814374999999837,314,Fast + Top-2
0.48855239999999994,2718,Fast + Top-2
