action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[6,5,7,0,2]",0.0,0.0,0.0,0.0,13.973236560821533,0,,,-1.0,4,1.916811,226.15288239999995,270.92340767999997,289.981332,5,1,,0,,5.389451,1100000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1,1,10005,0,1.0,0.0,Historical Untrained Local,10.18383257964045,0.04867047071456909,0.0,"[3,6,5,7,0,2]",2.5,6165,9.125,,0.0,heldout_medium,5,0.0,0.0,0.2,10.676301229000092,123,5,2.556938694005858
"[5,3,1,6]",0.0,0.0,0.0,0.0,10.776130855083466,1,,,0.0,4,1.8377005,1.8414142,1.84154284,7.33549,4,1,,0,,4.052785,1100001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.007991373538970947,0.0,"[7,5,3,1,6]",2.0,4932,5.625,,0.0,heldout_medium,4,0.0,0.0,0.25,10.569834184646608,123,4,2.226922422479925
"[2,0,4,5]",0.0,0.0,0.0,0.0,10.991646111011505,1,,,3.0,7,1.8239815,1.8396777,1.84037394,7.288906,4,1,,0,,3.572869,1100002,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.026111721992492676,0.0,"[3,2,0,4,5]",1.0,4932,4.5,,0.0,heldout_medium,4,0.0,0.0,0.25,10.578221130371094,123,4,2.298888525082667
"[1,0,32]",0.0,0.0,0.0,0.0,5.263568997383118,0,,,,4,1.842303,1.8625431,1.86434222,5.489178,,0,agent_drop,1,,1.745728,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,6003,0,,0.0,Historical Untrained Local,1.3473440279013251,0.02142024040222168,0.0,"[2,1,0]",,3699,3.0,,0.0,heldout_medium,3,0.0,0.0,0.0,-5.752027988433838,123,2,1.071398061634441
"[7,1]",0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,1.813403,1.8330932,1.83484344,3.626806,2,1,,0,,1.217644,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,8.151648050685244,0.15219110250473022,0.0,"[3,7,1]",1.0,2466,2.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,123,2,1.3128961105718773
"[5,3,0,6]",0.0,0.0,0.0,0.0,11.122166872024536,1,,,2.0,6,1.816549,1.8487337,1.85270354,7.276562,4,1,,0,,2.83516,1100005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.0406796932220459,0.0,"[4,5,3,0,6]",1.3333333333333333,4932,6.75,,0.0,heldout_medium,4,0.0,0.0,0.25,11.30111870765686,123,4,2.083068745258263
"[1,3,6,0]",0.0,0.0,0.0,0.0,10.538064360618591,1,,,3.0,7,1.7919415,1.81690315,1.8195550299999999,7.186994,4,1,,0,,3.057928,1100006,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,8004,0,1.0,0.0,Historical Untrained Local,7.639228220938141,0.06260961294174194,0.0,"[2,1,3,6,0]",1.0,4932,6.875,,0.0,heldout_medium,4,0.0,0.0,0.25,11.443555223941804,123,4,2.090265490380017
"[7,3,0,4]",0.0,0.0,0.0,0.0,11.107387065887451,1,,,0.0,4,1.7890860000000002,1.8123734999999999,1.8150555,7.177404,4,1,,0,,2.922729,1100007,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.15072709321975708,0.0,"[1,7,3,0,4]",2.0,4932,6.375,,0.0,heldout_medium,4,0.0,0.0,0.25,10.670287895202636,123,4,2.011017444732964
"[0,7,32]",0.0,0.0,0.0,0.0,6.623003721237183,0,,,,4,1.839499,1.8451465,1.8456485,5.482897,,0,agent_drop,1,,2.241447,1100008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,6003,0,,0.0,Historical Untrained Local,12.0,0.10769736766815186,0.0,"[2,0,7]",,3699,2.75,,0.0,heldout_medium,3,0.0,0.0,0.0,-5.228758096694946,123,2,1.3790572913510069
"[7,6]",0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,1.789346,1.8020261,1.80315322,3.578692,2,1,,0,,1.114728,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.28839194774627686,0.0,"[0,7,6]",1.0,2466,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,123,2,0.6050165978419892
"[6,0,5]",0.0,0.0,0.0,0.0,6.874256014823914,1,,,3.0,6,1.789822,1.7961922,1.7967584399999998,5.375534,3,1,,0,,1.888001,1100010,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Historical Untrained Local,8.118479691228213,0.3382644057273865,0.0,"[1,6,0,5]",1.0,3699,4.125,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.867658352851867,123,3,1.006123737122551
"[5,6,4]",0.0,0.0,0.0,0.0,10.984585285186768,1,,,1.0,4,1.788089,1.8078935,1.8096539,5.3758300000000006,3,1,,0,,1.9689450000000002,1100011,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,6003,0,1.0,0.0,Historical Untrained Local,0.4036857180797547,0.016938984394073486,0.0,"[3,5,6,4]",1.5,3699,3.875,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.664109158515929,123,3,2.5313797237612548
