ci95_high,ci95_low,count,device,mean,method,metric,standard_deviation
0.5278794055453568,0.508251134454643,5,cpu,0.5180652699999999,Fixed Manual Prior,seed_p95_ms,0.007905286102238842
0.5310520832575499,0.50460215674245,5,cpu,0.51782712,Shortest-Oracle Only,seed_p95_ms,0.010652707796764669
0.5280482077654547,0.5082831122345453,5,cpu,0.51816566,Risk-Oracle Only,seed_p95_ms,0.007960392144973114
0.5298265662200594,0.5119994737799405,5,cpu,0.52091302,Shortest+Risk (No Teacher),seed_p95_ms,0.007179861408011289
0.5300099122269832,0.5070927277730168,5,cpu,0.51855132,Teacher Distillation Only,seed_p95_ms,0.009229895945960053
0.5293959661779332,0.5032467738220668,5,cpu,0.51632137,Teacher+Shortest+Risk,seed_p95_ms,0.010531587115352124
0.5320538397658332,0.5026836402341666,5,cpu,0.5173687399999999,Existing Phase11 Predictive Prior,seed_p95_ms,0.011828847742352124
1.5812741700504025,1.4768115699495976,5,cuda,1.52904287,Fixed Manual Prior,seed_p95_ms,0.04207231176725077
1.5797881050194922,1.4776632549805078,5,cuda,1.52872568,Shortest-Oracle Only,seed_p95_ms,0.041130782939326566
1.581054581330354,1.4780487386696461,5,cuda,1.52955166,Risk-Oracle Only,seed_p95_ms,0.04148560271415545
1.5793559633816439,1.4775438966183563,5,cuda,1.52844993,Shortest+Risk (No Teacher),seed_p95_ms,0.0410048094763072
1.5808979618414312,1.476251938158569,5,cuda,1.52857495,Teacher Distillation Only,seed_p95_ms,0.042146185614181
1.5801773132653036,1.4770970467346964,5,cuda,1.52863718,Teacher+Shortest+Risk,seed_p95_ms,0.04151557692745574
1.583092324755881,1.4743629952441193,5,cuda,1.5287276600000002,Existing Phase11 Predictive Prior,seed_p95_ms,0.04379073702022218
