connected_pair_pdr,deadline_delivery_ratio,energy_per_delivered_packet,mean_transmission_energy_proxy,method,p95_success_delay,scenario,training_seed
0.755,0.755,1.4373716028803818,1.085215560174688,Fixed Manual Prior,4.0,ood_link_loss_30,314
0.945,0.91,1.3682635839566106,1.293009086838997,Fixed Manual Prior,5.0,ood_extreme_mobility,314
0.935,0.92,1.809855883265284,1.6922152508530406,Fixed Manual Prior,5.0,ood_nodes_16,314
0.865,0.85,2.273350750823723,1.9664483994625204,Fixed Manual Prior,7.0,ood_nodes_24,314
0.98,0.975,1.319706110104583,1.2933119879024917,Fixed Manual Prior,4.0,heldout_medium,2718
0.91,0.91,1.3218377335355758,1.202872337517374,Fixed Manual Prior,4.0,ood_link_loss,2718
0.94,0.92,1.3210302169746402,1.2417684039561618,Fixed Manual Prior,5.0,ood_fast_mobility,2718
0.975,0.975,1.237056063627963,1.206129662037264,Fixed Manual Prior,4.0,ood_sparse,2718
0.965,0.965,1.456276053722279,1.4053063918419992,Fixed Manual Prior,4.0,ood_nodes_10,2718
0.948051948051948,0.365,1.8422837375701775,0.72770207634022,Fixed Manual Prior,4.0,unconditional_sparse,2718
1.0,1.0,2.711468279642881,2.7114682796428804,Fixed Manual Prior,4.0,structural_hole_45,2718
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Fixed Manual Prior,4.0,structural_hole_225_link_loss,2718
1.0,1.0,4.235826826754887,4.235826826754887,Fixed Manual Prior,6.0,predictive_break_45,2718
0.5116279069767442,0.44,6.020406760902647,3.0102033804513235,Fixed Manual Prior,6.0,predictive_break_225_link_loss,2718
0.755,0.755,1.4373716028803818,1.085215560174688,Fixed Manual Prior,4.0,ood_link_loss_30,2718
0.945,0.91,1.3682635839566106,1.293009086838997,Fixed Manual Prior,5.0,ood_extreme_mobility,2718
0.935,0.92,1.809855883265284,1.6922152508530406,Fixed Manual Prior,5.0,ood_nodes_16,2718
0.865,0.85,2.273350750823723,1.9664483994625204,Fixed Manual Prior,7.0,ood_nodes_24,2718
0.98,0.98,1.296887554023,1.27094980294254,Shortest-Oracle Only,4.0,heldout_medium,42
0.91,0.91,1.3259132356781451,1.206581044467112,Shortest-Oracle Only,4.0,ood_link_loss,42
0.97,0.97,1.2022352972984989,1.1661682383795438,Shortest-Oracle Only,3.0,ood_fast_mobility,42
0.98,0.98,1.2173335822540265,1.1929869106089461,Shortest-Oracle Only,3.0,ood_sparse,42
0.98,0.98,1.4509326844378718,1.4219140307491145,Shortest-Oracle Only,4.0,ood_nodes_10,42
0.987012987012987,0.38,1.7985335515624674,0.7373987561406117,Shortest-Oracle Only,3.950000000000003,unconditional_sparse,42
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest-Oracle Only,4.0,structural_hole_45,42
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest-Oracle Only,4.0,structural_hole_225_link_loss,42
0.0,0.0,181.40585244107663,0.907029262205383,Shortest-Oracle Only,nan,predictive_break_45,42
0.06395348837209303,0.055,12.352658818053762,1.297029175895645,Shortest-Oracle Only,6.0,predictive_break_225_link_loss,42
0.785,0.785,1.4083699867588264,1.1055704396056787,Shortest-Oracle Only,4.0,ood_link_loss_30,42
0.97,0.97,1.2119774198164477,1.175618097221954,Shortest-Oracle Only,3.0,ood_extreme_mobility,42
0.975,0.975,1.7332748510248959,1.6899429797492735,Shortest-Oracle Only,5.0,ood_nodes_16,42
0.94,0.93,2.1078104141121674,1.981341789265437,Shortest-Oracle Only,6.0,ood_nodes_24,42
0.98,0.98,1.296887554023,1.27094980294254,Shortest-Oracle Only,4.0,heldout_medium,77
0.91,0.91,1.3259132356781451,1.206581044467112,Shortest-Oracle Only,4.0,ood_link_loss,77
0.965,0.965,1.2040759627527435,1.1619333040563973,Shortest-Oracle Only,3.0,ood_fast_mobility,77
0.98,0.98,1.2173335822540265,1.1929869106089461,Shortest-Oracle Only,3.0,ood_sparse,77
0.98,0.98,1.4509326844378718,1.4219140307491145,Shortest-Oracle Only,4.0,ood_nodes_10,77
0.987012987012987,0.38,1.7985335515624674,0.7373987561406117,Shortest-Oracle Only,3.950000000000003,unconditional_sparse,77
1.0,1.0,2.711468279642881,2.7114682796428804,Shortest-Oracle Only,4.0,structural_hole_45,77
0.6984126984126984,0.44,3.342636157474066,1.9387289713349576,Shortest-Oracle Only,4.0,structural_hole_225_link_loss,77
0.0,0.0,181.40585244107663,0.907029262205383,Shortest-Oracle Only,nan,predictive_break_45,77
0.06395348837209303,0.055,12.352658818053762,1.297029175895645,Shortest-Oracle Only,6.0,predictive_break_225_link_loss,77
0.785,0.785,1.4083699867588264,1.1055704396056787,Shortest-Oracle Only,4.0,ood_link_loss_30,77
0.97,0.97,1.2119774198164477,1.175618097221954,Shortest-Oracle Only,3.0,ood_extreme_mobility,77
0.975,0.975,1.7332748510248959,1.6899429797492735,Shortest-Oracle Only,5.0,ood_nodes_16,77
0.935,0.925,2.1176234307463457,1.9799779077478337,Shortest-Oracle Only,6.0,ood_nodes_24,77
0.98,0.98,1.296887554023,1.27094980294254,Shortest-Oracle Only,4.0,heldout_medium,123
