connected_pair_pdr,deadline_delivery_ratio,energy_per_delivered_packet,mean_transmission_energy_proxy,method,p95_success_delay,scenario,training_seed
0.8943689320388349,0.8160714285714286,2.1294343648453644,1.7864433296506292,Fixed Manual Prior,6.0,ALL_POOLED,42
0.8943689320388349,0.8160714285714286,2.1294343648453644,1.7864433296506292,Fixed Manual Prior,6.0,ALL_POOLED,77
0.8943689320388349,0.8160714285714286,2.1294343648453644,1.7864433296506292,Fixed Manual Prior,6.0,ALL_POOLED,123
0.8943689320388349,0.8160714285714286,2.1294343648453644,1.7864433296506292,Fixed Manual Prior,6.0,ALL_POOLED,314
0.8943689320388349,0.8160714285714286,2.1294343648453644,1.7864433296506292,Fixed Manual Prior,6.0,ALL_POOLED,2718
0.8050485436893204,0.7396428571428572,1.870829265773177,1.4144805555863627,Shortest-Oracle Only,4.0,ALL_POOLED,42
0.8042718446601942,0.7389285714285714,1.8720689326116622,1.4140806401691663,Shortest-Oracle Only,4.0,ALL_POOLED,77
0.8050485436893204,0.7396428571428572,1.8708286357187633,1.4144800792202221,Shortest-Oracle Only,4.0,ALL_POOLED,123
0.8042718446601942,0.7389285714285714,1.8720689326116622,1.4140806401691663,Shortest-Oracle Only,4.0,ALL_POOLED,314
0.8042718446601942,0.7389285714285714,1.8721271679930738,1.4141246286804825,Shortest-Oracle Only,4.0,ALL_POOLED,2718
0.909126213592233,0.8346428571428571,2.080278622291384,1.7726945688525868,Risk-Oracle Only,6.0,ALL_POOLED,42
0.909126213592233,0.835,2.0793103991021535,1.7718695043777637,Risk-Oracle Only,6.0,ALL_POOLED,77
0.9087378640776699,0.8346428571428571,2.0803851352028793,1.7720423383781672,Risk-Oracle Only,6.0,ALL_POOLED,123
0.9087378640776699,0.8346428571428571,2.080394789518166,1.7720505617860094,Risk-Oracle Only,6.0,ALL_POOLED,314
0.9079611650485437,0.8339285714285715,2.082313832575344,1.7721978082239445,Risk-Oracle Only,6.0,ALL_POOLED,2718
0.9114563106796116,0.8375,2.076461697114112,1.7738915641060558,Shortest+Risk (No Teacher),6.0,ALL_POOLED,42
0.9114563106796116,0.8375,2.0767496187842065,1.7741375314756511,Shortest+Risk (No Teacher),6.0,ALL_POOLED,77
0.9114563106796116,0.8375,2.0768184821512614,1.7741963604663638,Shortest+Risk (No Teacher),6.0,ALL_POOLED,123
0.9114563106796116,0.8375,2.0768184821512614,1.7741963604663638,Shortest+Risk (No Teacher),6.0,ALL_POOLED,314
0.9114563106796116,0.8375,2.076461697114112,1.7738915641060558,Shortest+Risk (No Teacher),6.0,ALL_POOLED,2718
0.8166990291262136,0.7507142857142857,1.8969085447700438,1.4545223734361727,Teacher Distillation Only,5.0,ALL_POOLED,42
0.9106796116504854,0.8371428571428572,2.0699491536706476,1.7675887237237566,Teacher Distillation Only,6.0,ALL_POOLED,77
0.9106796116504854,0.8371428571428572,2.0686104146025137,1.7664455361837899,Teacher Distillation Only,6.0,ALL_POOLED,123
0.8302912621359223,0.7628571428571429,1.9246346960632095,1.4998403238606868,Teacher Distillation Only,6.0,ALL_POOLED,314
0.9133980582524271,0.8389285714285715,2.0735378747504103,1.77583707987553,Teacher Distillation Only,6.0,ALL_POOLED,2718
0.9114563106796116,0.8375,2.074398096672191,1.7728695161916264,Teacher+Shortest+Risk,6.0,ALL_POOLED,42
0.9106796116504854,0.8367857142857142,2.076046187366143,1.7720537099303861,Teacher+Shortest+Risk,6.0,ALL_POOLED,77
0.9106796116504854,0.8367857142857142,2.0764467578947605,1.7723956254887419,Teacher+Shortest+Risk,6.0,ALL_POOLED,123
0.9118446601941748,0.8378571428571429,2.0745481692805354,1.7729977746744006,Teacher+Shortest+Risk,6.0,ALL_POOLED,314
0.9122330097087379,0.8382142857142857,2.0759062019206347,1.7748998026421428,Teacher+Shortest+Risk,6.0,ALL_POOLED,2718
0.912621359223301,0.8385714285714285,2.076008974218976,1.7757291047337311,Existing Phase11 Predictive Prior,6.0,ALL_POOLED,42
0.9118446601941748,0.8382142857142857,2.074045485898551,1.7725681599125833,Existing Phase11 Predictive Prior,6.0,ALL_POOLED,77
0.9106796116504854,0.8367857142857142,2.0808202082096052,1.77612867772177,Existing Phase11 Predictive Prior,6.0,ALL_POOLED,123
0.9122330097087379,0.8382142857142857,2.0754803458511883,1.774535695702766,Existing Phase11 Predictive Prior,6.0,ALL_POOLED,314
0.9106796116504854,0.8360714285714286,2.0842331735446,1.779786256408978,Existing Phase11 Predictive Prior,6.0,ALL_POOLED,2718
