action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[6,2]",0.0,0.0,0.0,0.0,6.310889959335327,1,,,2.0,4,1.6949975,1.7635329499999999,1.7696249899999998,3.389995,2,1,,0,,2.141583,1100000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,10.18383257964045,0.19101154804229736,0.0,"[3,6,2]",1.0,3490,4.0,,0.0,heldout_medium,2,0.0,0.0,0.5,11.037417364120483,42,2,1.2454143363902581
"[2,6]",0.0,0.0,0.0,0.0,5.020563960075378,1,,,2.0,4,1.585488,1.6166397,1.61940874,3.170976,2,1,,0,,2.024676,1100001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.11677336692810059,0.0,"[7,2,6]",1.0,3490,3.0,,0.0,heldout_medium,2,0.0,0.0,0.5,10.797459077835082,42,2,0.9184095742707834
"[2,6,5]",0.0,0.0,0.0,0.0,7.833065092563629,1,,,4.0,7,1.573945,1.5938044,1.59556968,4.718675,3,1,,0,,2.699483,1100002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.0912407636642456,0.0,"[3,2,6,5]",0.75,5235,3.5,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.684932708740234,42,3,1.6116792519910101
"[4,7]",0.0,0.0,0.0,0.0,5.282225847244263,1,,,2.0,4,1.6699324999999998,1.76020025,1.76822405,3.3398649999999996,2,1,,0,,1.1818119999999999,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.2020200490951538,0.0,"[2,4,7]",1.0,3490,3.375,,0.0,heldout_medium,2,0.0,0.0,0.5,10.651459741592408,42,2,0.9098582117970189
"[7,1]",0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,1.6255575,1.63250235,1.63311967,3.251115,2,1,,0,,1.186687,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,8.151648050685244,0.15219110250473022,0.0,"[3,7,1]",1.0,3490,2.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,42,2,1.3128961105718773
"[5,0,6]",0.0,0.0,0.0,0.0,10.629551649093628,1,,,3.0,6,1.595738,1.6559399,1.6612911799999999,4.810595,3,1,,0,,2.161802,1100005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.0406796932220459,0.0,"[4,5,0,6]",1.0,5235,5.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.423794174194336,42,3,2.369984529168935
"[1,3,0]",0.0,0.0,0.0,0.0,10.122877836227417,1,,,4.0,7,1.583203,1.6066849,1.60877218,4.746584,3,1,,0,,2.393289,1100006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.00989001989364624,0.0,"[2,1,3,0]",0.75,5235,5.375,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.575439500808715,42,3,2.167385196916104
"[0,4]",0.0,0.0,0.0,0.0,5.743571519851685,1,,,2.0,4,1.575906,1.5811647,1.58163214,3.151812,2,1,,0,,1.4558300000000002,1100007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,10.901305315310605,0.13309800624847412,0.0,"[1,0,4]",1.0,3490,3.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.939948749542236,42,2,1.0752696953619996
"[0,6]",0.0,0.0,0.0,0.0,6.424596548080444,1,,,2.0,4,1.6066335,1.61969295,1.62085379,3.213267,2,1,,0,,1.5824790000000002,1100008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.10769736766815186,0.0,"[2,0,6]",1.0,3490,2.875,,0.0,heldout_medium,2,0.0,0.0,0.5,11.047343301773072,42,2,1.3057808199219956
"[7,6]",0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,1.606226,1.6165022,1.6174156400000002,3.212452,2,1,,0,,1.056878,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.28839194774627686,0.0,"[0,7,6]",1.0,3490,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,42,2,0.6050165978419892
"[6,0,5]",0.0,0.0,0.0,0.0,6.874256014823914,1,,,3.0,6,1.610093,1.6171427,1.61776934,4.826926,3,1,,0,,1.8799610000000002,1100010,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Fixed Manual Prior,8.118479691228213,0.3382644057273865,0.0,"[1,6,0,5]",1.0,5235,4.125,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.867658352851867,42,3,1.006123737122551
"[5,4]",0.0,0.0,0.0,0.0,4.905057311058044,1,,,2.0,4,1.5844209999999999,1.6139131,1.61653462,3.1688419999999997,2,1,,0,,1.3452570000000001,1100011,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,0.4036857180797547,0.016938984394073486,0.0,"[3,5,4]",1.0,3490,2.875,,0.0,heldout_medium,2,0.0,0.0,0.5,10.760739922523499,42,2,1.0255568114490616
"[5,2]",0.0,0.0,0.0,0.0,4.979211449623108,1,,,2.0,4,1.586932,1.5981208,1.59911536,3.173864,2,1,,0,,1.9019970000000002,1100012,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.06158322095870972,0.0,"[0,5,2]",1.0,3490,2.5,,0.0,heldout_medium,2,0.0,0.0,0.5,10.700611901283265,42,2,0.97449848326566
"[0,2]",0.0,0.0,0.0,0.0,7.146505117416382,1,,,2.0,4,1.602128,1.6054067,1.60569814,3.204256,2,1,,0,,2.234909,1100013,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.08324450254440308,0.0,"[4,0,2]",1.0,3490,3.0,,0.0,heldout_medium,2,0.0,0.0,0.5,11.027259731292725,42,2,1.5971158193157642
"[7,3]",0.0,0.0,0.0,0.0,5.336532235145569,1,,,2.0,4,1.589455,1.60822,1.609888,3.17891,2,1,,0,,1.77881,1100014,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,8.268041821936714,0.06349343061447144,0.0,"[0,7,3]",1.0,3490,2.625,,0.0,heldout_medium,2,0.0,0.0,0.5,10.866651391983034,42,2,1.035151379575507
"[6,4]",0.0,0.0,0.0,0.0,4.684369206428528,1,,,2.0,4,1.59226,1.5923716,1.59238152,3.18452,2,1,,0,,1.4462130000000002,1100015,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.279763400554657,0.0,"[1,6,4]",1.0,3490,3.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.657536339759826,42,2,0.7220116233523912
"[0,2,6]",0.0,0.0,0.0,0.0,6.770340085029602,1,,,1.0,4,1.589613,1.637133,1.641357,4.792289,3,1,,0,,2.029059,1100016,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,6003,0,1.0,0.0,Fixed Manual Prior,3.6976835557762664,0.21159017086029053,0.0,"[4,0,2,6]",1.5,5235,5.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.6177583694458,42,3,1.0333653277633816
"[2,0]",0.0,0.0,0.0,0.0,4.929038047790527,1,,,2.0,4,1.6515274999999998,1.68505745,1.68803789,3.3030549999999996,2,1,,0,,1.751444,1100017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.22108882665634155,0.0,"[1,2,0]",1.0,3490,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.685526275634764,42,2,0.8122273320745776
"[3,6]",0.0,0.0,0.0,0.0,7.201524257659912,1,,,2.0,4,1.564848,1.6032969,1.60671458,3.129696,2,1,,0,,2.1231590000000002,1100018,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,12.0,0.032773494720458984,0.0,"[5,3,6]",1.0,3490,3.625,,0.0,heldout_medium,2,0.0,0.0,0.5,11.157442712783814,42,2,1.6296736319234384
"[6,1,0]",0.0,0.0,0.0,0.0,10.467812776565552,1,,,3.0,6,1.616742,1.6600761,1.66392802,4.837923,3,1,,0,,2.507868,1100019,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Fixed Manual Prior,12.0,0.08717823028564453,0.0,"[4,6,1,0]",1.0,5235,4.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.487733507156372,42,3,2.2894634735498762
"[2,0]",0.0,0.0,0.0,0.0,6.9006266593933105,1,,,2.0,4,1.6111795,1.64957935,1.65299267,3.222359,2,1,,0,,1.995143,1100020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Fixed Manual Prior,7.9570508239596,0.0176924467086792,0.0,"[5,2,0]",1.0,3490,3.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.87357783317566,42,2,1.5167529317942154
