backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,gate_decision_steps,gate_outcome_divergence_steps__0.0000,gate_outcome_divergence_steps__0.0100,gate_outcome_divergence_steps__0.0200,gate_outcome_divergence_steps__0.0500,gate_outcome_divergence_steps__0.1000,gate_outcome_divergence_steps__0.2000,gate_skip_steps__0.0000,gate_skip_steps__0.0100,gate_skip_steps__0.0200,gate_skip_steps__0.0500,gate_skip_steps__0.1000,gate_skip_steps__0.2000,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
0.0,0.0,0.0,0.0,6.310889959335327,1,,,2.0,4,1.2800829999999999,1.4831832999999999,1.50123666,2.5601659999999997,2,1,,0,,1.012542,1100000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,10.18383257964045,0.19101154804229736,0.0,1.0,3010,4.0,,2.0,heldout_medium,2,0.0,0.0,0.5,11.037417364120483,42,2,1.2454143363902581
0.0,0.0,0.0,0.0,5.020563960075378,1,,,2.0,4,0.7319585,0.78273335,0.78724667,1.463917,2,1,,0,,0.827167,1100001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.11677336692810059,0.0,1.0,3010,3.0,,2.0,heldout_medium,2,0.0,0.0,0.5,10.797459077835082,42,2,0.9184095742707834
0.0,0.0,0.0,0.0,7.833065092563629,1,,,4.0,7,0.663917,0.6853298,0.68723316,2.014334,3,1,,0,,1.031125,1100002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3,4,1,0,6003,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.0912407636642456,0.0,0.75,4515,3.5,,3.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.684932708740234,42,3,1.6116792519910101
0.0,0.0,0.0,0.0,5.282225847244263,1,,,2.0,4,0.6956045,0.70961075,0.71085575,1.391209,2,1,,0,,0.449,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.2020200490951538,0.0,1.0,3010,3.375,,2.0,heldout_medium,2,0.0,0.0,0.5,10.651459741592408,42,2,0.9098582117970189
0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,0.6792915,0.68352915,0.68390583,1.358583,2,1,,0,,0.427834,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,8.151648050685244,0.15219110250473022,0.0,1.0,3010,2.125,,2.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,42,2,1.3128961105718773
0.0,0.0,0.0,0.0,10.629551649093628,1,,,3.0,6,1.198042,1.9263291999999999,1.9910658399999999,4.166375,3,1,,0,,1.20825,1100005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,1,0,6003,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.0406796932220459,0.0,1.0,4515,5.0,,3.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.423794174194336,42,3,2.369984529168935
0.0,0.0,0.0,0.0,10.122877836227417,1,,,4.0,7,0.693667,0.7853545,0.7935045,2.154876,3,1,,0,,0.935834,1100006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3,4,1,0,6003,0,1.0,0.030109979212284088,SwitchGLOBE Exact,12.0,0.00989001989364624,0.0,0.75,4515,5.375,,2.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.575439500808715,42,3,2.167385196916104
0.0,0.0,0.0,0.0,5.743571519851685,1,,,2.0,4,0.728812,0.7786306000000001,0.78305892,1.457624,2,1,,0,,0.7566250000000001,1100007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,10.901305315310605,0.13309800624847412,0.0,1.0,3010,3.125,,2.0,heldout_medium,2,0.0,0.0,0.5,10.939948749542236,42,2,1.0752696953619996
0.0,0.0,0.0,0.0,6.424596548080444,1,,,2.0,4,0.7207285,0.73507225,0.73634725,1.441457,2,1,,0,,0.676041,1100008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.10769736766815186,0.0,1.0,3010,2.875,,2.0,heldout_medium,2,0.0,0.0,0.5,11.047343301773072,42,2,1.3057808199219956
0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,0.654792,0.6625545,0.6632445,1.309584,2,1,,0,,0.380041,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.28839194774627686,0.0,1.0,3010,2.25,,2.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,42,2,0.6050165978419892
0.0,0.0,0.0,0.0,6.874256014823914,1,,,3.0,6,0.900958,1.1133210999999998,1.13219782,2.705167,3,1,,0,,1.245208,1100010,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,1,0,6003,0,1.0,0.0,SwitchGLOBE Exact,8.118479691228213,0.3382644057273865,0.0,1.0,4515,4.125,,3.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.867658352851867,42,3,1.006123737122551
0.0,0.0,0.0,0.0,4.905057311058044,1,,,2.0,4,0.686542,0.7123045,0.7145945,1.373084,2,1,,0,,0.48712500000000003,1100011,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2,1,0,4002,0,1.0,0.18942055106163025,SwitchGLOBE Exact,0.4036857180797547,0.016938984394073486,0.0,1.0,3010,2.875,,1.0,heldout_medium,2,0.0,0.0,0.5,10.760739922523499,42,2,1.0255568114490616
0.0,0.0,0.0,0.0,4.979211449623108,1,,,2.0,4,0.7487079999999999,0.8322955,0.8397255,1.4974159999999999,2,1,,0,,0.736167,1100012,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.06158322095870972,0.0,1.0,3010,2.5,,2.0,heldout_medium,2,0.0,0.0,0.5,10.700611901283265,42,2,0.97449848326566
0.0,0.0,0.0,0.0,7.146505117416382,1,,,2.0,4,0.689438,0.7104944,0.71236608,1.378876,2,1,,0,,0.955625,1100013,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,0,4002,0,1.0,0.0,SwitchGLOBE Exact,12.0,0.08324450254440308,0.0,1.0,3010,3.0,,2.0,heldout_medium,2,0.0,0.0,0.5,11.027259731292725,42,2,1.5971158193157642
