block,component,device,latency_ms,order_position,training_seed,variant
0,end_to_end_policy,cpu,0.471046,0,123,Fixed Manual Prior
0,end_to_end_policy,cpu,0.61179,1,123,Teacher Distillation Only
0,end_to_end_policy,cpu,0.466868,2,123,Existing Phase11 Predictive Prior
0,end_to_end_policy,cpu,0.526323,3,123,Shortest+Risk (No Teacher)
0,end_to_end_policy,cpu,0.454265,4,123,Teacher+Shortest+Risk
0,end_to_end_policy,cpu,0.501776,5,123,Risk-Oracle Only
0,end_to_end_policy,cpu,0.46268,6,123,Shortest-Oracle Only
1,end_to_end_policy,cpu,0.485336,0,123,Teacher Distillation Only
1,end_to_end_policy,cpu,0.445116,1,123,Teacher+Shortest+Risk
1,end_to_end_policy,cpu,0.494538,2,123,Shortest-Oracle Only
1,end_to_end_policy,cpu,0.4518,3,123,Fixed Manual Prior
1,end_to_end_policy,cpu,0.480864,4,123,Existing Phase11 Predictive Prior
1,end_to_end_policy,cpu,0.498355,5,123,Shortest+Risk (No Teacher)
1,end_to_end_policy,cpu,0.483937,6,123,Risk-Oracle Only
2,end_to_end_policy,cpu,0.474967,0,123,Shortest-Oracle Only
2,end_to_end_policy,cpu,0.476551,1,123,Shortest+Risk (No Teacher)
2,end_to_end_policy,cpu,0.469178,2,123,Teacher Distillation Only
2,end_to_end_policy,cpu,0.474805,3,123,Existing Phase11 Predictive Prior
2,end_to_end_policy,cpu,0.445637,4,123,Risk-Oracle Only
2,end_to_end_policy,cpu,0.447145,5,123,Teacher+Shortest+Risk
2,end_to_end_policy,cpu,0.473171,6,123,Fixed Manual Prior
3,end_to_end_policy,cpu,0.447972,0,123,Shortest+Risk (No Teacher)
3,end_to_end_policy,cpu,0.470535,1,123,Teacher Distillation Only
3,end_to_end_policy,cpu,0.444426,2,123,Existing Phase11 Predictive Prior
3,end_to_end_policy,cpu,0.46689,3,123,Teacher+Shortest+Risk
3,end_to_end_policy,cpu,0.44424,4,123,Shortest-Oracle Only
3,end_to_end_policy,cpu,0.558929,5,123,Risk-Oracle Only
3,end_to_end_policy,cpu,0.44915,6,123,Fixed Manual Prior
4,end_to_end_policy,cpu,0.484655,0,123,Teacher+Shortest+Risk
4,end_to_end_policy,cpu,0.440851,1,123,Shortest+Risk (No Teacher)
4,end_to_end_policy,cpu,0.465988,2,123,Risk-Oracle Only
4,end_to_end_policy,cpu,0.436518,3,123,Shortest-Oracle Only
4,end_to_end_policy,cpu,0.462272,4,123,Teacher Distillation Only
4,end_to_end_policy,cpu,0.437126,5,123,Fixed Manual Prior
4,end_to_end_policy,cpu,0.441883,6,123,Existing Phase11 Predictive Prior
5,end_to_end_policy,cpu,0.454522,0,123,Fixed Manual Prior
5,end_to_end_policy,cpu,0.45521,1,123,Teacher+Shortest+Risk
5,end_to_end_policy,cpu,0.455045,2,123,Shortest-Oracle Only
5,end_to_end_policy,cpu,0.430163,3,123,Risk-Oracle Only
5,end_to_end_policy,cpu,0.466607,4,123,Existing Phase11 Predictive Prior
5,end_to_end_policy,cpu,0.433907,5,123,Shortest+Risk (No Teacher)
5,end_to_end_policy,cpu,0.473268,6,123,Teacher Distillation Only
6,end_to_end_policy,cpu,0.449458,0,123,Existing Phase11 Predictive Prior
6,end_to_end_policy,cpu,0.48292,1,123,Teacher+Shortest+Risk
6,end_to_end_policy,cpu,0.435123,2,123,Shortest-Oracle Only
6,end_to_end_policy,cpu,0.497505,3,123,Shortest+Risk (No Teacher)
6,end_to_end_policy,cpu,0.434086,4,123,Teacher Distillation Only
6,end_to_end_policy,cpu,0.458752,5,123,Fixed Manual Prior
6,end_to_end_policy,cpu,0.433021,6,123,Risk-Oracle Only
7,end_to_end_policy,cpu,0.454421,0,123,Existing Phase11 Predictive Prior
7,end_to_end_policy,cpu,0.456025,1,123,Shortest+Risk (No Teacher)
7,end_to_end_policy,cpu,0.564028,2,123,Fixed Manual Prior
7,end_to_end_policy,cpu,0.455685,3,123,Shortest-Oracle Only
7,end_to_end_policy,cpu,0.436002,4,123,Risk-Oracle Only
7,end_to_end_policy,cpu,0.461503,5,123,Teacher Distillation Only
7,end_to_end_policy,cpu,0.432901,6,123,Teacher+Shortest+Risk
8,end_to_end_policy,cpu,0.477797,0,123,Fixed Manual Prior
8,end_to_end_policy,cpu,0.429855,1,123,Teacher Distillation Only
8,end_to_end_policy,cpu,0.462741,2,123,Shortest-Oracle Only
8,end_to_end_policy,cpu,0.432667,3,123,Shortest+Risk (No Teacher)
8,end_to_end_policy,cpu,0.464332,4,123,Risk-Oracle Only
8,end_to_end_policy,cpu,0.432511,5,123,Teacher+Shortest+Risk
8,end_to_end_policy,cpu,0.459081,6,123,Existing Phase11 Predictive Prior
9,end_to_end_policy,cpu,0.454496,0,123,Risk-Oracle Only
9,end_to_end_policy,cpu,0.47958,1,123,Existing Phase11 Predictive Prior
9,end_to_end_policy,cpu,0.452486,2,123,Teacher Distillation Only
9,end_to_end_policy,cpu,0.448463,3,123,Fixed Manual Prior
9,end_to_end_policy,cpu,0.459082,4,123,Teacher+Shortest+Risk
9,end_to_end_policy,cpu,0.429348,5,123,Shortest-Oracle Only
9,end_to_end_policy,cpu,0.5028,6,123,Shortest+Risk (No Teacher)
10,end_to_end_policy,cpu,0.453382,0,123,Teacher Distillation Only
10,end_to_end_policy,cpu,0.473074,1,123,Shortest-Oracle Only
10,end_to_end_policy,cpu,0.432314,2,123,Shortest+Risk (No Teacher)
10,end_to_end_policy,cpu,0.493009,3,123,Risk-Oracle Only
10,end_to_end_policy,cpu,0.448166,4,123,Existing Phase11 Predictive Prior
10,end_to_end_policy,cpu,0.46373,5,123,Teacher+Shortest+Risk
10,end_to_end_policy,cpu,0.530997,6,123,Fixed Manual Prior
11,end_to_end_policy,cpu,0.565821,0,123,Existing Phase11 Predictive Prior
11,end_to_end_policy,cpu,0.451831,1,123,Fixed Manual Prior
11,end_to_end_policy,cpu,0.498128,2,123,Shortest-Oracle Only
11,end_to_end_policy,cpu,0.448691,3,123,Teacher Distillation Only
11,end_to_end_policy,cpu,0.467569,4,123,Risk-Oracle Only
11,end_to_end_policy,cpu,0.434056,5,123,Shortest+Risk (No Teacher)
11,end_to_end_policy,cpu,0.736658,6,123,Teacher+Shortest+Risk
12,end_to_end_policy,cpu,0.534595,0,123,Shortest-Oracle Only
12,end_to_end_policy,cpu,0.510483,1,123,Teacher Distillation Only
12,end_to_end_policy,cpu,0.512455,2,123,Risk-Oracle Only
12,end_to_end_policy,cpu,0.477758,3,123,Teacher+Shortest+Risk
12,end_to_end_policy,cpu,0.472879,4,123,Fixed Manual Prior
12,end_to_end_policy,cpu,0.473535,5,123,Shortest+Risk (No Teacher)
12,end_to_end_policy,cpu,0.457688,6,123,Existing Phase11 Predictive Prior
13,end_to_end_policy,cpu,0.482928,0,123,Existing Phase11 Predictive Prior
13,end_to_end_policy,cpu,0.4568,1,123,Teacher Distillation Only
13,end_to_end_policy,cpu,0.498404,2,123,Shortest-Oracle Only
13,end_to_end_policy,cpu,0.46254,3,123,Fixed Manual Prior
13,end_to_end_policy,cpu,0.485347,4,123,Risk-Oracle Only
13,end_to_end_policy,cpu,0.449941,5,123,Teacher+Shortest+Risk
13,end_to_end_policy,cpu,0.4638,6,123,Shortest+Risk (No Teacher)
14,end_to_end_policy,cpu,0.464724,0,123,Shortest-Oracle Only
14,end_to_end_policy,cpu,0.462101,1,123,Teacher Distillation Only
14,end_to_end_policy,cpu,0.445933,2,123,Existing Phase11 Predictive Prior
14,end_to_end_policy,cpu,0.598018,3,123,Teacher+Shortest+Risk
14,end_to_end_policy,cpu,0.464758,4,123,Shortest+Risk (No Teacher)
14,end_to_end_policy,cpu,0.492332,5,123,Risk-Oracle Only
14,end_to_end_policy,cpu,0.455877,6,123,Fixed Manual Prior
15,end_to_end_policy,cpu,0.481792,0,123,Teacher Distillation Only
15,end_to_end_policy,cpu,0.44905,1,123,Shortest+Risk (No Teacher)
15,end_to_end_policy,cpu,0.463758,2,123,Fixed Manual Prior
15,end_to_end_policy,cpu,0.436022,3,123,Teacher+Shortest+Risk
15,end_to_end_policy,cpu,0.504865,4,123,Shortest-Oracle Only
15,end_to_end_policy,cpu,0.445861,5,123,Existing Phase11 Predictive Prior
15,end_to_end_policy,cpu,0.471966,6,123,Risk-Oracle Only
16,end_to_end_policy,cpu,0.452201,0,123,Teacher+Shortest+Risk
16,end_to_end_policy,cpu,0.489325,1,123,Shortest+Risk (No Teacher)
16,end_to_end_policy,cpu,0.450223,2,123,Fixed Manual Prior
16,end_to_end_policy,cpu,0.470823,3,123,Shortest-Oracle Only
16,end_to_end_policy,cpu,0.446479,4,123,Existing Phase11 Predictive Prior
16,end_to_end_policy,cpu,0.449475,5,123,Risk-Oracle Only
16,end_to_end_policy,cpu,0.496881,6,123,Teacher Distillation Only
17,end_to_end_policy,cpu,0.46698,0,123,Existing Phase11 Predictive Prior
17,end_to_end_policy,cpu,0.460679,1,123,Risk-Oracle Only
17,end_to_end_policy,cpu,0.45656,2,123,Fixed Manual Prior
17,end_to_end_policy,cpu,0.495734,3,123,Shortest-Oracle Only
17,end_to_end_policy,cpu,0.465913,4,123,Shortest+Risk (No Teacher)
17,end_to_end_policy,cpu,0.467868,5,123,Teacher Distillation Only
17,end_to_end_policy,cpu,0.457019,6,123,Teacher+Shortest+Risk
18,end_to_end_policy,cpu,0.614643,0,123,Teacher+Shortest+Risk
18,end_to_end_policy,cpu,0.483164,1,123,Risk-Oracle Only
18,end_to_end_policy,cpu,0.473079,2,123,Fixed Manual Prior
18,end_to_end_policy,cpu,0.457543,3,123,Existing Phase11 Predictive Prior
18,end_to_end_policy,cpu,0.468622,4,123,Shortest+Risk (No Teacher)
18,end_to_end_policy,cpu,0.450319,5,123,Shortest-Oracle Only
18,end_to_end_policy,cpu,0.461323,6,123,Teacher Distillation Only
19,end_to_end_policy,cpu,0.464038,0,123,Risk-Oracle Only
19,end_to_end_policy,cpu,0.497371,1,123,Teacher+Shortest+Risk
19,end_to_end_policy,cpu,0.441663,2,123,Shortest+Risk (No Teacher)
19,end_to_end_policy,cpu,0.472818,3,123,Existing Phase11 Predictive Prior
19,end_to_end_policy,cpu,0.435858,4,123,Shortest-Oracle Only
19,end_to_end_policy,cpu,0.533961,5,123,Fixed Manual Prior
19,end_to_end_policy,cpu,0.444785,6,123,Teacher Distillation Only
20,end_to_end_policy,cpu,0.49663,0,123,Shortest-Oracle Only
20,end_to_end_policy,cpu,0.441077,1,123,Teacher Distillation Only
20,end_to_end_policy,cpu,0.513404,2,123,Shortest+Risk (No Teacher)
20,end_to_end_policy,cpu,0.454606,3,123,Teacher+Shortest+Risk
20,end_to_end_policy,cpu,0.4702,4,123,Fixed Manual Prior
20,end_to_end_policy,cpu,0.438218,5,123,Existing Phase11 Predictive Prior
20,end_to_end_policy,cpu,0.447786,6,123,Risk-Oracle Only
21,end_to_end_policy,cpu,0.473995,0,123,Existing Phase11 Predictive Prior
21,end_to_end_policy,cpu,0.452022,1,123,Teacher+Shortest+Risk
21,end_to_end_policy,cpu,0.49597,2,123,Shortest+Risk (No Teacher)
21,end_to_end_policy,cpu,0.501411,3,123,Fixed Manual Prior
21,end_to_end_policy,cpu,0.471323,4,123,Risk-Oracle Only
21,end_to_end_policy,cpu,0.47066,5,123,Teacher Distillation Only
21,end_to_end_policy,cpu,0.445412,6,123,Shortest-Oracle Only
22,end_to_end_policy,cpu,0.480674,0,123,Existing Phase11 Predictive Prior
22,end_to_end_policy,cpu,0.445201,1,123,Teacher Distillation Only
