epoch,method,train_objective,validation_objective
1,Shortest-Oracle Only,1.460482391375655,1.190418192680846
2,Shortest-Oracle Only,1.4480331074071744,1.179440549079408
3,Shortest-Oracle Only,1.4359395318495067,1.1684243671799865
4,Shortest-Oracle Only,1.4237108248427621,1.157527827926682
5,Shortest-Oracle Only,1.41145579485921,1.1468339277980537
6,Shortest-Oracle Only,1.3994829419644197,1.1361150618382139
7,Shortest-Oracle Only,1.3876035317815747,1.1253726685300787
8,Shortest-Oracle Only,1.3757181640277778,1.11465877167722
9,Shortest-Oracle Only,1.3637938617768133,1.1040911493330379
10,Shortest-Oracle Only,1.3519381879075607,1.0935877108646381
11,Shortest-Oracle Only,1.3402238529717436,1.0830621523697688
12,Shortest-Oracle Only,1.3285758672311518,1.0725533295547347
13,Shortest-Oracle Only,1.3169506220052565,1.062080908691267
14,Shortest-Oracle Only,1.3055407984100178,1.0515601192926562
15,Shortest-Oracle Only,1.2937641726864049,1.0414020493400133
16,Shortest-Oracle Only,1.28246298888675,1.0311148500007699
17,Shortest-Oracle Only,1.2710929143854903,1.0208585276792115
18,Shortest-Oracle Only,1.259694607557105,1.0107153882371618
19,Shortest-Oracle Only,1.2483720677352803,1.000614554686387
20,Shortest-Oracle Only,1.2372567489656525,0.9904015397590706
21,Shortest-Oracle Only,1.2259592841093676,0.9803710063540102
22,Shortest-Oracle Only,1.214798108379938,0.9703065921470387
23,Shortest-Oracle Only,1.2038121489218048,0.9602149330011617
24,Shortest-Oracle Only,1.1927739416671017,0.9501928783115282
25,Shortest-Oracle Only,1.1817354740743724,0.9402953802995768
26,Shortest-Oracle Only,1.1707090709869403,0.9305138414029293
27,Shortest-Oracle Only,1.1599741518943387,0.9206388409739207
28,Shortest-Oracle Only,1.149216742765279,0.910791642760071
29,Shortest-Oracle Only,1.1385380697171092,0.9009590322848149
30,Shortest-Oracle Only,1.127695590282418,0.8913726125444684
31,Shortest-Oracle Only,1.1171730483658395,0.8817284549260936
32,Shortest-Oracle Only,1.106473984088089,0.8722134977126194
33,Shortest-Oracle Only,1.0961118700498358,0.8625480469236982
34,Shortest-Oracle Only,1.0856110829466696,0.852965611454926
35,Shortest-Oracle Only,1.0750299650732913,0.8436243787724921
36,Shortest-Oracle Only,1.064869857646977,0.8341401137841871
37,Shortest-Oracle Only,1.0545548478861402,0.8247532069139567
38,Shortest-Oracle Only,1.0443403147898014,0.8154104255977735
39,Shortest-Oracle Only,1.0342534197437099,0.8061198057737031
40,Shortest-Oracle Only,1.0240685889449401,0.7970287647653134
41,Shortest-Oracle Only,1.0142723290799365,0.7878153070490411
42,Shortest-Oracle Only,1.0041945934890215,0.7788143926116109
43,Shortest-Oracle Only,0.9945070566381897,0.769705729643987
44,Shortest-Oracle Only,0.9845722554330517,0.7608920006041832
45,Shortest-Oracle Only,0.9750752664960035,0.7519828345637916
46,Shortest-Oracle Only,0.9655105686643574,0.7431682855524915
47,Shortest-Oracle Only,0.9559466660964122,0.7344957307479302
48,Shortest-Oracle Only,0.9466656017580928,0.7257971071544752
49,Shortest-Oracle Only,0.937231782428047,0.7173317862861425
50,Shortest-Oracle Only,0.9280920582717395,0.7088896731837542
51,Shortest-Oracle Only,0.9190173559553506,0.700520256007696
52,Shortest-Oracle Only,0.9100613779161537,0.6922052381248822
53,Shortest-Oracle Only,0.9011101994926694,0.6840967153705725
54,Shortest-Oracle Only,0.8923096006350625,0.676099136245287
55,Shortest-Oracle Only,0.8836625774701437,0.6681670707772206
56,Shortest-Oracle Only,0.875121308621623,0.6603366252499149
57,Shortest-Oracle Only,0.8668608402472581,0.6524603421202546
58,Shortest-Oracle Only,0.8584389390097196,0.6448875096793595
59,Shortest-Oracle Only,0.850311952933409,0.637415150740951
60,Shortest-Oracle Only,0.8423675977281997,0.6300010655788665
61,Shortest-Oracle Only,0.8344739371701666,0.6227689245913891
62,Shortest-Oracle Only,0.8267235724210541,0.6157231537404394
63,Shortest-Oracle Only,0.819264937854269,0.60871460952295
64,Shortest-Oracle Only,0.8117355979985231,0.6019922136173422
65,Shortest-Oracle Only,0.8045240935542043,0.5953786441982698
66,Shortest-Oracle Only,0.7974450601703013,0.5888794794633396
67,Shortest-Oracle Only,0.7905734845032221,0.5824656044458546
68,Shortest-Oracle Only,0.7836536570380156,0.5764053599812702
69,Shortest-Oracle Only,0.7771229513565501,0.5703558523241872
70,Shortest-Oracle Only,0.7707365888114384,0.5643834582215747
71,Shortest-Oracle Only,0.7644716488254735,0.5585621700460788
72,Shortest-Oracle Only,0.7582815562895904,0.5530059076732415
73,Shortest-Oracle Only,0.7522939484513806,0.547671761556237
74,Shortest-Oracle Only,0.7466052745444915,0.5424132481172093
75,Shortest-Oracle Only,0.7410056790707018,0.5373210794657559
76,Shortest-Oracle Only,0.7356280309997394,0.532330275668924
77,Shortest-Oracle Only,0.7302572214098048,0.5276360917598644
78,Shortest-Oracle Only,0.7252614534505684,0.5229895571444897
79,Shortest-Oracle Only,0.7203291199550169,0.5185358219958366
80,Shortest-Oracle Only,0.7156407816005764,0.5142042582520598
81,Shortest-Oracle Only,0.7109623614094799,0.5101435619284679
82,Shortest-Oracle Only,0.7065934383512436,0.5061995287434309
