action_sequence,backup_available_steps,branch_disagreement_steps,control_bytes,control_messages,cumulative_link_distance,deadline_met,deadline_met_latency_aware,deadline_ms,deadline_slack_steps,deadline_steps,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,decision_latency_total_ms,delay_steps,delivered,drop_reason,dropped,effective_end_to_end_delay_ms,environment_step_time_total_ms,evaluation_seed,expected_transmissions_proxy,false_switch_steps,fast_failover_miss_steps,fast_failover_steps,freshness_cache_capacity_evictions,freshness_cache_hit_steps,freshness_cache_miss_steps,freshness_cache_stale_evictions,freshness_cache_state_evictions,hop_count,initial_shortest_hops,initially_connected,late_delivery,local_observation_bytes,loop,mean_per_hop_delay,mean_selected_danger,method,minimum_link_lifetime_steps,minimum_link_margin,missed_risk_steps,node_trajectory,path_stretch,policy_input_bytes,queue_delay_proxy,routing_step_duration_ms,safe_forward_candidates,scenario,steps,switch_danger_reduction,switch_steps,throughput,total_reward,training_seed,transmission_attempts,transmission_energy_proxy
"[1,6,7,2]",0.0,0.0,0.0,0.0,7.363295912742615,1,,,0.0,4,2.1491205,240.77198194999988,274.4354195899999,289.08765,4,1,,0,,4.213032,1100000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.1048591136932373,0.0,"[3,1,6,7,2]",2.0,4932,6.375,,0.0,heldout_medium,4,0.0,0.0,0.25,10.825239503383637,314,4,1.3128462293023242
"[4,2,1,6]",0.0,0.0,0.0,0.0,10.169072151184082,1,,,0.0,4,1.8998665,1.9382243,1.94163926,7.626566,4,1,,0,,4.11074,1100001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.007991373538970947,0.0,"[7,4,2,1,6]",2.0,4932,5.375,,0.0,heldout_medium,4,0.0,0.0,0.25,10.603051567077637,314,4,1.8735142244319931
"[2,6,5]",0.0,0.0,0.0,0.0,7.833065092563629,1,,,4.0,7,1.892515,1.9001758,1.90085676,5.674766,3,1,,0,,2.609556,1100002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0,6003,0,1.0,0.0,Historical Untrained Local,12.0,0.0912407636642456,0.0,"[3,2,6,5]",0.75,3699,3.5,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.684932708740234,314,3,1.6116792519910101
"[1,0,32]",0.0,0.0,0.0,0.0,5.263568997383118,0,,,,4,1.884109,1.8948361,1.89578962,5.553818,,0,agent_drop,1,,1.730111,1100003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,6003,0,,0.0,Historical Untrained Local,1.3473440279013251,0.02142024040222168,0.0,"[2,1,0]",,3699,3.0,,0.0,heldout_medium,3,0.0,0.0,0.0,-5.752027988433838,314,2,1.071398061634441
"[7,1]",0.0,0.0,0.0,0.0,6.474392890930176,1,,,2.0,4,1.8971185,1.91558695,1.9172285900000001,3.794237,2,1,,0,,1.169825,1100004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,8.151648050685244,0.15219110250473022,0.0,"[3,7,1]",1.0,2466,2.125,,0.0,heldout_medium,2,0.0,0.0,0.5,10.722914648056031,314,2,1.3128961105718773
"[5,0,6]",0.0,0.0,0.0,0.0,10.629551649093628,1,,,3.0,6,1.881825,1.8834828,1.88363016,5.622662,3,1,,0,,2.1526199999999998,1100005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,6003,0,1.0,0.0,Historical Untrained Local,12.0,0.0406796932220459,0.0,"[4,5,0,6]",1.0,3699,5.0,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,11.423794174194336,314,3,2.369984529168935
"[1,4,3,0]",0.0,0.0,0.0,0.0,12.203851461410522,1,,,3.0,7,1.880131,1.88911155,1.89032631,7.52588,4,1,,0,,2.995183,1100006,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,8004,0,1.0,0.0,Historical Untrained Local,12.0,0.02414792776107788,0.0,"[2,1,4,3,0]",1.0,4932,7.25,,0.0,heldout_medium,4,0.0,0.0,0.25,11.467520427703857,314,4,2.398838526170433
"[0,3,7,32]",0.0,0.0,0.0,0.0,7.644038558006287,0,,,,4,1.8728215000000001,1.8812904,1.88194368,7.403288,,0,agent_drop,1,,2.950284,1100007,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,8004,0,,0.0,Historical Untrained Local,10.901305315310605,0.14895111322402954,0.0,"[1,0,3,7]",,4932,4.375,,0.0,heldout_medium,4,0.0,0.0,0.0,-5.876770782470703,314,3,1.2890862460992247
"[0,5,6]",0.0,0.0,0.0,0.0,8.807802438735962,1,,,1.0,4,1.869196,1.8837058,1.8849955600000001,5.613982,3,1,,0,,2.215556,1100008,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,6003,0,1.0,0.0,Historical Untrained Local,12.0,0.10769736766815186,0.0,"[2,0,5,6]",1.5,3699,4.125,,0.0,heldout_medium,3,0.0,0.0,0.3333333333333333,10.943708419799805,314,3,1.685422520494928
"[7,6]",0.0,0.0,0.0,0.0,4.102652430534363,1,,,2.0,4,1.872496,1.8770878000000002,1.87749596,3.744992,2,1,,0,,1.080567,1100009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,4002,0,1.0,0.0,Historical Untrained Local,12.0,0.28839194774627686,0.0,"[0,7,6]",1.0,2466,2.25,,0.0,heldout_medium,2,0.0,0.0,0.5,10.62037422657013,314,2,0.6050165978419892
