epoch,method,train_objective,validation_objective
1,Shortest-Oracle Only,1.5150953089814396,1.4719621155909102
2,Shortest-Oracle Only,1.5028620513756212,1.4597799314127815
3,Shortest-Oracle Only,1.4906365852117187,1.4476327479983253
4,Shortest-Oracle Only,1.478514096191093,1.4355027284309136
5,Shortest-Oracle Only,1.4665092232964312,1.4233825491179075
6,Shortest-Oracle Only,1.454352500922082,1.411452667917415
7,Shortest-Oracle Only,1.4424236718302486,1.3995035009636128
8,Shortest-Oracle Only,1.4304953975658763,1.3876118366006283
9,Shortest-Oracle Only,1.4186518289632832,1.3757439709549621
10,Shortest-Oracle Only,1.406829042220892,1.3639317536182267
11,Shortest-Oracle Only,1.394897811952384,1.3523356656822039
12,Shortest-Oracle Only,1.3835512734029087,1.3403853484398847
13,Shortest-Oracle Only,1.3716407596645563,1.328773560000955
14,Shortest-Oracle Only,1.360024403246076,1.3172224654112938
15,Shortest-Oracle Only,1.3484813977606538,1.305682682819229
16,Shortest-Oracle Only,1.3369549691745368,1.294208375046595
17,Shortest-Oracle Only,1.3255790640573966,1.282677121693082
18,Shortest-Oracle Only,1.3141896773664323,1.2711773365378094
19,Shortest-Oracle Only,1.3027925843830448,1.2597772714326245
20,Shortest-Oracle Only,1.2912603296794276,1.2486695319390277
21,Shortest-Oracle Only,1.2803281593431994,1.2372426803442265
22,Shortest-Oracle Only,1.2688495966713589,1.22616497815562
23,Shortest-Oracle Only,1.2578273950553998,1.21497550289377
24,Shortest-Oracle Only,1.2467319742393774,1.2038355612392135
25,Shortest-Oracle Only,1.2356688529960147,1.1927632634595835
26,Shortest-Oracle Only,1.2245950821358567,1.1818363494735609
27,Shortest-Oracle Only,1.2136347563640124,1.1709810649041084
28,Shortest-Oracle Only,1.20291506141946,1.1599819713635289
29,Shortest-Oracle Only,1.191943191171102,1.1492174324557913
30,Shortest-Oracle Only,1.1812400104292986,1.1384240662793907
31,Shortest-Oracle Only,1.1704422773696108,1.1277979785103718
32,Shortest-Oracle Only,1.1599488055095444,1.1170500395677871
33,Shortest-Oracle Only,1.1492611835014994,1.1064755552000194
34,Shortest-Oracle Only,1.1389253088191573,1.0957777000027147
35,Shortest-Oracle Only,1.1281262937963077,1.0855420798278026
36,Shortest-Oracle Only,1.1178601504815735,1.0752163971778008
37,Shortest-Oracle Only,1.1075834285567228,1.06489783577961
38,Shortest-Oracle Only,1.0973295572443498,1.0546429979982521
