cold_start_mean_ms,cold_start_p50_ms,cold_start_p95_ms,cold_start_p99_ms,cold_start_repeats,component,decisions_per_second,device,mean_ms,p50_ms,p95_ms,p99_ms,repeats,training_seed,variant,warmup
,,,,0,end_to_end_policy,690.3034399447804,cuda,1.4486382974999998,1.4431395,1.5059597500000002,1.53332331,2000,123,Existing Phase11 Predictive Prior,50
,,,,0,end_to_end_policy,2095.5375782925844,cpu,0.477204518,0.47197049999999996,0.5231141,0.6111016699999999,2000,314,Fixed Manual Prior,50
,,,,0,end_to_end_policy,2090.6096807276404,cpu,0.47832936449999996,0.47341500000000003,0.5237619499999999,0.6106810300000001,2000,314,Shortest-Oracle Only,50
,,,,0,end_to_end_policy,2094.6468197302534,cpu,0.47740745149999997,0.4707975,0.5229723,0.6218555,2000,314,Risk-Oracle Only,50
,,,,0,end_to_end_policy,2095.023452902408,cpu,0.47732162549999996,0.47137249999999997,0.52504575,0.62785601,2000,314,Shortest+Risk (No Teacher),50
,,,,0,end_to_end_policy,2096.655871310567,cpu,0.4769499915,0.47196000000000005,0.5213787,0.613835,2000,314,Teacher Distillation Only,50
,,,,0,end_to_end_policy,2097.3804669130295,cpu,0.47678521650000005,0.471264,0.5240961000000001,0.61558008,2000,314,Teacher+Shortest+Risk,50
,,,,0,end_to_end_policy,2096.683858600689,cpu,0.476943625,0.4713795,0.5218358,0.60937612,2000,314,Existing Phase11 Predictive Prior,50
,,,,0,end_to_end_policy,679.6980901661923,cuda,1.4712414445,1.4674095,1.52716245,1.56465454,2000,314,Fixed Manual Prior,50
,,,,0,end_to_end_policy,679.7777878467973,cuda,1.4710689550000002,1.466885,1.5277094500000001,1.55879042,2000,314,Shortest-Oracle Only,50
,,,,0,end_to_end_policy,679.6904066747838,cuda,1.471258076,1.4674365,1.52993765,1.56131164,2000,314,Risk-Oracle Only,50
,,,,0,end_to_end_policy,679.5683926583686,cuda,1.471522235,1.4676695,1.52938975,1.55384145,2000,314,Shortest+Risk (No Teacher),50
,,,,0,end_to_end_policy,679.8589347507022,cuda,1.4708933705,1.467235,1.52499155,1.5549004700000002,2000,314,Teacher Distillation Only,50
,,,,0,end_to_end_policy,679.4520104979724,cuda,1.4717742895,1.467787,1.52863575,1.5575835999999998,2000,314,Teacher+Shortest+Risk,50
,,,,0,end_to_end_policy,679.944316708122,cuda,1.4707086675,1.4669150000000002,1.52774605,1.55633744,2000,314,Existing Phase11 Predictive Prior,50
,,,,0,end_to_end_policy,2163.8702792528584,cpu,0.46213491149999997,0.4586665,0.5057997999999999,0.5873521,2000,2718,Fixed Manual Prior,50
,,,,0,end_to_end_policy,2162.582081830142,cpu,0.462410194,0.45812600000000003,0.5023706499999999,0.6048954099999999,2000,2718,Shortest-Oracle Only,50
,,,,0,end_to_end_policy,2163.4475821443957,cpu,0.46222520399999995,0.4585585,0.50567775,0.5989939400000001,2000,2718,Risk-Oracle Only,50
,,,,0,end_to_end_policy,2157.8255044304174,cpu,0.46342950250000003,0.458941,0.5154917,0.60385177,2000,2718,Shortest+Risk (No Teacher),50
,,,,0,end_to_end_policy,2157.908541834853,cpu,0.4634116695,0.459634,0.50564915,0.60951631,2000,2718,Teacher Distillation Only,50
,,,,0,end_to_end_policy,2164.4163702229703,cpu,0.46201831299999996,0.4573545,0.5011192,0.60583137,2000,2718,Teacher+Shortest+Risk,50
,,,,0,end_to_end_policy,2163.4392157732746,cpu,0.4622269915,0.4588405,0.4996786,0.59867686,2000,2718,Existing Phase11 Predictive Prior,50
,,,,0,end_to_end_policy,695.8304180749655,cuda,1.4371317695,1.434907,1.47107555,1.49666081,2000,2718,Fixed Manual Prior,50
,,,,0,end_to_end_policy,696.3829766174384,cuda,1.4359914495,1.4336929999999999,1.47060105,1.49913703,2000,2718,Shortest-Oracle Only,50
,,,,0,end_to_end_policy,695.8830020565426,cuda,1.4370231735,1.435804,1.4721514500000001,1.4982262599999998,2000,2718,Risk-Oracle Only,50
,,,,0,end_to_end_policy,696.1592437147635,cuda,1.4364529509999997,1.4347675,1.4715109,1.5012294,2000,2718,Shortest+Risk (No Teacher),50
,,,,0,end_to_end_policy,696.8305009594956,cuda,1.435069215,1.4330315,1.46911735,1.4943280399999999,2000,2718,Teacher Distillation Only,50
,,,,0,end_to_end_policy,696.3635711865384,cuda,1.436031466,1.4335485000000001,1.4706306500000002,1.50824908,2000,2718,Teacher+Shortest+Risk,50
,,,,0,end_to_end_policy,696.5119189116812,cuda,1.4357256105,1.433586,1.4692326999999998,1.50839018,2000,2718,Existing Phase11 Predictive Prior,50
