decision_steps,gate_margin,mean_outcome_divergence_rate_across_seeds,mean_skip_rate_across_seeds,outcome_divergence_rate_of_all_steps,outcome_divergence_rate_of_skipped,scope,seed_count,skip_rate
43467.0,0.0000,0.0,0.7427560405503318,0.0,0.0,overall,5,0.7427473715692364
2342.0,0.0000,0.0,0.8591001038762233,0.0,0.0,heldout_medium,5,0.8590947907771136
2322.0,0.0000,0.0,0.6699148577763434,0.0,0.0,ood_extreme_mobility,5,0.669681309216193
2316.0,0.0000,0.0,0.8066339788812226,0.0,0.0,ood_fast_mobility,5,0.8065630397236615
2454.0,0.0000,0.0,0.8350135692844521,0.0,0.0,ood_link_loss,5,0.8349633251833741
2537.0,0.0000,0.0,0.7626211110842498,0.0,0.0,ood_link_loss_30,5,0.7627118644067796
2599.0,0.0000,0.0,0.8549607232844227,0.0,0.0,ood_nodes_10,5,0.8549442093112736
2946.0,0.0000,0.0,0.8441798715617368,0.0,0.0,ood_nodes_16,5,0.8441955193482689
3688.0,0.0000,0.0,0.8339635047836712,0.0,0.0,ood_nodes_24,5,0.834056399132321
2234.0,0.0000,0.0,0.8554358403306548,0.0,0.0,ood_sparse,5,0.8554162936436884
4565.0,0.0000,0.0,0.5765607886089814,0.0,0.0,predictive_break_225_link_loss,5,0.5765607886089814
6000.0,0.0000,0.0,0.7666666666666667,0.0,0.0,predictive_break_45,5,0.7666666666666667
3355.0,0.0000,0.0,0.6020864381520119,0.0,0.0,structural_hole_225_link_loss,5,0.6020864381520119
4000.0,0.0000,0.0,0.75,0.0,0.0,structural_hole_45,5,0.75
2109.0,0.0000,0.0,0.4353537821540831,0.0,0.0,unconditional_sparse,5,0.4352773826458037
43467.0,0.0200,0.0011351785854828553,0.7672801003868268,0.0008972323831872455,0.0011693802284789062,overall,5,0.7672717233763545
2342.0,0.0200,0.0,0.905642119074955,0.0,0.0,heldout_medium,5,0.9056362083689155
2322.0,0.0200,0.0042201347410399,0.7215954388263037,0.0034453057708871662,0.004776119402985075,ood_extreme_mobility,5,0.7213608957795005
2316.0,0.0200,0.0010669362084456424,0.8476425215056382,0.0008635578583765112,0.0010188487009679063,ood_fast_mobility,5,0.8475820379965457
2454.0,0.0200,0.0032201610724944887,0.8765756370602485,0.0028524857375713123,0.0032543003254300326,ood_link_loss,5,0.8765281173594132
2537.0,0.0200,0.0,0.7985021452719099,0.0,0.0,ood_link_loss_30,5,0.798581001182499
2599.0,0.0200,0.0009195402298850574,0.8918956573291833,0.0007695267410542517,0.0008628127696289905,ood_nodes_10,5,0.8918814928818777
2946.0,0.0200,0.0015148159227117914,0.8798242036648158,0.0013577732518669382,0.0015432098765432098,ood_nodes_16,5,0.879837067209776
3688.0,0.0200,0.0038120337038941897,0.8797797068291787,0.0035249457700650758,0.004006163328197226,ood_nodes_24,5,0.879880694143167
2234.0,0.0200,0.00047619047619047624,0.8903532267934711,0.0004476275738585497,0.0005027652086475615,ood_sparse,5,0.8903312444046553
4565.0,0.0200,0.0,0.5824753559693319,0.0,0.0,predictive_break_225_link_loss,5,0.5824753559693319
6000.0,0.0200,0.0,0.7666666666666667,0.0,0.0,predictive_break_45,5,0.7666666666666667
3355.0,0.0200,0.0,0.6020864381520119,0.0,0.0,structural_hole_225_link_loss,5,0.6020864381520119
4000.0,0.0200,0.0,0.75,0.0,0.0,structural_hole_45,5,0.75
2109.0,0.0200,0.001904761904761905,0.47047143809340797,0.000948316737790422,0.0020161290322580645,unconditional_sparse,5,0.4703651019440493
43467.0,0.0500,0.003027863540533805,0.8324527712882362,0.0025536613983021604,0.0030676542118063233,overall,5,0.8324476039294177
2342.0,0.0500,0.0,0.9530351903486232,0.0,0.0,heldout_medium,5,0.9530315969257045
2322.0,0.0500,0.012377616807564619,0.796929560080098,0.0103359173126615,0.012972972972972972,ood_extreme_mobility,5,0.7967269595176572
2316.0,0.0500,0.0038525536705507324,0.891672924088206,0.0034542314335060447,0.00387409200968523,ood_fast_mobility,5,0.8916234887737479
2454.0,0.0500,0.006201221700984137,0.9173105951933206,0.0057049714751426246,0.006219458018658374,ood_link_loss,5,0.917277913610432
2537.0,0.0500,0.0013750970965507106,0.8347853825563684,0.0011824990145841545,0.00141643059490085,ood_link_loss_30,5,0.8348443042964131
2599.0,0.0500,0.0016610326371282549,0.9380658070253446,0.0015390534821085034,0.0016406890894175555,ood_nodes_10,5,0.9380530973451328
2946.0,0.0500,0.0036000497333264735,0.9310735265699337,0.0033944331296673455,0.0036456434560699965,ood_nodes_16,5,0.9310930074677529
3688.0,0.0500,0.01128691625126867,0.9245469375955249,0.010574837310195227,0.011436950146627566,ood_nodes_24,5,0.9246203904555315
2234.0,0.0500,0.0018820931832347568,0.9391378497406727,0.0017905102954341987,0.0019065776930409914,ood_sparse,5,0.9391226499552372
4565.0,0.0500,0.0,0.6497261774370209,0.0,0.0,predictive_break_225_link_loss,5,0.6497261774370208
6000.0,0.0500,0.0,0.8333333333333334,0.0,0.0,predictive_break_45,5,0.8333333333333334
3355.0,0.0500,0.0,0.7058122205663189,0.0,0.0,structural_hole_225_link_loss,5,0.705812220566319
4000.0,0.0500,0.0,0.9,0.0,0.0,structural_hole_45,5,0.9
