bin,fraction
≤0.00,0.7427473715692364
"(0.00,0.01]",0.012308187820645577
"(0.01,0.02]",0.012216163986472517
"(0.02,0.05]",0.06517588055306323
"(0.05,0.10]",0.05744587848252691
"(0.10,0.20]",0.04085858237283457
