ci95_high,ci95_low,count,mean,method,metric,standard_deviation
0.798192748558197,0.798192748558197,5,0.798192748558197,AODV,connected_pair_pdr,0.0
0.7357142857142857,0.7357142857142857,5,0.7357142857142857,AODV,overall_pdr,0.0
0.7357142857142857,0.7357142857142857,5,0.7357142857142857,AODV,deadline_delivery_ratio,0.0
3.857142857142857,3.8571428571428563,5,3.8571428571428568,AODV,p95_success_delay,4.965068306494546e-16
15.419582763505394,15.41958276350539,5,15.419582763505392,AODV,energy_per_delivered_packet,1.9860273225978185e-15
142.72392857142856,142.72392857142856,5,142.72392857142856,AODV,mean_policy_input_bytes,0.0
0.7657446918161204,0.7657446918161204,5,0.7657446918161204,OLSR,connected_pair_pdr,0.0
0.7039285714285715,0.7039285714285715,5,0.7039285714285715,OLSR,overall_pdr,0.0
0.7039285714285715,0.7039285714285715,5,0.7039285714285715,OLSR,deadline_delivery_ratio,0.0
3.1392857142857133,3.1392857142857133,5,3.1392857142857133,OLSR,p95_success_delay,0.0
27.163599198527596,27.163599198527596,5,27.163599198527596,OLSR,energy_per_delivered_packet,0.0
137.69571428571427,137.69571428571427,5,137.69571428571427,OLSR,mean_policy_input_bytes,0.0
0.6832462738442805,0.6832462738442805,5,0.6832462738442805,Greedy Geographic,connected_pair_pdr,0.0
0.6417857142857143,0.6417857142857143,5,0.6417857142857143,Greedy Geographic,overall_pdr,0.0
0.6371428571428571,0.6371428571428571,5,0.6371428571428571,Greedy Geographic,deadline_delivery_ratio,0.0
3.567857142857143,3.567857142857143,5,3.567857142857143,Greedy Geographic,p95_success_delay,0.0
25.76062178664139,25.760621786641384,5,25.760621786641387,Greedy Geographic,energy_per_delivered_packet,3.972054645195637e-15
2283.796428571429,2283.796428571429,5,2283.796428571429,Greedy Geographic,mean_policy_input_bytes,0.0
0.8887266182900825,0.8850405838691461,5,0.8868836010796143,Evo-QGeo (Adapted),connected_pair_pdr,0.0014845503480939814
0.84384758681237,0.8408666989019156,5,0.8423571428571428,Evo-QGeo (Adapted),overall_pdr,0.0012005525938551286
0.8175065087816776,0.8132077769326082,5,0.8153571428571429,Evo-QGeo (Adapted),deadline_delivery_ratio,0.0017313142347915296
4.649670288927453,4.464615425358261,5,4.557142857142857,Evo-QGeo (Adapted),p95_success_delay,0.07453084555253268
2.2577757412933317,2.2386767129514804,5,2.248226227122406,Evo-QGeo (Adapted),energy_per_delivered_packet,0.007692133587279412
6486.602471322289,6416.429242963424,5,6451.5158571428565,Evo-QGeo (Adapted),mean_policy_input_bytes,28.262267437146154
0.8525773236619826,0.5977010222077251,5,0.7251391729348539,RDQN-HERP (Adapted),connected_pair_pdr,0.10265142937778247
0.7972194879873975,0.5670662262983168,5,0.6821428571428572,RDQN-HERP (Adapted),overall_pdr,0.09269422521255088
0.7464924458578938,0.4526504112849635,5,0.5995714285714286,RDQN-HERP (Adapted),deadline_delivery_ratio,0.11834487823341418
6.651759111111787,5.673955174602499,5,6.162857142857143,RDQN-HERP (Adapted),p95_success_delay,0.3938105314664365
3.982586172240853,2.713842074334738,5,3.3482141232877956,RDQN-HERP (Adapted),energy_per_delivered_packet,0.5109866802899357
5397.914594309117,4556.798977119455,5,4977.356785714286,RDQN-HERP (Adapted),mean_policy_input_bytes,338.75931141440486
0.7855450776629122,0.566031547631321,5,0.6757883126471166,GAT-GRU-DDQN,connected_pair_pdr,0.08840907333061587
0.7403731095860793,0.5270554618424921,5,0.6337142857142857,GAT-GRU-DDQN,overall_pdr,0.08591368176423195
0.6793241419521447,0.4841044294764267,5,0.5817142857142857,GAT-GRU-DDQN,deadline_delivery_ratio,0.0786247384084419
5.872403625967632,5.1161678026037976,5,5.494285714285715,GAT-GRU-DDQN,p95_success_delay,0.304573974795039
39.4477510043551,-13.065578748160316,5,13.191086128097393,GAT-GRU-DDQN,energy_per_delivered_packet,21.14974334500841
4848.0179573940395,4054.4181854631033,5,4451.218071428571,GAT-GRU-DDQN,mean_policy_input_bytes,319.6223049290173
0.9067125100095333,0.9038665746193851,5,0.9052895423144592,SwitchGLOBE Exact,connected_pair_pdr,0.0011462004668486986
0.8556981201293836,0.852730451299188,5,0.8542142857142858,SwitchGLOBE Exact,overall_pdr,0.0011952286093344462
0.8389949854425297,0.8362907288431846,5,0.8376428571428571,SwitchGLOBE Exact,deadline_delivery_ratio,0.0010891393344268903
4.345800197285826,4.182771231285603,5,4.264285714285714,SwitchGLOBE Exact,p95_success_delay,0.06565991539589362
2.2308016298795366,2.2250256505234463,5,2.2279136402014914,SwitchGLOBE Exact,energy_per_delivered_packet,0.002326275662257383
4951.662029571281,4691.157827571576,5,4821.409928571428,SwitchGLOBE Exact,mean_policy_input_bytes,104.91806629965409
0.9061716888467658,0.8682354580852979,5,0.8872035734660318,FastSwitchGLOBE,connected_pair_pdr,0.015278816785439651
0.8564826858597244,0.8185173141402756,5,0.8375,FastSwitchGLOBE,overall_pdr,0.015290553306148326
0.8389856058365626,0.7910143941634376,5,0.8150000000000001,FastSwitchGLOBE,deadline_delivery_ratio,0.019320405306941416
4.672077376939825,4.3007797659173175,5,4.486428571428571,FastSwitchGLOBE,p95_success_delay,0.1495401113345823
2.509596835165564,2.229194626146581,5,2.3693957306560725,FastSwitchGLOBE,energy_per_delivered_packet,0.11293198854602875
6649.692219844018,6224.170065870269,5,6436.931142857144,FastSwitchGLOBE,mean_policy_input_bytes,171.37904578844274
