ci95_high,ci95_low,count,direction,evidence,mean,method_a,method_b,metric,relative_ci95_high_percent,relative_ci95_low_percent,relative_mean_percent,standard_deviation
-0.00010821973446521749,-0.036063717962389386,5,higher_is_better,five-seed scenario-macro paired mean,-0.0180859688484273,FastSwitchGLOBE,SwitchGLOBE Exact,connected_pair_pdr,-0.009814613916067083,-3.98800379467336,-1.9989092042947134,0.014481076765582076
0.0013324377850430016,-0.0347610092136145,5,higher_is_better,five-seed scenario-macro paired mean,-0.016714285714285747,FastSwitchGLOBE,SwitchGLOBE Exact,overall_pdr,0.15805581395121449,-4.073746367997771,-1.957845277023278,0.014536635632435867
0.0009618891353204914,-0.04624760342103482,5,higher_is_better,five-seed scenario-macro paired mean,-0.022642857142857166,FastSwitchGLOBE,SwitchGLOBE Exact,deadline_delivery_ratio,0.11629482406219438,-5.523840296906679,-2.703772736422242,0.019013622935749427
-0.02352529197845188,-0.4207604223072628,5,lower_is_better,five-seed scenario-macro paired mean,-0.22214285714285734,FastSwitchGLOBE,SwitchGLOBE Exact,p95_success_delay,-0.5192478711860096,-9.934177188121858,-5.226712529653934,0.159986447130081
-0.0030903367236292945,-0.2798738441855331,5,lower_is_better,five-seed scenario-macro paired mean,-0.1414820904545812,FastSwitchGLOBE,SwitchGLOBE Exact,energy_per_delivered_packet,-0.14543352136771937,-12.550257239513458,-6.347845380440589,0.11147455650858022
-1386.8720699811483,-1844.17035859028,5,lower_is_better,five-seed scenario-macro paired mean,-1615.5212142857142,FastSwitchGLOBE,SwitchGLOBE Exact,mean_policy_input_bytes,-28.364673144455764,-38.727935096821795,-33.54630412063878,184.17688388406637
0.10797894028856891,0.07004270952710095,5,higher_is_better,five-seed scenario-macro paired mean,0.08901082490783493,FastSwitchGLOBE,AODV,connected_pair_pdr,13.527927995288731,8.775162346891968,11.15154517109035,0.015278816785439653
0.1207684001454387,0.08280302842598995,5,higher_is_better,five-seed scenario-macro paired mean,0.10178571428571433,FastSwitchGLOBE,AODV,overall_pdr,16.415122349865456,11.254780562755915,13.834951456310685,0.015290553306148326
0.10327132012227677,0.05530010844915187,5,higher_is_better,five-seed scenario-macro paired mean,0.07928571428571432,FastSwitchGLOBE,AODV,deadline_delivery_ratio,14.036878463222084,7.516519595030349,10.776699029126217,0.019320405306941416
-0.4436369087744605,-0.8149345197969675,5,lower_is_better,five-seed scenario-macro paired mean,-0.629285714285714,FastSwitchGLOBE,AODV,p95_success_delay,-11.50169763489342,-21.127931994736194,-16.314814814814806,0.1495401113345823
13.19038813735881,12.909985928339825,5,lower_is_better,five-seed scenario-macro paired mean,13.050187032849317,FastSwitchGLOBE,AODV,energy_per_delivered_packet,85.54309373777238,83.7246125679535,84.63385315286294,0.11293198854602902
-6081.44613729884,-6506.968291272588,5,lower_is_better,five-seed scenario-macro paired mean,-6294.207214285714,FastSwitchGLOBE,AODV,mean_policy_input_bytes,-4260.985665242028,-4559.129191862225,-4410.057428552126,171.3790457884427
0.14042699703064554,0.10249076626917758,5,higher_is_better,five-seed scenario-macro paired mean,0.12145888164991156,FastSwitchGLOBE,OLSR,connected_pair_pdr,18.33861841047754,13.38445664260496,15.86153752654125,0.015278816785439653
0.15255411443115288,0.11458874271170413,5,higher_is_better,five-seed scenario-macro paired mean,0.1335714285714285,FastSwitchGLOBE,OLSR,overall_pdr,21.671817372259163,16.27846167391028,18.97513952308472,0.015290553306148324
0.13505703440799097,0.08708582273486606,5,higher_is_better,five-seed scenario-macro paired mean,0.11107142857142852,FastSwitchGLOBE,OLSR,deadline_delivery_ratio,19.18618449225645,12.371400489986044,15.778792491121248,0.019320405306941416
-1.1614940516316044,-1.5327916626541114,5,lower_is_better,five-seed scenario-macro paired mean,-1.3471428571428579,FastSwitchGLOBE,OLSR,p95_success_delay,-36.998672861985135,-48.826128048140085,-42.91240045506261,0.1495401113345823
24.934404572381013,24.654002363362032,5,lower_is_better,five-seed scenario-macro paired mean,24.794203467871522,FastSwitchGLOBE,OLSR,energy_per_delivered_packet,91.79344898349326,90.76117705601548,91.27731301975437,0.11293198854602854
-6086.474351584554,-6511.9965055583025,5,lower_is_better,five-seed scenario-macro paired mean,-6299.235428571428,FastSwitchGLOBE,OLSR,mean_policy_input_bytes,-4420.235141781763,-4729.265932014496,-4574.750536898129,171.3790457884427
0.22292541500248542,0.18498918424101746,5,higher_is_better,five-seed scenario-macro paired mean,0.20395729962175144,FastSwitchGLOBE,Greedy Geographic,connected_pair_pdr,32.627388327812916,27.075037409304425,29.85121286855867,0.015278816785439653
0.21469697157401005,0.1767315998545613,5,higher_is_better,five-seed scenario-macro paired mean,0.19571428571428567,FastSwitchGLOBE,Greedy Geographic,overall_pdr,33.45306179227759,27.53747799625886,30.495269894268223,0.015290553306148324
0.2018427486937053,0.1538715370205804,5,higher_is_better,five-seed scenario-macro paired mean,0.17785714285714285,FastSwitchGLOBE,Greedy Geographic,deadline_delivery_ratio,31.679355176142092,24.150241236413965,27.91479820627803,0.019320405306941416
-0.7329226230601746,-1.1042202340826817,5,lower_is_better,five-seed scenario-macro paired mean,-0.9185714285714282,FastSwitchGLOBE,Greedy Geographic,p95_success_delay,-20.542375821506393,-30.949115669985073,-25.745745745745733,0.1495401113345823
23.531427160494808,23.251024951475827,5,lower_is_better,five-seed scenario-macro paired mean,23.391226055985317,FastSwitchGLOBE,Greedy Geographic,energy_per_delivered_packet,91.34650302850002,90.25801141000812,90.80225721925407,0.11293198854602854
-3940.3736372988396,-4365.895791272588,5,lower_is_better,five-seed scenario-macro paired mean,-4153.134714285714,FastSwitchGLOBE,Greedy Geographic,mean_policy_input_bytes,-172.53611521599768,-191.16834305602114,-181.8522291360094,171.3790457884427
0.020840847961548916,-0.02020090318871365,5,higher_is_better,five-seed scenario-macro paired mean,0.00031997238641763294,FastSwitchGLOBE,Evo-QGeo (Adapted),connected_pair_pdr,2.3500191586705337,-2.273596644674041,0.038211256998246144,0.016529565109441157
