agent_drop_rate,backup_availability_rate,branch_disagreement_rate,connected_episodes,connected_pair_pdr,deadline_delivery_ratio,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,delivered,delivery_energy_efficiency_proxy,delivery_transmission_efficiency_proxy,endpoint_availability,energy_per_delivered_packet,energy_per_generated_packet,energy_per_on_time_delivery,episodes,false_switch_rate,fast_failover_miss_rate,fast_failover_success_rate,freshness_cache_capacity_eviction_rate,freshness_cache_hit_rate,freshness_cache_stale_eviction_rate,freshness_cache_state_eviction_rate,invalid_action_drop_rate,late_delivery_ratio_all,late_delivery_ratio_delivered,latency_aware_deadline_delivery_ratio,loop_drop_rate,mean_control_bytes,mean_control_messages,mean_deadline_slack_steps,mean_decision_latency_total_ms,mean_effective_end_to_end_delay_ms,mean_environment_step_time_total_ms,mean_episode_reward,mean_expected_transmissions_proxy,mean_local_observation_bytes,mean_minimum_link_lifetime_steps,mean_minimum_link_margin,mean_path_stretch,mean_per_hop_delay,mean_policy_input_bytes,mean_queue_delay_proxy,mean_safe_forward_candidates,mean_selected_danger,mean_success_delay,mean_switch_danger_reduction,mean_switch_steps,mean_transmission_energy_proxy,method,missed_risk_rate,overall_pdr,p95_success_delay,scenario,switch_activation_rate,time_limit_drop_rate,total_drop_rate,training_seed,ttl_drop_rate
0.09,0.0,0.0,200,0.91,0.91,1.52774075,1.6035662025,1.7129019114000001,182,0.7548826747417898,0.32775423728813563,1.0,1.3247091680068739,1.2054853428862553,1.3247091680068739,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758241758241756,3.751431185,0.0,1.937854805,9.35393623036146,2.776470588235294,4902.45,10.50185177020399,0.16844272255897522,1.0378205128205127,1.0,4275.25,3.605,0.0,0.0,2.379120879120879,0.0,0.0,1.2054853428862553,Shortest+Risk (No Teacher),0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,2718,0.0
0.09,0.0,0.0,200,0.91,0.91,1.5269062500000001,1.5812372924999998,1.6194079322000001,182,0.7598744757455039,0.3284501061571125,1.0,1.3160068299687415,1.1975662152715547,1.3160068299687415,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181318681318681,3.73981845,0.0,1.9413990799999998,9.354140690624712,2.770588235294117,4892.445,10.467775243546813,0.17130209788680076,1.035989010989011,1.0,4266.525,3.58625,0.0,0.0,2.3736263736263736,0.0,0.0,1.1975662152715545,Teacher Distillation Only,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,2718,0.0
0.09,0.0,0.0,200,0.91,0.91,1.5319805,1.7130253174999994,1.8537749898999982,182,0.7560746021265894,0.32775423728813563,1.0,1.3226208064486344,1.2035849338682574,1.3226208064486344,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758241758241756,3.798480945,0.0,1.957585685,9.353414237201214,2.776470588235294,4902.45,10.453309698492463,0.16989584103226663,1.0378205128205127,1.0,4275.25,3.606875,0.0,0.0,2.379120879120879,0.0,0.0,1.2035849338682574,Teacher+Shortest+Risk,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,2718,0.0
0.09,0.0,0.0,200,0.91,0.91,1.5479345,1.8079833499999998,2.070599875799999,182,0.7599451689459029,0.32775423728813563,1.0,1.315884409643751,1.1974548127758133,1.315884409643751,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758241758241756,3.86699265,0.0,2.008895695,9.353369441658257,2.776470588235294,4902.45,10.467775243546813,0.17130209788680076,1.0387362637362638,1.0,4275.25,3.591875,0.0,0.0,2.379120879120879,0.0,0.0,1.1974548127758133,Existing Phase11 Predictive Prior,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,2718,0.0
0.06,0.0,0.0,200,0.94,0.92,1.5229,1.5903425824999997,1.6290677370999997,188,0.7569849554918977,0.36015325670498083,1.0,1.3210302169746402,1.2417684039561618,1.349748265169741,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02127659574468085,0.0,0.0,0.0,0.0,2.0425531914893615,4.073145395,0.0,2.400623335,9.812428223922849,2.61,5342.67,6.089254631672307,0.17064668267965316,1.1118287740628165,1.0,4659.15,3.90875,0.0,0.0,2.547872340425532,0.0,0.0,1.2417684039561618,Fixed Manual Prior,0.0,0.94,5.0,ood_fast_mobility,0.0,0.0,0.06,2718,0.0
0.035,0.0,0.0,200,0.965,0.965,1.5223214999999999,1.57532534,1.6818122734999996,193,0.8305123853762619,0.42417582417582417,1.0,1.2040759627527435,1.1619333040563975,1.2040759627527435,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.321243523316062,3.5218685849999996,0.0,2.0438050700000003,10.263870508134364,2.275,4622.31,5.708352517186154,0.16649049997329712,0.9871699975326919,1.0,4030.95,3.47375,0.0,0.0,2.2538860103626943,0.0,0.0,1.1619333040563973,Shortest-Oracle Only,0.0,0.965,3.0,ood_fast_mobility,0.0,0.0,0.035,2718,0.0
0.04,0.0,0.0,200,0.96,0.96,1.52594275,1.596790115,1.7382713075,192,0.8257439638575185,0.4155844155844156,1.0,1.2110291370807396,1.16258797159751,1.2110291370807396,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3072916666666665,3.6029573449999996,0.0,2.07631575,10.175720205008982,2.31,4702.35,5.793012234455241,0.16851296573877333,0.9949156746031745,1.0,4100.75,3.51625,0.0,0.0,2.2708333333333335,0.0,0.0,1.16258797159751,Risk-Oracle Only,0.0,0.96,3.0,ood_fast_mobility,0.0,0.0,0.04,2718,0.0
0.035,0.0,0.0,200,0.965,0.965,1.5245199999999999,1.5802752025,1.6107360202999994,193,0.8306074153419991,0.4232456140350877,1.0,1.2039382041734532,1.1618003670273824,1.2039382041734532,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.316062176165803,3.5359780549999997,0.0,2.03359981,10.263247677505014,2.28,4632.315,5.7909324310367705,0.16706115812063216,0.9897606711078213,1.0,4039.675,3.474375,0.0,0.0,2.2590673575129534,0.0,0.0,1.1618003670273822,Shortest+Risk (No Teacher),0.0,0.965,3.0,ood_fast_mobility,0.0,0.0,0.035,2718,0.0
0.03,0.0,0.0,200,0.97,0.97,1.5250365,1.6180458024999997,1.7061293136,194,0.8329281307388587,0.424507658643326,1.0,1.2005837755929052,1.164566262325118,1.2005837755929052,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3092783505154637,3.549252635,0.0,2.04106866,10.34502172034979,2.285,4632.315,5.785039638599626,0.16600817024707795,0.9949680903289151,1.0,4039.675,3.485625,0.0,0.0,2.2731958762886597,0.0,0.0,1.164566262325118,Teacher Distillation Only,0.0,0.97,3.0,ood_fast_mobility,0.0,0.0,0.03,2718,0.0
0.035,0.0,0.0,200,0.965,0.965,1.52638925,1.5935729674999999,1.6251317553999995,193,0.8299199878351594,0.4232456140350877,1.0,1.2049354331234907,1.1627626929641686,1.2049354331234907,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.316062176165803,3.54162884,0.0,2.0348588000000003,10.263250113427638,2.28,4632.315,5.778419828105472,0.1669983571767807,0.9897606711078213,1.0,4039.675,3.480625,0.0,0.0,2.2590673575129534,0.0,0.0,1.1627626929641683,Teacher+Shortest+Risk,0.0,0.965,3.0,ood_fast_mobility,0.0,0.0,0.035,2718,0.0
0.045,0.0,0.0,200,0.955,0.955,1.525625,1.66020894,1.8605161081999997,191,0.8128124803370514,0.40638297872340423,1.0,1.2302960697470184,1.1749327466084025,1.2302960697470184,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287958115183246,3.6825266649999997,0.0,2.124201625,10.089954471707344,2.35,4792.395,5.811603514466901,0.1657220184803009,1.0036150585888806,1.0,4179.275,3.575,0.0,0.0,2.2931937172774868,0.0,0.0,1.1749327466084025,Existing Phase11 Predictive Prior,0.0,0.955,3.0,ood_fast_mobility,0.0,0.0,0.045,2718,0.0
0.025,0.0,0.0,200,0.975,0.975,1.5282215000000001,1.737183425,1.9646922221999998,195,0.808370800161846,0.4229934924078091,1.0,1.237056063627963,1.206129662037264,1.237056063627963,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0923076923076924,3.613848635,0.0,1.6522974350000001,10.184028855480253,2.305,4662.33,9.505427828887008,0.16051660199960074,1.0423076923076924,1.0,4065.85,3.475625,0.0,0.0,2.2974358974358973,0.0,0.0,1.206129662037264,Fixed Manual Prior,0.0,0.975,4.0,ood_sparse,0.0,0.0,0.025,2718,0.0
