block,component,device,latency_ms,order_position,training_seed,variant
10,end_to_end_policy,cpu,0.53577,3,2718,Existing Phase11 Predictive Prior
10,end_to_end_policy,cpu,0.560573,4,2718,Shortest+Risk (No Teacher)
10,end_to_end_policy,cpu,0.467017,5,2718,Shortest-Oracle Only
10,end_to_end_policy,cpu,0.471168,6,2718,Risk-Oracle Only
11,end_to_end_policy,cpu,0.452129,0,2718,Risk-Oracle Only
11,end_to_end_policy,cpu,0.51416,1,2718,Teacher+Shortest+Risk
11,end_to_end_policy,cpu,0.444683,2,2718,Fixed Manual Prior
11,end_to_end_policy,cpu,0.499113,3,2718,Existing Phase11 Predictive Prior
11,end_to_end_policy,cpu,0.445278,4,2718,Teacher Distillation Only
11,end_to_end_policy,cpu,0.497383,5,2718,Shortest+Risk (No Teacher)
11,end_to_end_policy,cpu,0.452036,6,2718,Shortest-Oracle Only
12,end_to_end_policy,cpu,0.508562,0,2718,Shortest+Risk (No Teacher)
12,end_to_end_policy,cpu,0.463339,1,2718,Teacher+Shortest+Risk
12,end_to_end_policy,cpu,0.478881,2,2718,Shortest-Oracle Only
12,end_to_end_policy,cpu,0.449364,3,2718,Existing Phase11 Predictive Prior
12,end_to_end_policy,cpu,0.48761,4,2718,Teacher Distillation Only
12,end_to_end_policy,cpu,0.446753,5,2718,Risk-Oracle Only
12,end_to_end_policy,cpu,0.47383,6,2718,Fixed Manual Prior
13,end_to_end_policy,cpu,0.452088,0,2718,Shortest-Oracle Only
13,end_to_end_policy,cpu,0.466264,1,2718,Risk-Oracle Only
13,end_to_end_policy,cpu,0.438741,2,2718,Shortest+Risk (No Teacher)
13,end_to_end_policy,cpu,0.447772,3,2718,Teacher Distillation Only
13,end_to_end_policy,cpu,0.50007,4,2718,Existing Phase11 Predictive Prior
13,end_to_end_policy,cpu,0.46245,5,2718,Fixed Manual Prior
13,end_to_end_policy,cpu,0.46005,6,2718,Teacher+Shortest+Risk
14,end_to_end_policy,cpu,0.461076,0,2718,Risk-Oracle Only
14,end_to_end_policy,cpu,0.559758,1,2718,Shortest+Risk (No Teacher)
14,end_to_end_policy,cpu,0.471551,2,2718,Teacher+Shortest+Risk
14,end_to_end_policy,cpu,0.473992,3,2718,Fixed Manual Prior
14,end_to_end_policy,cpu,0.450398,4,2718,Existing Phase11 Predictive Prior
14,end_to_end_policy,cpu,0.466769,5,2718,Shortest-Oracle Only
14,end_to_end_policy,cpu,0.446439,6,2718,Teacher Distillation Only
15,end_to_end_policy,cpu,0.488518,0,2718,Teacher Distillation Only
15,end_to_end_policy,cpu,0.448925,1,2718,Risk-Oracle Only
15,end_to_end_policy,cpu,0.47751,2,2718,Shortest-Oracle Only
15,end_to_end_policy,cpu,0.438197,3,2718,Teacher+Shortest+Risk
15,end_to_end_policy,cpu,0.484454,4,2718,Existing Phase11 Predictive Prior
15,end_to_end_policy,cpu,0.441482,5,2718,Fixed Manual Prior
15,end_to_end_policy,cpu,0.481447,6,2718,Shortest+Risk (No Teacher)
16,end_to_end_policy,cpu,0.455268,0,2718,Fixed Manual Prior
16,end_to_end_policy,cpu,0.47328,1,2718,Teacher Distillation Only
16,end_to_end_policy,cpu,0.441995,2,2718,Teacher+Shortest+Risk
16,end_to_end_policy,cpu,0.463806,3,2718,Shortest+Risk (No Teacher)
16,end_to_end_policy,cpu,0.440078,4,2718,Risk-Oracle Only
16,end_to_end_policy,cpu,0.44946,5,2718,Shortest-Oracle Only
16,end_to_end_policy,cpu,0.459834,6,2718,Existing Phase11 Predictive Prior
17,end_to_end_policy,cpu,0.464685,0,2718,Shortest+Risk (No Teacher)
17,end_to_end_policy,cpu,0.462179,1,2718,Risk-Oracle Only
17,end_to_end_policy,cpu,0.435319,2,2718,Teacher Distillation Only
