epoch,method,train_objective,validation_objective
1,Shortest-Oracle Only,1.450559590610377,1.6084382794422294
2,Shortest-Oracle Only,1.4384925288162587,1.5956029566935475
3,Shortest-Oracle Only,1.4267186001746182,1.5827704824097484
4,Shortest-Oracle Only,1.4144381619748974,1.5703463366011332
5,Shortest-Oracle Only,1.402740308764443,1.5577250457751852
6,Shortest-Oracle Only,1.3908133918897883,1.545238617868224
7,Shortest-Oracle Only,1.3791244816689165,1.5327280227016977
8,Shortest-Oracle Only,1.3673005549790274,1.5203807510949214
9,Shortest-Oracle Only,1.3556362613875006,1.5080547162860425
10,Shortest-Oracle Only,1.3440199264185757,1.4957473420247285
11,Shortest-Oracle Only,1.3325100009703474,1.4834993655694537
12,Shortest-Oracle Only,1.3209827042815896,1.4713444543568133
13,Shortest-Oracle Only,1.309603872435185,1.4592475588242275
14,Shortest-Oracle Only,1.298059613584899,1.4473850695686135
15,Shortest-Oracle Only,1.2868809346594516,1.435384675387169
16,Shortest-Oracle Only,1.275388943933567,1.423643528445574
17,Shortest-Oracle Only,1.2644702728422024,1.4115939908577988
18,Shortest-Oracle Only,1.252987440160961,1.3999689502553547
19,Shortest-Oracle Only,1.2420460821048,1.3881388057764883
20,Shortest-Oracle Only,1.2308920732660884,1.3764670923825477
21,Shortest-Oracle Only,1.2199270376378752,1.3648354558405444
22,Shortest-Oracle Only,1.20888893006552,1.3533290003178935
23,Shortest-Oracle Only,1.1979182300194444,1.3419185837140664
24,Shortest-Oracle Only,1.1870882363486224,1.3305020336029976
25,Shortest-Oracle Only,1.1762876217093678,1.3190760309616787
26,Shortest-Oracle Only,1.1655505102203767,1.307655637343663
27,Shortest-Oracle Only,1.1546559424725285,1.2965267053599694
28,Shortest-Oracle Only,1.144001362988297,1.285407254346852
29,Shortest-Oracle Only,1.1335050566954274,1.2741907298518742
30,Shortest-Oracle Only,1.1228771231558325,1.2631253330029784
31,Shortest-Oracle Only,1.1124092939579553,1.252132398965837
32,Shortest-Oracle Only,1.1019997842235563,1.2411832526891755
33,Shortest-Oracle Only,1.091541812700965,1.2303882636920507
34,Shortest-Oracle Only,1.0813785080015512,1.2194721189051243
35,Shortest-Oracle Only,1.0710064385823204,1.2087768424305225
36,Shortest-Oracle Only,1.0608088206817925,1.1981506161132032
37,Shortest-Oracle Only,1.050668428003877,1.187591101013349
38,Shortest-Oracle Only,1.040704959315697,1.1769951533015435
39,Shortest-Oracle Only,1.030715838541658,1.166524021501785
40,Shortest-Oracle Only,1.020663079782972,1.1563289555166232
41,Shortest-Oracle Only,1.0109109952860538,1.1461222805227078
42,Shortest-Oracle Only,1.0012198501391467,1.1358874436961321
43,Shortest-Oracle Only,0.9914786398578809,1.1258153599606846
44,Shortest-Oracle Only,0.9819705942301307,1.1157028839442271
45,Shortest-Oracle Only,0.9723641050136657,1.1057877402080296
46,Shortest-Oracle Only,0.9630148647990201,1.09589195528481
47,Shortest-Oracle Only,0.9536535382330111,1.086185702236007
48,Shortest-Oracle Only,0.9444580219650205,1.0765832486215439
49,Shortest-Oracle Only,0.935307879537675,1.0671044310149438
50,Shortest-Oracle Only,0.9262416063701507,1.057766803191855
51,Shortest-Oracle Only,0.9173769555347235,1.0484429942278046
52,Shortest-Oracle Only,0.9084569820814555,1.0393356048811506
53,Shortest-Oracle Only,0.8998213680975277,1.030190697203857
54,Shortest-Oracle Only,0.891137323536064,1.0212664990162867
55,Shortest-Oracle Only,0.8826340150228288,1.012477029487202
