divergence_rate,margin,skip_rate
0.0,0.0,0.7427473715692364
0.0004371132123219914,0.01,0.755055559389882
0.0008972323831872455,0.02,0.7672717233763545
0.0025536613983021604,0.05,0.8324476039294177
0.02740009662502588,0.1,0.8898934824119447
0.03713161708882601,0.2,0.9307520647847792
