block,component,device,latency_ms,order_position,training_seed,variant
0,end_to_end_policy,cpu,0.489839,0,77,Teacher+Shortest+Risk
0,end_to_end_policy,cpu,0.508269,1,77,Fixed Manual Prior
0,end_to_end_policy,cpu,0.466516,2,77,Shortest-Oracle Only
0,end_to_end_policy,cpu,0.491229,3,77,Risk-Oracle Only
0,end_to_end_policy,cpu,0.467368,4,77,Teacher Distillation Only
0,end_to_end_policy,cpu,0.485536,5,77,Shortest+Risk (No Teacher)
0,end_to_end_policy,cpu,0.482129,6,77,Existing Phase11 Predictive Prior
1,end_to_end_policy,cpu,0.508027,0,77,Teacher Distillation Only
1,end_to_end_policy,cpu,0.469831,1,77,Teacher+Shortest+Risk
1,end_to_end_policy,cpu,0.48851,2,77,Shortest-Oracle Only
1,end_to_end_policy,cpu,0.466912,3,77,Shortest+Risk (No Teacher)
1,end_to_end_policy,cpu,0.470899,4,77,Existing Phase11 Predictive Prior
1,end_to_end_policy,cpu,0.479071,5,77,Risk-Oracle Only
1,end_to_end_policy,cpu,0.470206,6,77,Fixed Manual Prior
2,end_to_end_policy,cpu,0.493145,0,77,Fixed Manual Prior
2,end_to_end_policy,cpu,0.486104,1,77,Risk-Oracle Only
2,end_to_end_policy,cpu,0.481281,2,77,Shortest-Oracle Only
2,end_to_end_policy,cpu,0.467467,3,77,Existing Phase11 Predictive Prior
2,end_to_end_policy,cpu,0.479336,4,77,Shortest+Risk (No Teacher)
2,end_to_end_policy,cpu,0.595473,5,77,Teacher Distillation Only
2,end_to_end_policy,cpu,0.477128,6,77,Teacher+Shortest+Risk
3,end_to_end_policy,cpu,0.512621,0,77,Shortest-Oracle Only
3,end_to_end_policy,cpu,0.469557,1,77,Teacher+Shortest+Risk
3,end_to_end_policy,cpu,0.488076,2,77,Fixed Manual Prior
3,end_to_end_policy,cpu,0.468757,3,77,Teacher Distillation Only
3,end_to_end_policy,cpu,0.495081,4,77,Existing Phase11 Predictive Prior
3,end_to_end_policy,cpu,0.470959,5,77,Risk-Oracle Only
3,end_to_end_policy,cpu,0.470573,6,77,Shortest+Risk (No Teacher)
4,end_to_end_policy,cpu,0.479258,0,77,Risk-Oracle Only
4,end_to_end_policy,cpu,0.476025,1,77,Shortest+Risk (No Teacher)
4,end_to_end_policy,cpu,0.49465,2,77,Teacher Distillation Only
4,end_to_end_policy,cpu,0.472137,3,77,Existing Phase11 Predictive Prior
4,end_to_end_policy,cpu,0.481301,4,77,Teacher+Shortest+Risk
4,end_to_end_policy,cpu,0.470985,5,77,Fixed Manual Prior
4,end_to_end_policy,cpu,0.479087,6,77,Shortest-Oracle Only
5,end_to_end_policy,cpu,0.501836,0,77,Fixed Manual Prior
5,end_to_end_policy,cpu,0.48344,1,77,Shortest+Risk (No Teacher)
5,end_to_end_policy,cpu,0.471267,2,77,Teacher Distillation Only
5,end_to_end_policy,cpu,0.479262,3,77,Existing Phase11 Predictive Prior
5,end_to_end_policy,cpu,0.47603,4,77,Teacher+Shortest+Risk
5,end_to_end_policy,cpu,0.476552,5,77,Shortest-Oracle Only
5,end_to_end_policy,cpu,0.476022,6,77,Risk-Oracle Only
6,end_to_end_policy,cpu,0.490398,0,77,Teacher+Shortest+Risk
6,end_to_end_policy,cpu,0.465816,1,77,Shortest-Oracle Only
6,end_to_end_policy,cpu,0.478179,2,77,Teacher Distillation Only
6,end_to_end_policy,cpu,0.583253,3,77,Shortest+Risk (No Teacher)
6,end_to_end_policy,cpu,0.500331,4,77,Existing Phase11 Predictive Prior
6,end_to_end_policy,cpu,0.483357,5,77,Risk-Oracle Only
6,end_to_end_policy,cpu,0.487077,6,77,Fixed Manual Prior
7,end_to_end_policy,cpu,0.493507,0,77,Teacher Distillation Only
7,end_to_end_policy,cpu,0.498093,1,77,Shortest+Risk (No Teacher)
7,end_to_end_policy,cpu,0.476508,2,77,Fixed Manual Prior
7,end_to_end_policy,cpu,0.483865,3,77,Shortest-Oracle Only
7,end_to_end_policy,cpu,0.472164,4,77,Existing Phase11 Predictive Prior
7,end_to_end_policy,cpu,0.481246,5,77,Risk-Oracle Only
7,end_to_end_policy,cpu,0.47292,6,77,Teacher+Shortest+Risk
8,end_to_end_policy,cpu,0.502302,0,77,Shortest-Oracle Only
8,end_to_end_policy,cpu,0.476955,1,77,Fixed Manual Prior
8,end_to_end_policy,cpu,0.483797,2,77,Teacher+Shortest+Risk
8,end_to_end_policy,cpu,0.481572,3,77,Teacher Distillation Only
8,end_to_end_policy,cpu,0.482236,4,77,Shortest+Risk (No Teacher)
8,end_to_end_policy,cpu,0.477449,5,77,Risk-Oracle Only
8,end_to_end_policy,cpu,0.485117,6,77,Existing Phase11 Predictive Prior
9,end_to_end_policy,cpu,0.484926,0,77,Risk-Oracle Only
9,end_to_end_policy,cpu,0.486333,1,77,Fixed Manual Prior
9,end_to_end_policy,cpu,0.466597,2,77,Shortest+Risk (No Teacher)
9,end_to_end_policy,cpu,0.486427,3,77,Teacher+Shortest+Risk
9,end_to_end_policy,cpu,0.456678,4,77,Teacher Distillation Only
9,end_to_end_policy,cpu,0.483755,5,77,Existing Phase11 Predictive Prior
9,end_to_end_policy,cpu,0.456655,6,77,Shortest-Oracle Only
10,end_to_end_policy,cpu,0.506722,0,77,Teacher Distillation Only
10,end_to_end_policy,cpu,0.582485,1,77,Teacher+Shortest+Risk
10,end_to_end_policy,cpu,0.502055,2,77,Shortest-Oracle Only
10,end_to_end_policy,cpu,0.477714,3,77,Shortest+Risk (No Teacher)
10,end_to_end_policy,cpu,0.487598,4,77,Existing Phase11 Predictive Prior
10,end_to_end_policy,cpu,0.479449,5,77,Risk-Oracle Only
10,end_to_end_policy,cpu,0.486138,6,77,Fixed Manual Prior
11,end_to_end_policy,cpu,0.488831,0,77,Fixed Manual Prior
11,end_to_end_policy,cpu,0.502323,1,77,Teacher+Shortest+Risk
11,end_to_end_policy,cpu,0.50785,2,77,Existing Phase11 Predictive Prior
11,end_to_end_policy,cpu,0.489488,3,77,Teacher Distillation Only
11,end_to_end_policy,cpu,0.484829,4,77,Shortest-Oracle Only
11,end_to_end_policy,cpu,0.487929,5,77,Risk-Oracle Only
11,end_to_end_policy,cpu,0.471801,6,77,Shortest+Risk (No Teacher)
12,end_to_end_policy,cpu,0.502973,0,77,Shortest-Oracle Only
12,end_to_end_policy,cpu,0.48065,1,77,Fixed Manual Prior
12,end_to_end_policy,cpu,0.484152,2,77,Risk-Oracle Only
12,end_to_end_policy,cpu,0.47294,3,77,Existing Phase11 Predictive Prior
12,end_to_end_policy,cpu,0.485071,4,77,Teacher+Shortest+Risk
12,end_to_end_policy,cpu,0.475465,5,77,Teacher Distillation Only
12,end_to_end_policy,cpu,0.485145,6,77,Shortest+Risk (No Teacher)
13,end_to_end_policy,cpu,0.482379,0,77,Risk-Oracle Only
13,end_to_end_policy,cpu,0.492414,1,77,Shortest+Risk (No Teacher)
13,end_to_end_policy,cpu,0.466396,2,77,Existing Phase11 Predictive Prior
13,end_to_end_policy,cpu,0.48451,3,77,Teacher Distillation Only
13,end_to_end_policy,cpu,0.451355,4,77,Teacher+Shortest+Risk
13,end_to_end_policy,cpu,0.489588,5,77,Fixed Manual Prior
13,end_to_end_policy,cpu,0.572966,6,77,Shortest-Oracle Only
14,end_to_end_policy,cpu,0.518181,0,77,Existing Phase11 Predictive Prior
14,end_to_end_policy,cpu,0.489262,1,77,Teacher Distillation Only
14,end_to_end_policy,cpu,0.488696,2,77,Fixed Manual Prior
14,end_to_end_policy,cpu,0.478096,3,77,Teacher+Shortest+Risk
14,end_to_end_policy,cpu,0.483316,4,77,Risk-Oracle Only
14,end_to_end_policy,cpu,0.479695,5,77,Shortest-Oracle Only
14,end_to_end_policy,cpu,0.485168,6,77,Shortest+Risk (No Teacher)
15,end_to_end_policy,cpu,0.484667,0,77,Teacher+Shortest+Risk
15,end_to_end_policy,cpu,0.481473,1,77,Risk-Oracle Only
15,end_to_end_policy,cpu,0.465707,2,77,Existing Phase11 Predictive Prior
15,end_to_end_policy,cpu,0.48156,3,77,Shortest+Risk (No Teacher)
15,end_to_end_policy,cpu,0.460196,4,77,Fixed Manual Prior
15,end_to_end_policy,cpu,0.496165,5,77,Shortest-Oracle Only
15,end_to_end_policy,cpu,0.458226,6,77,Teacher Distillation Only
16,end_to_end_policy,cpu,0.506888,0,77,Existing Phase11 Predictive Prior
16,end_to_end_policy,cpu,0.460207,1,77,Shortest-Oracle Only
16,end_to_end_policy,cpu,0.494111,2,77,Risk-Oracle Only
16,end_to_end_policy,cpu,0.460184,3,77,Teacher+Shortest+Risk
16,end_to_end_policy,cpu,0.524943,4,77,Shortest+Risk (No Teacher)
16,end_to_end_policy,cpu,0.462625,5,77,Fixed Manual Prior
16,end_to_end_policy,cpu,0.489781,6,77,Teacher Distillation Only
17,end_to_end_policy,cpu,0.483367,0,77,Existing Phase11 Predictive Prior
17,end_to_end_policy,cpu,0.491928,1,77,Shortest+Risk (No Teacher)
17,end_to_end_policy,cpu,0.464308,2,77,Teacher Distillation Only
17,end_to_end_policy,cpu,0.502709,3,77,Fixed Manual Prior
17,end_to_end_policy,cpu,0.475811,4,77,Shortest-Oracle Only
17,end_to_end_policy,cpu,0.600939,5,77,Risk-Oracle Only
17,end_to_end_policy,cpu,0.467726,6,77,Teacher+Shortest+Risk
18,end_to_end_policy,cpu,0.525417,0,77,Fixed Manual Prior
18,end_to_end_policy,cpu,0.466768,1,77,Shortest-Oracle Only
18,end_to_end_policy,cpu,0.48591,2,77,Shortest+Risk (No Teacher)
18,end_to_end_policy,cpu,0.459921,3,77,Risk-Oracle Only
18,end_to_end_policy,cpu,0.494818,4,77,Teacher+Shortest+Risk
18,end_to_end_policy,cpu,0.460273,5,77,Teacher Distillation Only
18,end_to_end_policy,cpu,0.490188,6,77,Existing Phase11 Predictive Prior
19,end_to_end_policy,cpu,0.475394,0,77,Teacher+Shortest+Risk
19,end_to_end_policy,cpu,0.494692,1,77,Teacher Distillation Only
19,end_to_end_policy,cpu,0.458235,2,77,Shortest+Risk (No Teacher)
19,end_to_end_policy,cpu,0.491304,3,77,Risk-Oracle Only
19,end_to_end_policy,cpu,0.467527,4,77,Shortest-Oracle Only
19,end_to_end_policy,cpu,0.494682,5,77,Existing Phase11 Predictive Prior
19,end_to_end_policy,cpu,0.463408,6,77,Fixed Manual Prior
20,end_to_end_policy,cpu,0.509981,0,77,Fixed Manual Prior
20,end_to_end_policy,cpu,0.464618,1,77,Shortest+Risk (No Teacher)
20,end_to_end_policy,cpu,0.513732,2,77,Teacher Distillation Only
20,end_to_end_policy,cpu,0.458145,3,77,Existing Phase11 Predictive Prior
20,end_to_end_policy,cpu,0.489245,4,77,Shortest-Oracle Only
20,end_to_end_policy,cpu,0.460684,5,77,Teacher+Shortest+Risk
20,end_to_end_policy,cpu,0.484183,6,77,Risk-Oracle Only
21,end_to_end_policy,cpu,0.475247,0,77,Fixed Manual Prior
21,end_to_end_policy,cpu,0.488966,1,77,Teacher+Shortest+Risk
21,end_to_end_policy,cpu,0.497363,2,77,Teacher Distillation Only
21,end_to_end_policy,cpu,0.501262,3,77,Existing Phase11 Predictive Prior
21,end_to_end_policy,cpu,0.462989,4,77,Risk-Oracle Only
21,end_to_end_policy,cpu,0.499989,5,77,Shortest+Risk (No Teacher)
21,end_to_end_policy,cpu,0.463902,6,77,Shortest-Oracle Only
22,end_to_end_policy,cpu,0.510413,0,77,Risk-Oracle Only
22,end_to_end_policy,cpu,0.460105,1,77,Shortest+Risk (No Teacher)
22,end_to_end_policy,cpu,0.502484,2,77,Shortest-Oracle Only
22,end_to_end_policy,cpu,0.515487,3,77,Fixed Manual Prior
22,end_to_end_policy,cpu,0.507303,4,77,Teacher+Shortest+Risk
22,end_to_end_policy,cpu,0.46317,5,77,Existing Phase11 Predictive Prior
22,end_to_end_policy,cpu,0.498879,6,77,Teacher Distillation Only
23,end_to_end_policy,cpu,0.48136,0,77,Risk-Oracle Only
23,end_to_end_policy,cpu,0.513614,1,77,Shortest-Oracle Only
23,end_to_end_policy,cpu,0.464151,2,77,Fixed Manual Prior
