epoch,method,train_objective,validation_objective
1,Shortest-Oracle Only,1.5408789362899553,1.3540969058106513
2,Shortest-Oracle Only,1.528214391216611,1.3423803267916476
3,Shortest-Oracle Only,1.5155993329241406,1.3307448245503855
4,Shortest-Oracle Only,1.5032226176395447,1.3190947624609963
5,Shortest-Oracle Only,1.4905358236350574,1.3077002887963136
6,Shortest-Oracle Only,1.4781625555217561,1.2962717253535199
7,Shortest-Oracle Only,1.4659366521646793,1.284823166267312
8,Shortest-Oracle Only,1.4535183810716406,1.2735345493393775
9,Shortest-Oracle Only,1.441224319263188,1.2623380298377196
10,Shortest-Oracle Only,1.4293044058062885,1.2509404767542196
11,Shortest-Oracle Only,1.4168733764519605,1.2399171121754506
12,Shortest-Oracle Only,1.4048175120864315,1.2289247156858074
13,Shortest-Oracle Only,1.3929248373041043,1.2178392514099785
14,Shortest-Oracle Only,1.3810146460226773,1.2067830996416962
15,Shortest-Oracle Only,1.3689028692795377,1.1960065442703744
16,Shortest-Oracle Only,1.357246237374609,1.1850927143037597
17,Shortest-Oracle Only,1.3452768381187905,1.174411658365656
18,Shortest-Oracle Only,1.3336525748549812,1.163639923276649
19,Shortest-Oracle Only,1.321977655341637,1.1529233574311062
20,Shortest-Oracle Only,1.3101640733109274,1.142448002220498
21,Shortest-Oracle Only,1.2986684886391906,1.1318979815784176
22,Shortest-Oracle Only,1.2871720660459465,1.1213499294654763
23,Shortest-Oracle Only,1.275590932545984,1.1109500724828076
24,Shortest-Oracle Only,1.2641490055662403,1.1005986211459335
25,Shortest-Oracle Only,1.2527583717907085,1.09028822674907
26,Shortest-Oracle Only,1.2414817830090468,1.079986748762116
27,Shortest-Oracle Only,1.230161403902673,1.0697787141725768
28,Shortest-Oracle Only,1.2190015295584866,1.059557688180618
29,Shortest-Oracle Only,1.207762375930585,1.049475725479482
30,Shortest-Oracle Only,1.196808138710663,1.039323520512084
31,Shortest-Oracle Only,1.185610271325025,1.029423594289397
32,Shortest-Oracle Only,1.1746716713394718,1.019581129169019
33,Shortest-Oracle Only,1.1636123984806621,1.0099425538331501
34,Shortest-Oracle Only,1.153060075949994,1.0000348910573482
35,Shortest-Oracle Only,1.1420894124755356,0.9904026577298415
36,Shortest-Oracle Only,1.1315241990215106,0.9806845655337463
37,Shortest-Oracle Only,1.120800647468504,0.9711255912276486
38,Shortest-Oracle Only,1.1102440704820185,0.9616354969018726
39,Shortest-Oracle Only,1.0997204004048908,0.952248086083918
40,Shortest-Oracle Only,1.0894083624616682,0.942823569474287
41,Shortest-Oracle Only,1.0790104878596851,0.9335496981815083
42,Shortest-Oracle Only,1.068594995087022,0.9245125717174951
43,Shortest-Oracle Only,1.0585417505347552,0.9153991253528031
44,Shortest-Oracle Only,1.0484556799272728,0.906351238164709
45,Shortest-Oracle Only,1.0384577582067085,0.8973843213373544
46,Shortest-Oracle Only,1.028442524272881,0.8886068720098231
47,Shortest-Oracle Only,1.0187151998428772,0.8798159425774036
48,Shortest-Oracle Only,1.0090358697209365,0.8710644130202512
49,Shortest-Oracle Only,0.999246007999439,0.8625904716562891
50,Shortest-Oracle Only,0.9898637823060867,0.8540587288039283
51,Shortest-Oracle Only,0.9804042040025186,0.8456551305613659
52,Shortest-Oracle Only,0.9710542740696149,0.8373903197411616
53,Shortest-Oracle Only,0.9618408021267006,0.8292678700264653
54,Shortest-Oracle Only,0.9527549018184278,0.8212653556099947
55,Shortest-Oracle Only,0.943897511460243,0.8132629201719958
56,Shortest-Oracle Only,0.9349585061214705,0.8054991925300373
57,Shortest-Oracle Only,0.926250626934812,0.7978483284613578
58,Shortest-Oracle Only,0.9178238233781528,0.7901881512364555
59,Shortest-Oracle Only,0.9092694866205558,0.7827850708138331
60,Shortest-Oracle Only,0.9009842644020596,0.7755320836003423
61,Shortest-Oracle Only,0.8929875257184124,0.7682770633400877
